category_name,subcategory_or_tool,tool_title,tool_url,sku_count,sku_list,variant_count,variants_json
Hand Tools,Putty Knives,Putty Knives,https://www.columbiatools.com/columbia-tools/hand-tools/putty-knives/,0,,0,[]
Hand Tools,Taping Knives,Taping Knives,https://www.columbiatools.com/columbia-tools/hand-tools/one-piece-putty-knives-copy/,0,,4,"[{""label"": ""8” Columbia Taping Knife"", ""sku"": ""CTK8""}, {""label"": ""10” Columbia Taping Knife"", ""sku"": ""CTK10""}, {""label"": ""12” Columbia Taping Knife"", ""sku"": ""CTK12""}, {""label"": ""14” Columbia Taping Knife"", ""sku"": ""CTK14""}]"
Hand Tools,Mud Pans,Mud Pans,https://www.columbiatools.com/columbia-tools/hand-tools/mud-pans/,0,,3,"[{""label"": ""12” Columbia Mud Pan 6 Pack"", ""sku"": ""C12MP-6""}, {""label"": ""14” Columbia Mud Pan 6 Pack"", ""sku"": ""C14MP-6""}, {""label"": ""16” Columbia Mud Pan 6 Pack"", ""sku"": ""C16MP-6""}]"
Hand Tools,Trowels,Trowels,https://www.columbiatools.com/columbia-tools/hand-tools/columbia-mud-pans-3/,0,,11,"[{""label"": ""12″ GOLD FINISHING TROWEL"", ""sku"": ""12-4.7-0.7-G-C""}, {""label"": ""14″ GOLD FINISHING TROWEL"", ""sku"": ""14-4.7-0.7-G-C""}, {""label"": ""16″ GOLD FINISHING TROWEL"", ""sku"": ""16-4.7-0.7-G-C""}, {""label"": ""18″ GOLD FINISHING TROWEL"", ""sku"": ""18-4.7-0.7-G-C""}, {""label"": ""12″ GOLD CURVE TROWEL"", ""sku"": ""12-4.7-0.7-G-C-C""}, {""label"": ""14″ GOLD CURVE TROWEL"", ""sku"": ""14-4.7-0.7-G-C-C""}, {""label"": ""16″ GOLD CURVE TROWEL"", ""sku"": ""16-4.7-0.7-G-C-C""}, {""label"": ""12″ SILVER CURVE TROWEL"", ""sku"": ""12-4.7-0.4-S-C-C""}, {""label"": ""14″ SILVER CURVE TROWEL"", ""sku"": ""14-4.7-0.4-S-C-C""}, {""label"": ""12″ GOLD FINISHING TROWEL .3MM"", ""sku"": ""12-4.3-0.3-G-C""}, {""label"": ""14″ GOLD FINISHING TROWEL .3MM"", ""sku"": ""14-4.3-0.3-G-C""}]"
Hand Tools,Finishing Hawks,Finishing Hawks,https://www.columbiatools.com/columbia-tools/hand-tools/finishing-hawks/,0,,0,[]
Hand Tools,Bucket Scoops,Bucket Scoops,https://www.columbiatools.com/columbia-tools/hand-tools/three-way-knives-copy/,0,,3,"[{""label"": ""6” One Piece Bucket Scoop (stainless steel)"", ""sku"": ""OPBS""}, {""label"": ""6” Comfort Grip Bucket Scoop (stainless steel)"", ""sku"": ""CBS2K""}, {""label"": ""6″ Cork Handle Bucket Scoop (stainless steel)"", ""sku"": ""BCNC""}]"
The Predator Family is Expanding,Tall Boy Mud Pump,Tall Boy Mud Pump,https://www.columbiatools.com/columbia-tools/pumps/tall-boy-mud-pump/,1,TBMP,1,"[{""label"": ""Tall Boy Mud Pump"", ""sku"": ""TBMP""}]"
The Predator Family is Expanding,Automatic Taper,Automatic Taper,https://www.columbiatools.com/columbia-tools/automatic-tapers/automatic-taper/,1,TAPER,1,"[{""label"": ""Automatic Taper"", ""sku"": ""TAPER""}]"
The Predator Family is Expanding,Mud Pump,Mud Pump,https://www.columbiatools.com/columbia-tools/pumps/mud-pump/,1,HMP,1,"[{""label"": ""Mud Pump"", ""sku"": ""HMP""}]"
The Tool Sets,The Tactical Set,The Tactical Set,https://www.columbiatools.com/columbia-tools/tool-sets/the-tactical-set/,1,TS,1,"[{""label"": ""The Tactical Set"", ""sku"": ""TS""}]"
The Tool Sets,The Commando Set,The Commando Set,https://www.columbiatools.com/columbia-tools/tool-sets/the-commando-set/,1,SACS,1,"[{""label"": ""The Commando Set"", ""sku"": ""SACS""}]"
The Tool Sets,The Predator Tactical Set,The Predator Tactical Set,https://www.columbiatools.com/columbia-tools/tool-sets/the-predator-tactical-set/,1,PTS,1,"[{""label"": ""The Predator Tactical Set"", ""sku"": ""PTS""}]"
The Tool Sets,The Warrior Set,The Warrior Set,https://www.columbiatools.com/columbia-tools/tool-sets/the-warrior-set/,1,TWS,1,"[{""label"": ""The Warrior Set"", ""sku"": ""TWS""}]"
