brand,optionGroup,type,sku,parentSku,name,price,inStock,mpn,sizeLabel,categories
Columbia,angle_head,variation,2AH,COL-COLUMBIA-ANGLE-HEAD,Columbia Angle Head - [2AH],358.0,True,2AH,"Angle Head Size: 2""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,angle_head,variation,2.5AH,COL-COLUMBIA-ANGLE-HEAD,Columbia Angle Head - [2.5AH],363.0,True,2.5AH,"Angle Head Size: 2.5""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,angle_head,variation,3AH,COL-COLUMBIA-ANGLE-HEAD,Columbia Angle Head - [3AH],367.0,True,3AH,"Angle Head Size: 3""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,angle_head,variation,3.5AH,COL-COLUMBIA-ANGLE-HEAD,Columbia Angle Head - [3.5AH],409.0,True,3.5AH,"Angle Head Size: 3.5""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,automatic_taper,simple,C1PTAPER,,Columbia One Predator Automatic Taper - [C1PTAPER],1896.0,True,C1PTAPER,C1PTAPER,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,automatic_taper,simple,TBPTAPER,,Columbia 6ft Tall Boy Predator Automatic Taper - [TBPTAPER],1919.0,True,TBPTAPER,TBPTAPER,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,automatic_taper,simple,STAPER,,"Columbia Sawed Off Automatic Taper 39"" - [STAPER]",1683.0,False,STAPER,STAPER,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,automatic_taper,simple,SPTAPER,,"Columbia Sawed Off Predator Automatic Taper 39"" - [SPTAPER]",1896.0,False,SPTAPER,SPTAPER,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,automatic_taper,simple,TAPER,,Columbia Automatic Taper - [TAPER],1683.0,True,TAPER,TAPER,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,automatic_taper,simple,SAT,,Columbia Semi Automatic Taper - [SAT],192.0,True,SAT,SAT,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,simple,ICA2-1,,Columbia 2 Wheeled Internal 90° Applicator - [ICA2-1],49.0,True,ICA2-1,ICA2-1,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,simple,ICA4-1,,Columbia 4 Wheeled Internal 90° Applicator - [ICA4-1],63.0,True,ICA4-1,ICA4-1,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,variation,7CFB,COL-COLUMBIA-THROTTLE-BOX,Columbia Throttle Box - [7CFB],299.0,True,7CFB,"Size: 7""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,corner_applicator,variation,8CFB,COL-COLUMBIA-THROTTLE-BOX,Columbia Throttle Box - [8CFB],311.0,True,8CFB,"Size: 8""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,corner_applicator,variation,CMT24,COL-COLUMBIA-COMPOUND-TUBE,Columbia Compound Tube - [CMT24],158.0,True,CMT24,"Size: 24""",Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,variation,CMT32,COL-COLUMBIA-COMPOUND-TUBE,Columbia Compound Tube - [CMT32],167.0,True,CMT32,"Size: 32""",Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,variation,CMT42,COL-COLUMBIA-COMPOUND-TUBE,Columbia Compound Tube - [CMT42],182.0,True,CMT42,"Size: 42""",Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,simple,PCMT42,,Columbia Predator Compound Tube - [PCMT42],217.0,True,PCMT42,PCMT42,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,variation,CMT55,COL-COLUMBIA-COMPOUND-TUBE,Columbia Compound Tube - [CMT55],190.0,True,CMT55,"Size: 55""",Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,simple,CEXT90,,Columbia External 90° Applicator - [CEXT90],98.0,True,CEXT90,CEXT90,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,simple,BF,,Columbia Box Filler - [BF],52.0,True,BF,BF,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,corner_applicator,simple,CLT-BF,,Columbia Cam Lock Tube Box Filler - [CLT-BF],66.0,True,CLT-BF,CLT-BF,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,corner_applicator,simple,CFLT,,Columbia Flat Applicator - [CFLT],60.0,True,CFLT,CFLT,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools
Columbia,corner_applicator,simple,TBBF,,Columbia Tall Boy Box Filler - [TBBF],52.0,True,TBBF,TBBF,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,corner_roller,simple,CR,,Columbia Corner Roller - [CR],141.0,True,CR,CR,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,filler_adapter,simple,CPFGN,,Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube - [CPFGN],275.0,True,CPFGN,CPFGN,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,filler_adapter,simple,GN,,Columbia Gooseneck - [GN],86.0,True,GN,GN,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,filler_adapter,simple,TBGN,,Columbia Tall Boy Gooseneck - [TBGN],124.0,True,TBGN,TBGN,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,5.5FBBB,COL-COLUMBIA-FAT-BOY-BOX,Columbia Fat Boy Finishing Box - [5.5FBBB],382.0,True,5.5FBBB,"Size: 5.5""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,5.5FFB,COL-COLUMBIA-FLAT-FINISHING-BOXES,Columbia Flat Finishing Box - [5.5FFB],363.0,True,5.5FFB,"Size: 5.5""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,7FFB,COL-COLUMBIA-FLAT-FINISHING-BOXES,Columbia Flat Finishing Box - [7FFB],367.0,True,7FFB,"Size: 7""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,8FBBA,COL-COLUMBIA-AUTOMATIC-FAT-BOY-FLAT-BOX,Columbia Automatic Fat Boy Finishing Box - [8FBBA],431.0,True,8FBBA,"Size: 8""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,8FFBA,COL-COLUMBIA-AUTOMATIC-FLAT-BOX,Columbia Automatic Flat Finishing Box - [8FFBA],397.0,True,8FFBA,"Size: 8""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,8FBBB,COL-COLUMBIA-FAT-BOY-BOX,Columbia Fat Boy Finishing Box - [8FBBB],401.0,True,8FBBB,"Size: 8""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,8FFB,COL-COLUMBIA-FLAT-FINISHING-BOXES,Columbia Flat Finishing Box - [8FFB],371.0,True,8FFB,"Size: 8""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,8ITFB,COL-COLUMBIA-INSIDE-TRACK-FAT-BOY-BOX,Columbia Inside Track Fat Boy Finishing Box - [8ITFB],401.0,True,8ITFB,"Size: 8""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,10FBBA,COL-COLUMBIA-AUTOMATIC-FAT-BOY-FLAT-BOX,Columbia Automatic Fat Boy Finishing Box - [10FBBA],435.0,True,10FBBA,"Size: 10""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,10FFBA,COL-COLUMBIA-AUTOMATIC-FLAT-BOX,Columbia Automatic Flat Finishing Box - [10FFBA],401.0,True,10FFBA,"Size: 10""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,10FBBB,COL-COLUMBIA-FAT-BOY-BOX,Columbia Fat Boy Finishing Box - [10FBBB],405.0,True,10FBBB,"Size: 10""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,10FFB,COL-COLUMBIA-FLAT-FINISHING-BOXES,Columbia Flat Finishing Box - [10FFB],375.0,True,10FFB,"Size: 10""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,10ITFB,COL-COLUMBIA-INSIDE-TRACK-FAT-BOY-BOX,Columbia Inside Track Fat Boy Finishing Box - [10ITFB],405.0,True,10ITFB,"Size: 10""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,12FBBA,COL-COLUMBIA-AUTOMATIC-FAT-BOY-FLAT-BOX,Columbia Automatic Fat Boy Finishing Box - [12FBBA],443.0,False,12FBBA,"Size: 12""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,12FFBA,COL-COLUMBIA-AUTOMATIC-FLAT-BOX,Columbia Automatic Flat Finishing Box - [12FFBA],405.0,True,12FFBA,"Size: 12""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,12FBBB,COL-COLUMBIA-FAT-BOY-BOX,Columbia Fat Boy Finishing Box - [12FBBB],414.0,True,12FBBB,"Size: 12""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,12FFB,COL-COLUMBIA-FLAT-FINISHING-BOXES,Columbia Flat Finishing Box - [12FFB],380.0,True,12FFB,"Size: 12""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,12ITFB,COL-COLUMBIA-INSIDE-TRACK-FAT-BOY-BOX,Columbia Inside Track Fat Boy Finishing Box - [12ITFB],414.0,False,12ITFB,"Size: 12""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,14FFBA,COL-COLUMBIA-AUTOMATIC-FLAT-BOX,Columbia Automatic Flat Finishing Box - [14FFBA],409.0,True,14FFBA,"Size: 14""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box,variation,14FFB,COL-COLUMBIA-FLAT-FINISHING-BOXES,Columbia Flat Finishing Box - [14FFB],384.0,False,14FFB,"Size: 14""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box_handle,simple,PC1H,,Columbia Predator One Fixed Handle - [PC1H],62.0,True,PC1H,PC1H,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box_handle,simple,C1HEXT,,Columbia One Extendable Handle - 3' - 5' - [C1HEXT],128.0,True,C1HEXT,C1HEXT,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box_handle,simple,PC1HEXT,,Columbia Predator One Extendable Handle - 3' - 5' - [PC1HEXT],138.0,True,PC1HEXT,PC1HEXT,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box_handle,variation,3BH,COL-COLUMBIA-180-GRIP-FLAT-BOX-HANDLE-FIXED-LENGTH,Columbia 180 Grip Flat Box Handle (Fixed Length) - [3BH],174.0,True,3BH,Handle Length: 3',Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box_handle,variation,42BH,COL-COLUMBIA-180-GRIP-FLAT-BOX-HANDLE-FIXED-LENGTH,Columbia 180 Grip Flat Box Handle (Fixed Length) - [42BH],175.0,True,42BH,"Handle Length: 42""",Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box_handle,variation,4BH,COL-COLUMBIA-180-GRIP-FLAT-BOX-HANDLE-FIXED-LENGTH,Columbia 180 Grip Flat Box Handle (Fixed Length) - [4BH],176.0,True,4BH,Handle Length: 4',Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box_handle,variation,5BH,COL-COLUMBIA-180-GRIP-FLAT-BOX-HANDLE-FIXED-LENGTH,Columbia 180 Grip Flat Box Handle (Fixed Length) - [5BH],177.0,True,5BH,Handle Length: 5',Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box_handle,variation,6BH,COL-COLUMBIA-180-GRIP-FLAT-BOX-HANDLE-FIXED-LENGTH,Columbia 180 Grip Flat Box Handle (Fixed Length) - [6BH],178.0,True,6BH,Handle Length: 6',Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,flat_box_handle,simple,CMH,,Columbia Closet Monster Flat Box Handle - [CMH],115.0,True,CMH,CMH,Drywall Finishing Tools > Columbia > Automatic Taping Tools
Columbia,hand_tool,variation,12-4.3-0.3-G-C,COL-COLUMBIA-SUPER-FLEX-0-3-FLAT-BLADE-STAINLESS-STEEL-FINISHING-TROWEL,Columbia Super Flex 0.3 Flat Blade Stainless Steel Finishing Trowel - [12-4.3-0.3-G-C],65.0,True,12-4.3-0.3-G-C,"Size: 4.3"" x 12"" Cork Handle",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
Columbia,hand_tool,variation,14-4.3-0.3-G-C,COL-COLUMBIA-SUPER-FLEX-0-3-FLAT-BLADE-STAINLESS-STEEL-FINISHING-TROWEL,Columbia Super Flex 0.3 Flat Blade Stainless Steel Finishing Trowel - [14-4.3-0.3-G-C],70.0,True,14-4.3-0.3-G-C,"Size: 4.3"" x 14"" Cork Handle",Drywall Finishing Tools > Columbia > Taping & Finishing Tools
