old_filename,new_filename
tapetech-tt501c15-15-flat-box-repair-kit-501C15-01.webp,tapetech-15-flat-box-repair-kit-501C15-01.webp
tapetech-tt501c15-15-flat-box-repair-kit-501C15-02.webp,tapetech-15-flat-box-repair-kit-501C15-02.webp
tapetech-tt501c15-15-inch-flat-box-repair-kit-501C15-01.webp,tapetech-15-inch-flat-box-repair-kit-501C15-01.webp
tapetech-tt501c15-15-inch-flat-box-repair-kit-501C15-02.webp,tapetech-15-inch-flat-box-repair-kit-501C15-02.webp
