Brands,Type,SKU,MPN,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Sale price,Date sale price starts,Date sale price ends,Regular price,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Shipping class,Allow customer reviews?,Purchase note,Categories,Tags,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 used for variations,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 used for variations,meta:_dtb_seo_title,meta:_dtb_seo_description,ID
TapeTech,simple,18158,VPALKNIFESET,TapeTech 6-Piece Palette Knife Set,1,0,visible,,TapeTech 6-Piece Palette Knife Set VPALKNIFESET,,,,12.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18158_VPALKNIFESET_001.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18157,VPAL06,TapeTech Palette Knife 06 for Decorative Finish,1,0,visible,,TapeTech Decorative Finish 06 Palette Knife VPAL06,,,,6.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18157_VPAL06_001.jpg https://www.shopamestools.com/Item_Images_AMES/18157_VPAL06_002.jpg https://www.shopamestools.com/Item_Images_AMES/18157_VPAL06_003.jpg https://www.shopamestools.com/Item_Images_AMES/18157_VPAL06_004.jpg https://www.shopamestools.com/Item_Images_AMES/18157_VPAL06_005.jpg https://www.shopamestools.com/Item_Images_AMES/18157_VPAL06_006.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18156,VPAL05,TapeTech Palette Knife 05 for Decorative Finish,1,0,visible,,TapeTech Decorative Finish 05 Palette Knife VPAL05,,,,6.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18156_VPAL05_001.jpg https://www.shopamestools.com/Item_Images_AMES/18156_VPAL05_002.jpg https://www.shopamestools.com/Item_Images_AMES/18156_VPAL05_003.jpg https://www.shopamestools.com/Item_Images_AMES/18156_VPAL05_004.jpg https://www.shopamestools.com/Item_Images_AMES/18156_VPAL05_005.jpg https://www.shopamestools.com/Item_Images_AMES/18156_VPAL05_006.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18155,VPAL04,TapeTech Palette Knife 04 for Decorative Finish,1,0,visible,,TapeTech Decorative Finish 04 Palette Knife VPAL04,,,,6.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18155_VPAL04_001.jpg https://www.shopamestools.com/Item_Images_AMES/18155_VPAL04_002.jpg https://www.shopamestools.com/Item_Images_AMES/18155_VPAL04_003.jpg https://www.shopamestools.com/Item_Images_AMES/18155_VPAL04_004.jpg https://www.shopamestools.com/Item_Images_AMES/18155_VPAL04_005.jpg https://www.shopamestools.com/Item_Images_AMES/18155_VPAL04_006.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18154,VPAL03,TapeTech Palette Knife 03 for Decorative Finish,1,0,visible,,TapeTech Decorative Finish 03 Palette Knife VPAL03,,,,6.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18154_VPAL03_001.jpg https://www.shopamestools.com/Item_Images_AMES/18154_VPAL03_002.jpg https://www.shopamestools.com/Item_Images_AMES/18154_VPAL03_003.jpg https://www.shopamestools.com/Item_Images_AMES/18154_VPAL03_004.jpg https://www.shopamestools.com/Item_Images_AMES/18154_VPAL03_005.jpg https://www.shopamestools.com/Item_Images_AMES/18154_VPAL03_006.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18153,VPAL02,TapeTech Palette Knife 02 for Decorative Finish,1,0,visible,,TapeTech Decorative Finish 02 Palette Knife VPAL02,,,,6.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18153_VPAL02_001.jpg https://www.shopamestools.com/Item_Images_AMES/18153_VPAL02_002.jpg https://www.shopamestools.com/Item_Images_AMES/18153_VPAL02_003.jpg https://www.shopamestools.com/Item_Images_AMES/18153_VPAL02_004.jpg https://www.shopamestools.com/Item_Images_AMES/18153_VPAL02_005.jpg https://www.shopamestools.com/Item_Images_AMES/18153_VPAL02_006.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18152,VPAL01,TapeTech Palette Knife 01 for Decorative Finish,1,0,visible,,TapeTech Decorative Finish 01 Palette Knife VPAL01,,,,6.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18152_VPAL01_001.jpg https://www.shopamestools.com/Item_Images_AMES/18152_VPAL01_002.jpg https://www.shopamestools.com/Item_Images_AMES/18152_VPAL01_003.jpg https://www.shopamestools.com/Item_Images_AMES/18152_VPAL01_004.jpg https://www.shopamestools.com/Item_Images_AMES/18152_VPAL01_005.jpg https://www.shopamestools.com/Item_Images_AMES/18152_VPAL01_006.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18147,VJPSCRAPE,TapeTech  Japanese Scraper Set,1,0,visible,,TapeTech Stainless Steel Japanese Scraper Set VJPSCRAPE,,,,14.99,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18147_VJPSCRAPE_001.jpg https://www.shopamestools.com/Item_Images_AMES/18147_VJPSCRAPE_002.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18137,TapeTechTexturingTrowelHard,VTEXHARD TapeTech Texturing Trowel - Hard,1,0,visible,,TapeTech Texturing Trowel - Hard VTEXHARD,,,,21.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18137_TapeTechTexturingTrowelHard_001.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18136,TapeTechTexturingTrowelSoft,VTEXSOFT TapeTech Texturing Trowel - Soft,1,0,visible,,TapeTech Texturing Trowel - Soft VTEXSOFT,,,,21.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18136_TapeTechTexturingTrowelSoft_001.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18135,TapeTechSpongeFloatPreMixedPlaster,VFLORAN TapeTech Sponge Float - Pre-Mixed Plaster,1,0,visible,,TapeTech Pre-Mixed Plaster Sponge Float VFLORAN,,,,15.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18135_TapeTechSpongeFloatPreMixedPlaster_001.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18134,TapeTechSpongeFloatTraditionalPlaster,VFLBLUE TapeTech Sponge Float - Traditional Plaster,1,0,visible,,TapeTech Traditional Plaster Sponge Float VFBLUE,,,,14.99,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18134_TapeTechSpongeFloatTraditionalPlaster_001.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18133,TapeTech280mmRigidPolycarbonateTrowelFLEXX,"VPCFLEX280 TapeTech 11"" x 4.25"" ProFlex Rigid Polycarbonate Trowel",1,0,visible,,"TapeTech 11"" x 4.25"" ProFlex Rigid Polycarbonate Trowel VPCFLEX280",,,,36.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18133_TapeTech280mmRigidPolycarbonateTrowelFLEXX_001.jpg https://www.shopamestools.com/Item_Images_AMES/18133_TapeTech280mmRigidPolycarbonateTrowelFLEXX_003.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18132,TapeTech360mmPolycarbonateTrowelMAXXLITE,"VPCLITE360 TapeTech 14"" x 4.25"" ProLite Flex Polycarbonate Trowel",1,0,visible,,"TapeTech 14"" x 4.25"" ProLite Flex Polycarbonate Trowel VPCLITE360",,,,35.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18132_TapeTech360mmPolycarbonateTrowelMAXXLITE_001.jpg https://www.shopamestools.com/Item_Images_AMES/18132_TapeTech360mmPolycarbonateTrowelMAXXLITE_003.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18131,TapeTech110mmInsideCornerTrowel,"VIN11075 TapeTech 4.3"" x 3"" Inside Corner Trowel",1,0,visible,,"TapeTech 4.3"" x 3"" Inside Corner Trowel VIN11075",,,,21.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18131_TapeTech110mmInsideCornerTrowel_001.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18130,TapeTech80mmInsideCornerTrowel,"VIN8060 TapeTech 3"" x 2.4"" Inside Corner Trowel",1,0,visible,,"TapeTech 3"" x 2.4"" Inside Corner Trowel VIN8060",,,,17.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18130_TapeTech80mmInsideCornerTrowel_001.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18129,TapeTech80mmMiniInsideCornerTrowel,"VIN8025 TapeTech 3"" x 1"" Mini Inside Corner Trowel",1,0,visible,,"TapeTech 3"" x 1"" Mini Inside Corner Trowel VIN8025",,,,16.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18129_TapeTech80mmMiniInsideCornerTrowel_001.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18128,TapeTech40mmMiniInsideCornerTrowel,"VIN4030 TapeTech 1.6"" x 1.2"" Mini Inside Corner Trowel",1,0,visible,,"TapeTech 1.6"" x 1.2"" Mini Inside Corner Trowel VIN4030",,,,16.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18128_TapeTech40mmMiniInsideCornerTrowel_001.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18127,TapeTech110mmOutsideCornerTrowel,"VEX11075 TapeTech 4.3"" x 3"" Outside Corner Trowel",1,0,visible,,"TapeTech 4.3"" x 3"" Outside Corner Trowel VEX11075",,,,21.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18127_TapeTech110mmOutsideCornerTrowel_001.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18126,TapeTech80mmOutsideCornerTrowel,"VEX8060 TapeTech 3"" x 2.4"" Outside Corner Trowel",1,0,visible,,"TapeTech 3"" x 2.4"" Outside Corner Trowel VEX8060",,,,17.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18126_TapeTech80mmOutsideCornerTrowel_001.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18125,TapeTech80mmMiniOutsideCornerTrowel,"VEX8025 TapeTech 3"" x 1"" Mini Outside Corner Trowel",1,0,visible,,"TapeTech 3"" x 1"" Mini Outside Corner Trowel VEX8025",,,,16.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18125_TapeTech80mmMiniOutsideCornerTrowel_001.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18124,TapeTech40mmMiniOutsideCornerTrowel,"VEX4030 TapeTech 1.6"" x 1.2"" Mini Outside Corner Trowel",1,0,visible,,"TapeTech 1.6"" x 1.2"" Mini Outside Corner Trowel VEX4030",,,,16.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18124_TapeTech40mmMiniOutsideCornerTrowel_001.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18123,TapeTech450mmSkimmingTrowelMAXFLEXX,"VFLEX450 TapeTech 18"" x 4.25"" Skimming Trowel",1,0,visible,,"TapeTech 18"" x 4.25"" Skimming Trowel VFLEX450",,,,80.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18123_TapeTech450mmSkimmingTrowelMAXFLEXX_001.jpg https://www.shopamestools.com/Item_Images_AMES/18123_TapeTech450mmSkimmingTrowelMAXFLEXX_003.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18122,TapeTech405mmSkimmingTrowelMAXFLEXX,"VFLEX405 TapeTech 16"" x 4.25"" Skimming Trowel",1,0,visible,,"TapeTech 16"" x 4.25"" Skimming Trowel VFLEX405",,,,64.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18122_TapeTech405mmSkimmingTrowelMAXFLEXX_001.jpg https://www.shopamestools.com/Item_Images_AMES/18122_TapeTech405mmSkimmingTrowelMAXFLEXX_003.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18121,TapeTech360mmSkimmingTrowelMAXFLEXX,"VFLEX360 TapeTech 14"" x 4.25"" Skimming Trowel",1,0,visible,,"TapeTech 14"" x 4.25"" Skimming Trowel VFLEX360",,,,58.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18121_TapeTech360mmSkimmingTrowelMAXFLEXX_001.jpg https://www.shopamestools.com/Item_Images_AMES/18121_TapeTech360mmSkimmingTrowelMAXFLEXX_003.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18120,TapeTech210mmPointedJapaneseTrowelMAXFLEXX,"VSFLEXJPP TapeTech 8.25"" x 2.25"" MAXFLEXX Pointed Japanese Trowel",1,0,visible,,"<p>TapeTech 8.25"" x 2.25"" MAXFLEXX Pointed Japanese Trowel VSFLEXJPP</p>",,,,38.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18120_TapeTech210mmPointedJapaneseTrowelMAXFLEXX_001.jpg https://www.shopamestools.com/Item_Images_AMES/18120_TapeTech210mmPointedJapaneseTrowelMAXFLEXX_003.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18119,TapeTech210mmRoundJapaneseTrowelMAXFLEXX,"VSFLEXJPR TapeTech 8.25"" x 2.25"" MAXFLEXX Round Japanese Trowel",1,0,visible,,"<p>TapeTech 8.25"" x 2.25"" MAXFLEXX Round Japanese Trowel VSFLEXJPR</p>",,,,38.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18119_TapeTech210mmRoundJapaneseTrowelMAXFLEXX_001.jpg https://www.shopamestools.com/Item_Images_AMES/18119_TapeTech210mmRoundJapaneseTrowelMAXFLEXX_003.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18118,TapeTech240mmMAXFLEXXVenetianTrowel,"VSFLEX100 TapeTech 9.5"" x 4"" MAXFLEXX Trowel",1,0,visible,,"<p>TapeTech 9.5"" x 4"" Venetian Trowel VSFLEX100</p>",,,,36.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18118_TapeTech240mmMAXFLEXXVenetianTrowel_001.jpg https://www.shopamestools.com/Item_Images_AMES/18118_TapeTech240mmMAXFLEXXVenetianTrowel_003.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18117,TapeTech200mmMAXFLEXXVenetianTrowel,"VSFLEX80 TapeTech 8"" x 3"" MAXFLEXX Venetian Trowel",1,0,visible,,"<p>TapeTech 8"" x 3"" MAXFLEXX Venetian Trowel VSFLEX80</p>",,,,34.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18117_TapeTech200mmMAXFLEXXVenetianTrowel_001.jpg https://www.shopamestools.com/Item_Images_AMES/18117_TapeTech200mmMAXFLEXXVenetianTrowel_003.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18116,TapeTech280mmBeveledEdgeVenetianTrowel,"VBEV120 TapeTech 11"" x 4.75"" Beveled Edge Venetian Trowel",1,0,visible,,"TapeTech 11"" x 4.75"" Beveled Edge Venetian Trowel VBEV120",,,,50.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18116_TapeTech280mmBeveledEdgeVenetianTrowel_001.jpg https://www.shopamestools.com/Item_Images_AMES/18116_TapeTech280mmBeveledEdgeVenetianTrowel_003.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18115,TapeTech240mmBeveledEdgeVenetianTrowel,"VBEV100 TapeTech 9.5"" x 4"" Beveled Edge Venetian Trowel",1,0,visible,,"TapeTech 9.5"" x 4"" Beveled Edge Venetian Trowel VBEV100",,,,48.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18115_TapeTech240mmBeveledEdgeVenetianTrowel_001.jpg https://www.shopamestools.com/Item_Images_AMES/18115_TapeTech240mmBeveledEdgeVenetianTrowel_003.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18114,TapeTech200mmBeveledEdgeVenetianTrowel,"VBEV80 TapeTech 8"" x 3"" Beveled Edge Venetian Trowel",1,0,visible,,"TapeTech 8"" x 3"" Beveled Edge Venetian Trowel VBEV80",,,,46.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18114_TapeTech200mmBeveledEdgeVenetianTrowel_001.jpg https://www.shopamestools.com/Item_Images_AMES/18114_TapeTech200mmBeveledEdgeVenetianTrowel_003.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
TapeTech,simple,18113,TapeTech280mmVNotchVenetianTrowel,"VNOTCH120 TapeTech 11"" x 4.75"" V-Notch Venetian Trowel",1,0,visible,,"TapeTech 11"" x 4.75"" V-Notch Venetian Trowel VNOTCH120",,,,52.00,taxable,,1,,,0,0,,,,,,1,,TapeTech,,https://www.shopamestools.com/Item_Images_AMES/18113_TapeTech280mmVNotchVenetianTrowel_001.jpg https://www.shopamestools.com/Item_Images_AMES/18113_TapeTech280mmVNotchVenetianTrowel_003.jpg,,,,,,,,,,Brand,TapeTech,1,1,0,,,,,,,,
