sku,type,image_count,filenames
PAFB-AD,variable,8,asgard-10-power-assist-finishing-box-PA10-AD-01.webp|asgard-10-power-assist-finishing-box-PA10-AD-02.webp|asgard-10-power-assist-finishing-box-PA10-AD-03.webp|asgard-10-power-assist-finishing-box-PA10-AD-04.webp|asgard-12-power-assist-finishing-box-PA12-AD-01.webp|asgard-12-power-assist-finishing-box-PA12-AD-02.webp|asgard-12-power-assist-finishing-box-PA12-AD-03.webp|asgard-12-power-assist-finishing-box-PA12-AD-04.webp
PA07-AD,variation,0,
PA10-AD,variation,4,asgard-10-power-assist-finishing-box-PA10-AD-01.webp|asgard-10-power-assist-finishing-box-PA10-AD-02.webp|asgard-10-power-assist-finishing-box-PA10-AD-03.webp|asgard-10-power-assist-finishing-box-PA10-AD-04.webp
PA12-AD,variation,4,asgard-12-power-assist-finishing-box-PA12-AD-01.webp|asgard-12-power-assist-finishing-box-PA12-AD-02.webp|asgard-12-power-assist-finishing-box-PA12-AD-03.webp|asgard-12-power-assist-finishing-box-PA12-AD-04.webp
TF-DVKN-31Q3,simple,0,
XH-AD,simple,0,
3WTDF,simple,4,columbia-3-inch-widetrack-direct-corner-flush-3WTDF-01.webp|columbia-3-widetrack-direct-corner-flusher-3WTDF-01.webp|columbia-3-inch-widetrack-direct-corner-flush-3WTDF-02.webp|columbia-3-widetrack-direct-corner-flusher-3WTDF-02.webp
3WTSF,simple,1,columbia-3-standard-corner-flusher-3WTSF-01.webp
AH4,simple,0,
AH6A,simple,0,
AH8,simple,0,
AH9,simple,0,
AHA,simple,0,
ANGLEHEADMAINTENANCEKITS,simple,0,
AUTOMATICFLATBOXES,simple,0,
AUTOMATICTAPERMAINTENANCEKITS,simple,0,
BF,simple,0,
BH06,simple,2,columbia-box-handle-hinge-pin-180-grip-BH06-01.webp|columbia-box-handle-hinge-pin-180-grip-BH06-02.webp
BH07,simple,0,
BH1,simple,1,columbia-mounting-plate-180-grip-BH1-01.webp
BH2,simple,1,columbia-box-handle-plate-180-grip-BH2-01.webp
BH4,simple,0,
BH5,simple,1,columbia-upper-mounting-bracket-180-grip-BH5-01.webp
C1H,simple,0,
C1HEXT,simple,0,
C1HS,simple,0,
CBNCR,simple,0,
CC,simple,0,
CEXT90,simple,0,
CF1B,simple,0,
CF4L,simple,0,
CFB15,simple,0,
CFB16,simple,0,
CFB1A,simple,0,
CFB28,simple,1,columbia-8-roll-face-CFB28-01.webp
CFB47,simple,1,columbia-7-pressure-door-CFB47-01.webp
CFB48,simple,1,columbia-8-pressure-door-CFB48-01.webp
CFB6,simple,0,
CFB77,simple,1,columbia-7-angle-box-door-gasket-CFB77-01.webp
CFB78,simple,1,columbia-8-door-gasket-for-angle-box-CFB78-01.webp
CFB8,simple,0,
CFB8A,simple,0,
CFLT,simple,0,
CHXL,simple,0,
CLOSETMONSTERFLATBOXHANDLE,simple,0,
CLT,simple,0,
CLTBF,simple,0,
CLTHA,simple,0,
CMH,simple,4,columbia-18-closet-monster-flat-box-handle-CMH-01.webp|columbia-18-inch-closet-monster-flat-box-hand-CMH-01.webp|columbia-18-closet-monster-flat-box-handle-CMH-02.webp|columbia-18-inch-closet-monster-flat-box-hand-CMH-02.webp
CMT,simple,0,
COBCR,simple,0,
COBCRE,simple,0,
COBCRW,simple,0,
COL-AH,variable,4,columbia-2-anglehead-2AH-01.webp|columbia-2-anglehead-2AH-02.webp|columbia-3-5-anglehead-35AH-01.webp|columbia-3-anglehead-3AH-01.webp
25AH,variation,0,
2AH,variation,2,columbia-2-anglehead-2AH-01.webp|columbia-2-anglehead-2AH-02.webp
35AH,variation,1,columbia-3-5-anglehead-35AH-01.webp
3AH,variation,1,columbia-3-anglehead-3AH-01.webp
COL-AHBLADE,variable,3,columbia-2-5-angle-head-carbide-blade-AH325-01.webp|columbia-3-angle-head-carbide-blade-AH33-01.webp|columbia-3-5-angle-head-carbide-blade-AH335-01.webp
AH32,variation,0,
AH325,variation,1,columbia-2-5-angle-head-carbide-blade-AH325-01.webp
AH33,variation,1,columbia-3-angle-head-carbide-blade-AH33-01.webp
AH335,variation,1,columbia-3-5-angle-head-carbide-blade-AH335-01.webp
COL-AHRBK,variable,7,columbia-2-inch-anglehead-blade-maintenance-k-AHRBK2-01.webp|columbia-2-5-anglehead-blade-maintenance-kit-AHRBK25-01.webp|columbia-2-5-inch-anglehead-blade-maintenance-AHRBK25-01.webp|columbia-3-anglehead-blade-maintenance-kit-AHRBK3-01.webp|columbia-3-inch-anglehead-blade-maintenance-k-AHRBK3-01.webp|columbia-3-5-anglehead-blade-maintenance-kit-AHRBK35-01.webp|columbia-3-5-inch-anglehead-blade-maintenance-AHRBK35-01.webp
AHRBK2,variation,1,columbia-2-inch-anglehead-blade-maintenance-k-AHRBK2-01.webp
AHRBK25,variation,2,columbia-2-5-anglehead-blade-maintenance-kit-AHRBK25-01.webp|columbia-2-5-inch-anglehead-blade-maintenance-AHRBK25-01.webp
AHRBK3,variation,2,columbia-3-anglehead-blade-maintenance-kit-AHRBK3-01.webp|columbia-3-inch-anglehead-blade-maintenance-k-AHRBK3-01.webp
AHRBK35,variation,2,columbia-3-5-anglehead-blade-maintenance-kit-AHRBK35-01.webp|columbia-3-5-inch-anglehead-blade-maintenance-AHRBK35-01.webp
COL-AHSPRING,variable,4,columbia-2-inch-angle-head-frame-tension-spri-AH72-01.webp|columbia-2-5-angle-head-frame-tension-spring-AH725-01.webp|columbia-2-5-inch-angle-head-frame-tension-sp-AH725-01.webp|columbia-3-angle-head-tension-spring-AH73-01.webp
AH72,variation,1,columbia-2-inch-angle-head-frame-tension-spri-AH72-01.webp
AH725,variation,2,columbia-2-5-angle-head-frame-tension-spring-AH725-01.webp|columbia-2-5-inch-angle-head-frame-tension-sp-AH725-01.webp
AH73,variation,1,columbia-3-angle-head-tension-spring-AH73-01.webp
AH735,variation,0,
COL-BBH,variable,17,columbia-36-inch-180-grip-bent-flat-box-handl-3BBH-01.webp|columbia-42-180-grip-bent-flat-box-handle-42BBH-01.webp|columbia-42-inch-180-grip-bent-flat-box-handl-42BBH-01.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-01.webp|columbia-48-inch-180-grip-bent-flat-box-handl-4BBH-01.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-02.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-03.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-04.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-05.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-06.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-07.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-08.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-09.webp|columbia-60-180-grip-bent-flat-box-handle-5BBH-01.webp|columbia-60-inch-180-grip-bent-flat-box-handl-5BBH-01.webp|columbia-72-180-grip-bent-flat-box-handle-6BBH-01.webp|columbia-72-inch-180-grip-bent-flat-box-handl-6BBH-01.webp
3BBH,variation,1,columbia-36-inch-180-grip-bent-flat-box-handl-3BBH-01.webp
42BBH,variation,2,columbia-42-180-grip-bent-flat-box-handle-42BBH-01.webp|columbia-42-inch-180-grip-bent-flat-box-handl-42BBH-01.webp
4BBH,variation,10,columbia-48-180-grip-bent-flat-box-handle-4BBH-01.webp|columbia-48-inch-180-grip-bent-flat-box-handl-4BBH-01.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-02.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-03.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-04.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-05.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-06.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-07.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-08.webp|columbia-48-180-grip-bent-flat-box-handle-4BBH-09.webp
5BBH,variation,2,columbia-60-180-grip-bent-flat-box-handle-5BBH-01.webp|columbia-60-inch-180-grip-bent-flat-box-handl-5BBH-01.webp
6BBH,variation,2,columbia-72-180-grip-bent-flat-box-handle-6BBH-01.webp|columbia-72-inch-180-grip-bent-flat-box-handl-6BBH-01.webp
COL-BH,variable,6,columbia-42-180-grip-flat-box-handle-42BH-01.webp|columbia-42-180-grip-flat-box-handle-42BH-02.webp|columbia-48-180-grip-flat-box-handle-4BH-01.webp|columbia-60-180-grip-flat-box-handle-5BH-01.webp|columbia-72-180-grip-featherweight-flat-box-handle-6BH-01.webp|columbia-72-inch-180-grip-featherweight-flat-6BH-01.webp
3BH,variation,0,
42BH,variation,2,columbia-42-180-grip-flat-box-handle-42BH-01.webp|columbia-42-180-grip-flat-box-handle-42BH-02.webp
4BH,variation,1,columbia-48-180-grip-flat-box-handle-4BH-01.webp
5BH,variation,1,columbia-60-180-grip-flat-box-handle-5BH-01.webp
6BH,variation,2,columbia-72-180-grip-featherweight-flat-box-handle-6BH-01.webp|columbia-72-inch-180-grip-featherweight-flat-6BH-01.webp
COL-CFB,variable,1,columbia-8-throttle-box-8CFB-01.webp
7CFB,variation,0,
8CFB,variation,1,columbia-8-throttle-box-8CFB-01.webp
COL-CLT,variable,4,columbia-32-cam-lock-tube-CLT32-01.webp|columbia-32-cam-lock-tube-CLT32-02.webp|columbia-42-cam-lock-tube-CLT42-01.webp|columbia-55-cam-lock-tube-CLT55-01.webp
CLT24,variation,0,
CLT32,variation,2,columbia-32-cam-lock-tube-CLT32-01.webp|columbia-32-cam-lock-tube-CLT32-02.webp
CLT42,variation,1,columbia-42-cam-lock-tube-CLT42-01.webp
CLT55,variation,1,columbia-55-cam-lock-tube-CLT55-01.webp
COL-CMPX6,variable,2,columbia-14-stainless-steel-mud-pan-C14MPX6-01.webp|columbia-14-stainless-steel-mud-pan-C14MPX6-02.webp
C12MPX6,variation,0,
C14MPX6,variation,2,columbia-14-stainless-steel-mud-pan-C14MPX6-01.webp|columbia-14-stainless-steel-mud-pan-C14MPX6-02.webp
C16MPX6,variation,0,
COL-CMT,variable,3,columbia-32-compound-mud-tube-CMT32-01.webp|columbia-42-compound-mud-tube-CMT42-01.webp|columbia-55-compound-mud-tube-CMT55-01.webp
CMT24,variation,0,
CMT32,variation,1,columbia-32-compound-mud-tube-CMT32-01.webp
CMT42,variation,1,columbia-42-compound-mud-tube-CMT42-01.webp
CMT55,variation,1,columbia-55-compound-mud-tube-CMT55-01.webp
COL-CSF,variable,2,columbia-3-5-combo-flusher-35CSF-01.webp|columbia-3-combo-flusher-3CSF-01.webp
25CSF,variation,0,
35CSF,variation,1,columbia-3-5-combo-flusher-35CSF-01.webp
3CSF,variation,1,columbia-3-combo-flusher-3CSF-01.webp
COL-CTK,variable,7,columbia-10-inch-stainless-steel-comfort-grip-CTK10-01.webp|columbia-12-inch-stainless-steel-comfort-grip-CTK12-01.webp|columbia-12-stainless-steel-comfort-grip-taping-knife-CTK12-01.webp|columbia-14-inch-stainless-steel-comfort-grip-CTK14-01.webp|columbia-14-stainless-steel-comfort-grip-taping-knife-CTK14-01.webp|columbia-8-inch-stainless-steel-comfort-grip-CTK8-01.webp|columbia-8-stainless-steel-comfort-grip-taping-knife-CTK8-01.webp
CTK10,variation,1,columbia-10-inch-stainless-steel-comfort-grip-CTK10-01.webp
CTK12,variation,2,columbia-12-inch-stainless-steel-comfort-grip-CTK12-01.webp|columbia-12-stainless-steel-comfort-grip-taping-knife-CTK12-01.webp
CTK14,variation,2,columbia-14-inch-stainless-steel-comfort-grip-CTK14-01.webp|columbia-14-stainless-steel-comfort-grip-taping-knife-CTK14-01.webp
CTK8,variation,2,columbia-8-inch-stainless-steel-comfort-grip-CTK8-01.webp|columbia-8-stainless-steel-comfort-grip-taping-knife-CTK8-01.webp
COL-DF,variable,3,columbia-3-5-direct-corner-flusher-35DF-01.webp|columbia-3-direct-corner-flusher-3DF-01.webp|columbia-3-direct-corner-flusher-3DF-02.webp
25DF,variation,0,
35DF,variation,1,columbia-3-5-direct-corner-flusher-35DF-01.webp
3DF,variation,2,columbia-3-direct-corner-flusher-3DF-01.webp|columbia-3-direct-corner-flusher-3DF-02.webp
COL-FBB,variable,5,columbia-12-fat-boy-flat-box-12FBB-01.webp|columbia-12-fat-boy-flat-box-12FBB-02.webp|columbia-5-5-fat-boy-flat-box-55FBB-01.webp|columbia-8-fat-boy-flat-box-8FBB-01.webp|columbia-8-fat-boy-flat-box-8FBB-02.webp
10FBB,variation,0,
12FBB,variation,2,columbia-12-fat-boy-flat-box-12FBB-01.webp|columbia-12-fat-boy-flat-box-12FBB-02.webp
55FBB,variation,1,columbia-5-5-fat-boy-flat-box-55FBB-01.webp
8FBB,variation,2,columbia-8-fat-boy-flat-box-8FBB-01.webp|columbia-8-fat-boy-flat-box-8FBB-02.webp
COL-FBBA,variable,7,columbia-10-inch-fat-boy-automatic-assist-dry-10FBBA-01.webp|columbia-12-fat-boy-automatic-assist-drywall-flat-box-12FBBA-01.webp|columbia-12-inch-fat-boy-automatic-assist-dry-12FBBA-01.webp|columbia-12-fat-boy-automatic-assist-drywall-flat-box-12FBBA-02.webp|columbia-8-fat-boy-automatic-assist-drywall-flat-box-8FBBA-01.webp|columbia-8-inch-fat-boy-automatic-assist-dryw-8FBBA-01.webp|columbia-8-fat-boy-automatic-assist-drywall-flat-box-8FBBA-02.webp
10FBBA,variation,1,columbia-10-inch-fat-boy-automatic-assist-dry-10FBBA-01.webp
12FBBA,variation,3,columbia-12-fat-boy-automatic-assist-drywall-flat-box-12FBBA-01.webp|columbia-12-inch-fat-boy-automatic-assist-dry-12FBBA-01.webp|columbia-12-fat-boy-automatic-assist-drywall-flat-box-12FBBA-02.webp
8FBBA,variation,3,columbia-8-fat-boy-automatic-assist-drywall-flat-box-8FBBA-01.webp|columbia-8-inch-fat-boy-automatic-assist-dryw-8FBBA-01.webp|columbia-8-fat-boy-automatic-assist-drywall-flat-box-8FBBA-02.webp
COL-FFB,variable,8,columbia-12-flat-finishing-box-12FFB-01.webp|columbia-14-flat-box-14FFB-01.webp|columbia-14-flat-box-14FFB-02.webp|columbia-5-5-flat-finishing-box-55FFB-01.webp|columbia-7-flat-finishing-box-7FFB-01.webp|columbia-7-flat-finishing-box-7FFB-02.webp|columbia-8-flat-finishing-box-8FFB-01.webp|columbia-8-flat-finishing-box-8FFB-02.webp
10FFB,variation,0,
12FFB,variation,1,columbia-12-flat-finishing-box-12FFB-01.webp
14FFB,variation,2,columbia-14-flat-box-14FFB-01.webp|columbia-14-flat-box-14FFB-02.webp
55FFB,variation,1,columbia-5-5-flat-finishing-box-55FFB-01.webp
7FFB,variation,2,columbia-7-flat-finishing-box-7FFB-01.webp|columbia-7-flat-finishing-box-7FFB-02.webp
8FFB,variation,2,columbia-8-flat-finishing-box-8FFB-01.webp|columbia-8-flat-finishing-box-8FFB-02.webp
COL-FFBA,variable,2,columbia-12-automatic-flat-box-12FFBA-01.webp|columbia-14-automatic-flat-box-14FFBA-01.webp
10FFBA,variation,0,
12FFBA,variation,1,columbia-12-automatic-flat-box-12FFBA-01.webp
14FFBA,variation,1,columbia-14-automatic-flat-box-14FFBA-01.webp
8FFBA,variation,0,
COL-GN,variable,1,columbia-tall-boy-gooseneck-TBGN-02.webp
GN,variation,0,
TBGN,variation,1,columbia-tall-boy-gooseneck-TBGN-02.webp
COL-ITFB,variable,5,columbia-10-inch-inside-track-fat-boy-flat-bo-10ITFB-01.webp|columbia-12-inch-inside-track-fat-boy-flat-bo-12ITFB-01.webp|columbia-12-inside-track-fat-boy-flat-box-12ITFB-01.webp|columbia-8-inside-track-fat-boy-flat-box-8ITFB-01.webp|columbia-8-inside-track-fat-boy-flat-box-8ITFB-02.webp
10ITFB,variation,1,columbia-10-inch-inside-track-fat-boy-flat-bo-10ITFB-01.webp
12ITFB,variation,2,columbia-12-inch-inside-track-fat-boy-flat-bo-12ITFB-01.webp|columbia-12-inside-track-fat-boy-flat-box-12ITFB-01.webp
