record_type,row_number,name,current_sku,proposed_sku,current_parent,proposed_parent,current_mpn,proposed_mpn,source,notes
variation,1593,"TapeTech 14"" x 4.3"" Premium Gold Finishing Trowel",18165,18165,TapeTechx43PremiumGoldFinishingTrowel,TapeTechx43PremiumGoldFinishingTrowel,TG14053PS,TG14053-PS,description_code_format_normalization,same_code_better_format
variation,1594,"TapeTech 16"" x 4.3"" Premium Gold Finishing Trowel",18166,18166,TapeTechx43PremiumGoldFinishingTrowel,TapeTechx43PremiumGoldFinishingTrowel,TG16053PS,TG16053-PS,description_code_format_normalization,same_code_better_format
variation,1595,"TapeTech 18"" x 4.3"" Premium Gold Finishing Trowel",18167,18167,TapeTechx43PremiumGoldFinishingTrowel,TapeTechx43PremiumGoldFinishingTrowel,TG18053PS,TG18053-PS,description_code_format_normalization,same_code_better_format
variable,1552,"TapeTech x 4.7"" Premium Gold Curved Finishing Trowel",TapeTechx47PremiumGoldCurvedFinishingTrowel,TapeTechx47PremiumGoldCurvedFinishingTrowel,,,TapeTechx47PremiumGoldCurvedFinishingTrowel,,current_family_key_blank_parent_mpn,children=2
variation,1600,"TapeTech 12"" x 4.7"" Premium Gold Curved Finishing Trowel",18178,18178,TapeTechx47PremiumGoldCurvedFinishingTrowel,TapeTechx47PremiumGoldCurvedFinishingTrowel,TapeTech12inx4.7inPremiumGoldCurvedFinishingTrowel,TG120565-PSCU,description_code,synthetic_or_blank_current_mpn
variation,1601,"TapeTech 14"" x 4.7"" Premium Gold Curved Finishing Trowel",18179,18179,TapeTechx47PremiumGoldCurvedFinishingTrowel,TapeTechx47PremiumGoldCurvedFinishingTrowel,TapeTechGoldStainlessSteelCurvedFinishingTrowel,TG140565-PSCU,description_code,synthetic_or_blank_current_mpn
variable,1553,"TapeTech x 4.7"" Premium Gold Finishing Trowel",TapeTechx47PremiumGoldFinishingTrowel,TapeTechx47PremiumGoldFinishingTrowel,,,TapeTechx47PremiumGoldFinishingTrowel,,current_family_key_blank_parent_mpn,children=4
variation,1596,"TapeTech 12"" x 4.7"" Premium Gold Finishing Trowel",18168,18168,TapeTechx47PremiumGoldFinishingTrowel,TapeTechx47PremiumGoldFinishingTrowel,TG12054PS,TG12054-PS,description_code_format_normalization,same_code_better_format
variation,1597,"TapeTech 14"" x 4.7"" Premium Gold Finishing Trowel",18169,18169,TapeTechx47PremiumGoldFinishingTrowel,TapeTechx47PremiumGoldFinishingTrowel,TG14054PS,TG14054-PS,description_code_format_normalization,same_code_better_format
variation,1598,"TapeTech 16"" x 4.7"" Premium Gold Finishing Trowel",18170,18170,TapeTechx47PremiumGoldFinishingTrowel,TapeTechx47PremiumGoldFinishingTrowel,TG16054PS,TG16054-PS,description_code_format_normalization,same_code_better_format
variation,1599,"TapeTech 18"" x 4.7"" Premium Gold Finishing Trowel",18171,18171,TapeTechx47PremiumGoldFinishingTrowel,TapeTechx47PremiumGoldFinishingTrowel,TG18054PS,TG18054-PS,description_code_format_normalization,same_code_better_format
variable,1554,"TapeTech x 4.7"" Premium Gold Rounded Front Pool Trowel",TapeTechx47PremiumGoldRoundedFrontPoolTrowel,TapeTechx47PremiumGoldRoundedFrontPoolTrowel,,,TapeTechx47PremiumGoldRoundedFrontPoolTrowel,,current_family_key_blank_parent_mpn,children=4
variation,1602,"TapeTech 12"" x 4.7"" Premium Gold Rounded Front Pool Trowel",18182,18182,TapeTechx47PremiumGoldRoundedFrontPoolTrowel,TapeTechx47PremiumGoldRoundedFrontPoolTrowel,TapeTechGoldStainlessSteelPoolTrowel,TGP120565-PS,description_code,synthetic_or_blank_current_mpn
variation,1603,"TapeTech 14"" x 4.7"" Premium Gold Rounded Front Pool Trowel",18183,18183,TapeTechx47PremiumGoldRoundedFrontPoolTrowel,TapeTechx47PremiumGoldRoundedFrontPoolTrowel,TapeTechGoldStainlessSteelPoolTrowel,TGP140565-PS,description_code,synthetic_or_blank_current_mpn
variation,1604,"TapeTech 16"" x 4.7"" Premium Gold Rounded Front Pool Trowel",18184,18184,TapeTechx47PremiumGoldRoundedFrontPoolTrowel,TapeTechx47PremiumGoldRoundedFrontPoolTrowel,TapeTechGoldStainlessSteelPoolTrowel,TGP160565-PS,description_code,synthetic_or_blank_current_mpn
variation,1605,"TapeTech 18"" x 4.7"" Premium Gold Rounded Front Pool Trowel",18185,18185,TapeTechx47PremiumGoldRoundedFrontPoolTrowel,TapeTechx47PremiumGoldRoundedFrontPoolTrowel,TapeTechGoldStainlessSteelPoolTrowel,TGP180565-PS,description_code,synthetic_or_blank_current_mpn
