sku,official_part_name,tool,price_usd,source_line
CT25,Knife Guide Square Tube,Columbia Automatic Taper Head,33.0,58
CT27,Knife Guide Bracket - Left,Columbia Automatic Taper Head,13.0,59
CT41,Knife Retainer Block,Columbia Automatic Taper Head,2.0,67
CT41A,Knife Retainer Cap,Columbia Automatic Taper Head,6.0,68
FA208,"4-40 x 1/8"" Binder Slot",Columbia Automatic Taper Head,1.0,117
FA208,"4-40 x 1/8"" Binder Slot",Columbia Automatic Taper Body,1.0,356
FA308,"1/2"" x 7/8"" Flat Washer",Columbia Hot Mud Pump,2.0,393
