brand,name,description_full,sku,upc,description_short
Graco,"Graco Blue Hose Kit 1"" x 25' for RTX 1500/2000pi/5000pi","Add-on Graco Blue Hose Kit 1"" x 25' for RTX 1500/2000pi/5000pi.",17J420,755652328650,"Add-on Graco Blue Hose Kit 1"" x 25' for RTX 1500/2000pi/5000pi."
Graco,Graco BlueMax II Airless Whip Hose - 1/4 in x 3 ft,"This Graco 4000 psi, M x F, 1/4"" x 3' whip hose will help with all your painting and texture needs.",277249,633955114081,"This Graco 4000 psi, M x F, 1/4"" x 3' whip hose will help with all your painting and texture needs."
Graco,Graco Cam-Lok Kit (Converts Threaded End Hose),Graco #287337 Cam-Lok Kit (Converts Threaded End Hose). Screw-on Cam-Lok quick disconnect fittings for Braided Hose Kit (Graco #287304),287337,633955057203,Graco #287337 Cam-Lok Kit (Converts Threaded End Hose). Screw-on Cam-Lok quick disconnect fittings for Braided Hose Kit (Graco #287304)
Graco,Graco CM20 ToughTek Continuous Mixer,"For large jobs, the affordable CM20 continuous mixer achieves higher output than traditional methods and comparable mixers while maintaining a high-quality mix. In addition, the CM20 is the first continuous mixer on the market to be rated for a standard 120V circuit so you can plug it in and start mixing anywhere on the site.

Automatic mixers for cementitious materials

Easy to operate, easy to move

Plug and play – CM20 rated for a 120V circuit

Variable pump output lets you adjust material flow

Flow rate: 18 gpm (70 lpm)

Output (underlayment): up to 40 bags per hour (based on 80-lb/36 kg bags)

Hopper capacity: 16 Gal (60.6 L)

Power requirements: 230V, 30A, 1-ph or 230V, 30A, 3-ph

Easy to take apart for quick clean-up and transport

Easy to maintain with long-wearing parts and components",25m530,755652648253,"For large jobs, the affordable CM20 continuous mixer achieves higher output than traditional methods and comparable mixers while maintaining a high-quality mix. In addition, the CM20 is the first continuous mixer on the market to be rated for a standard 120V circuit so you can plug it in and start mixing anywhere on the site."
Graco,Graco Continuous Flow Pump Replacement Tire,The Foam Filled Tire replaces worn or damaged tires on the Continuous Flow Pump (CTPMP),122267,810135981149,The Foam Filled Tire replaces worn or damaged tires on the Continuous Flow Pump (CTPMP)
Graco,Graco Contractor Airless Gun Repair Kit,"Contractor Airless Gun Repair Kit - 218070

Used to replace the needle and internal packing's of an airless spray gun.

For use to repair these Airless Spray Guns

243285 - FTX Gun with RAC V

238350 - FTX Gun with RAC IV

238352 - Contractor ST Gun

243282 - Contractor Gun with RAC V

824950 - Contractor Gun with RAC V (SW Model)

220955 - Contractor Gun with RAC IV

244161 - Contractor In-Line Valve Gun",218070,633955361720,Contractor Airless Gun Repair Kit - 218070
Graco,Graco Coupled Hose,,118885,633955056183,
Graco,Graco Disk Spray Tip W10 - Hardened,24S117 - Graco Disk Spray Tip W10 - Hardened. This is an original Graco part.,24S117,755652339748,24S117 - Graco Disk Spray Tip W10 - Hardened. This is an original Graco part.
Graco,Graco Disk Spray Tip W12 - Hardened,24S118 - Graco Disk Spray Tip W12 - Hardened. This is an original Graco part.,24S118,755652339755,24S118 - Graco Disk Spray Tip W12 - Hardened. This is an original Graco part.
Graco,Graco Disk Spray Tip W4 - Hardened,,24S114,755652339717,
Graco,Graco Disk Spray Tip W6 - Hardened,24S115 - Graco Disk Spray Tip W6 - Hardened. This is an original Graco part.,24S115,755652339724,24S115 - Graco Disk Spray Tip W6 - Hardened. This is an original Graco part.
Graco,Graco Disk Spray Tip W8 - Hardened,,24S116,755652339731,
Graco,Graco Endurance Chromex Piston Pump,"Genuine Graco Endurance Pumps lead the industry in durability and ease of installation. Keep a spare on hand to minimize downtime in the field.

Replacement pump for

GMAX II 3900 Standard Series Lo-Boy sprayers model year 2014 and newer.

Lasts 2X longer than the next leading brand

Chromex rod and hardened stainless steel cylinder

Long Life V-Max Blue Packings

Faster cleaning with the QuikAccess intake valve

Repack the pump in minutes with the new QuikPak Cartridge System",16X414,633955417144,Genuine Graco Endurance Pumps lead the industry in durability and ease of installation. Keep a spare on hand to minimize downtime in the field.
Graco,Graco External Compressor Connection Kit,Graco RTX Auxiliary Air Kit 287328 for RTX 1500 allows use of external air supply for greater atomization at spray gun. (Requires user-supplied compressor with minimum output 10 cfm @ 100 psi),287328,633955081031,Graco RTX Auxiliary Air Kit 287328 for RTX 1500 allows use of external air supply for greater atomization at spray gun. (Requires user-supplied compressor with minimum output 10 cfm @ 100 psi)
