source_row_number,issue_scope,parent_sku,parent_name,variation_axis,variation_value,variation_sku,variation_name,duplicate_group_size,duplicate_parents,duplicate_variations,image_files,image_urls,row_validation_status
45,cross_parent,COL-COMBO-FLUSHER,Columbia Combo Flusher,Size,"3"" Widetrack",3WTCSF,"Columbia Combo Flusher - 3"" Widetrack",2,"COL-COMBO-FLUSHER, COL-DIRECT-FLUSHER","COL-COMBO-FLUSHER/3WTCSF[3"" Widetrack] ; COL-DIRECT-FLUSHER/3WTDF[3"" Widetrack]",columbia_tools_3wtdf_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_3wtdf_01.webp,official-brand-catalog-validated
58,cross_parent,COL-DIRECT-FLUSHER,Columbia Direct Flusher,Size,"3"" Widetrack",3WTDF,"Columbia Direct Flusher - 3"" Widetrack",2,"COL-COMBO-FLUSHER, COL-DIRECT-FLUSHER","COL-COMBO-FLUSHER/3WTCSF[3"" Widetrack] ; COL-DIRECT-FLUSHER/3WTDF[3"" Widetrack]",columbia_tools_3wtdf_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/columbia_tools_3wtdf_01.webp,official-brand-catalog-price-validated
591,cross_parent,PT-CF,Platinum Angle Head Corner Finisher with Wheels,size,2.5 in,PT-CF2.5,"Platinum Angle Head Corner Finisher with Wheels - 2.5""",2,"PT-CF, PT-SSCF",PT-CF/PT-CF2.5[2.5 in] ; PT-SSCF/PT-2.5CF[2.5 in],platinum_pt_cf2_5_02.webp | platinum_pt_cf2_5_05.webp | platinum_pt_cf2_5_01.webp | platinum_pt_cf2_5_03.webp | platinum_pt_cf2_5_04.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_02.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_05.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_01.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_03.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_04.webp,ready
612,cross_parent,PT-SSCF,Platinum Stainless Steel Corner Flusher,size,2.5 in,PT-2.5CF,"Platinum Stainless Steel Corner Flusher - 2.5""",2,"PT-CF, PT-SSCF",PT-CF/PT-CF2.5[2.5 in] ; PT-SSCF/PT-2.5CF[2.5 in],platinum_pt_cf2_5_02.webp | platinum_pt_cf2_5_05.webp | platinum_pt_cf2_5_01.webp | platinum_pt_cf2_5_03.webp | platinum_pt_cf2_5_04.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_02.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_05.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_01.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_03.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf2_5_04.webp,ready
593,cross_parent,PT-CF,Platinum Angle Head Corner Finisher with Wheels,size,3.5 in,PT-CF3.5,"Platinum Angle Head Corner Finisher with Wheels - 3.5""",2,"PT-CF, PT-SSCF",PT-CF/PT-CF3.5[3.5 in] ; PT-SSCF/PT-3.5CF[3.5 in],platinum_pt_cf3_5_03.webp | platinum_pt_cf3_5_05.webp | platinum_pt_cf3_5_01.webp | platinum_pt_cf3_5_02.webp | platinum_pt_cf3_5_04.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf3_5_03.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf3_5_05.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf3_5_01.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf3_5_02.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf3_5_04.webp,ready
611,cross_parent,PT-SSCF,Platinum Stainless Steel Corner Flusher,size,3.5 in,PT-3.5CF,"Platinum Stainless Steel Corner Flusher - 3.5""",2,"PT-CF, PT-SSCF",PT-CF/PT-CF3.5[3.5 in] ; PT-SSCF/PT-3.5CF[3.5 in],platinum_pt_cf3_5_03.webp | platinum_pt_cf3_5_05.webp | platinum_pt_cf3_5_01.webp | platinum_pt_cf3_5_02.webp | platinum_pt_cf3_5_04.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf3_5_03.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf3_5_05.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf3_5_01.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf3_5_02.webp | https://drywalltoolbox.com/wp-content/uploads/2026/media/platinum_pt_cf3_5_04.webp,ready
670,cross_parent,TT-BRAKELESS-BOX-HANDLE,TapeTech Brakeless Box Handle,Model,"Fixed 34""",BH,"TapeTech Brakeless Box Handle - Fixed 34""",2,"TT-BRAKELESS-BOX-HANDLE, TT-CARBON-FIBER-BOX-HANDLE","TT-BRAKELESS-BOX-HANDLE/BH[Fixed 34""] ; TT-CARBON-FIBER-BOX-HANDLE/FBH2642TT-CF[26""-42""]",tapetech_bh_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/tapetech_bh_01.webp,official-brand-catalog-price-validated
672,cross_parent,TT-CARBON-FIBER-BOX-HANDLE,TapeTech Carbon Fiber Box Handle,Extension Range,"26""-42""",FBH2642TT-CF,"TapeTech Carbon Fiber Box Handle - 26""-42""",2,"TT-BRAKELESS-BOX-HANDLE, TT-CARBON-FIBER-BOX-HANDLE","TT-BRAKELESS-BOX-HANDLE/BH[Fixed 34""] ; TT-CARBON-FIBER-BOX-HANDLE/FBH2642TT-CF[26""-42""]",tapetech_bh_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/tapetech_bh_01.webp,official-brand-catalog-validated
671,cross_parent,TT-BRAKELESS-BOX-HANDLE,TapeTech Brakeless Box Handle,Model,"Extendable 34""-60""",BHE,"TapeTech Brakeless Box Handle - Extendable 34""-60""",2,"TT-BRAKELESS-BOX-HANDLE, TT-CARBON-FIBER-BOX-HANDLE","TT-BRAKELESS-BOX-HANDLE/BHE[Extendable 34""-60""] ; TT-CARBON-FIBER-BOX-HANDLE/FBH4272TT-CF[42""-72""]",tapetech_bhe_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/tapetech_bhe_01.webp,official-brand-catalog-price-validated
673,cross_parent,TT-CARBON-FIBER-BOX-HANDLE,TapeTech Carbon Fiber Box Handle,Extension Range,"42""-72""",FBH4272TT-CF,"TapeTech Carbon Fiber Box Handle - 42""-72""",2,"TT-BRAKELESS-BOX-HANDLE, TT-CARBON-FIBER-BOX-HANDLE","TT-BRAKELESS-BOX-HANDLE/BHE[Extendable 34""-60""] ; TT-CARBON-FIBER-BOX-HANDLE/FBH4272TT-CF[42""-72""]",tapetech_bhe_01.webp,https://drywalltoolbox.com/wp-content/uploads/2026/media/tapetech_bhe_01.webp,official-brand-catalog-validated
