"attachment_id","schematic_id","brand","model_number","model_name","part_count","notes","product_ids"
"","columbia-180-grip-flat-box-handle-sch","Columbia Tools","COL180GRIPFLATBOXHANDLEFIXEDLENGTH","Columbia 180 Grip Flat Box Handle","22","dir_map=Handles/FlatBoxHandle; catalog=dtb_woocommerce_official_catalog_stage1_simple_variable.csv; dir_map=Handles/FlatBoxHandle; catalog=dtb_woocommerce_official_catalog_stage1_simple_variable.csv; normalized_from=columbia-180gripboxhandle-2014; slug=columbia-180-grip-flat-box-handle; sku=COL180GRIPFLATBOXHANDLEFIXEDLENGTH",""
"","columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch","Columbia Tools","ICATW","Columbia Billet Mud Applicator - Two-Way Internal Corner 4 Wheels","6","dir_map=Applicators/TwoWayInternalCorner; catalog=wc-product-export-current.csv; dir_map=Applicators/TwoWayInternalCorner; catalog=wc-product-export-current.csv; normalized_from=columbia-2-way-internal-corner-applicator-1; slug=columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw; sku=ICATW",""
"","columbia-standard-flusher-sch","Columbia Tools","COLSTANDARDFLUSHERS","Columbia Standard Flusher","14","dir_map=CornerFlushers/StandardCornerFlusher; catalog=dtb_woocommerce_official_catalog_stage1_simple_variable.csv; dir_map=CornerFlushers/StandardCornerFlusher; catalog=dtb_woocommerce_official_catalog_stage1_simple_variable.csv; normalized_from=columbia-3-5inch-corner-flusher-schematic-2015; slug=columbia-standard-flusher; sku=COLSTANDARDFLUSHERS",""
"","columbia-billet-mud-applicator-external-90-cext90-sch","Columbia Tools","CEXT90","Columbia Billet Mud Applicator - External 90","8","dir_map=Applicators/ExternalCorner; catalog=wc-product-export-current.csv; dir_map=Applicators/ExternalCorner; catalog=wc-product-export-current.csv; normalized_from=columbia-8-wheel-external-corner-applicator-1; slug=columbia-billet-mud-applicator-external-90-cext90; sku=CEXT90",""
"","columbia-angle-head-sch","Columbia Tools","COLANGLEHEAD","Columbia Angle Head","34","dir_map=Angleheads/AngleHead; catalog=wc-product-export-current.csv; dir_map=Angleheads/AngleHead; catalog=wc-product-export-current.csv; normalized_from=columbia-anglehead-2014-3; slug=columbia-angle-head; sku=COLANGLEHEAD",""
"","columbia-automatic-flat-finishing-box-sch","Columbia Tools","COLAUTOMATICFLATBOX","Columbia Automatic Flat Finishing Box","69","dir_map=FinishingBoxes/AutomaticFlatBox; catalog=wc-product-export-current.csv; dir_map=FinishingBoxes/AutomaticFlatBox; catalog=wc-product-export-current.csv; normalized_from=columbia-auto-box-schematic-2022; slug=columbia-automatic-flat-finishing-box; sku=COLAUTOMATICFLATBOX",""
"","columbia-box-filler-sch","Columbia Tools","COLBOXFILLER","Columbia Box Filler","6","dir_map=Pumps/BoxFiller; catalog=wc-product-export-current.csv; dir_map=Pumps/BoxFiller; catalog=wc-product-export-current.csv; normalized_from=columbia-box-filler; slug=columbia-box-filler; sku=COLBOXFILLER",""
"","columbia-cam-lock-tube-sch","Columbia Tools","COLCAMLOCKTUBE","Columbia Cam Lock Tube","27","dir_map=CompoundTubes/CamLockTube; catalog=wc-product-export-current.csv; dir_map=CompoundTubes/CamLockTube; catalog=wc-product-export-current.csv; normalized_from=columbia-cam-lock-tube-2019; slug=columbia-cam-lock-tube; sku=COLCAMLOCKTUBE",""
"","columbia-combo-flusher-sch","Columbia Tools","COLCOMBOFLUSHER","Columbia Combo Flusher","22","dir_map=CornerFlushers/ComboFlusher; catalog=wc-product-export-current.csv; dir_map=CornerFlushers/ComboFlusher; catalog=wc-product-export-current.csv; normalized_from=columbia-classic-combo-flusher-1; slug=columbia-combo-flusher; sku=COLCOMBOFLUSHER",""
"","columbia-closet-monster-handle-sch","Columbia Tools","CMH","Columbia Closet Monster Handle","13","dir_map=Handles/ClosetMonster; catalog=wc-product-export-current.csv; dir_map=Handles/ClosetMonster; catalog=wc-product-export-current.csv; normalized_from=columbia-closetmonster-2015; slug=columbia-closet-monster-handle; sku=CMH",""
"","columbia-one-handle-sch","Columbia Tools","COLONEHANDLE","Columbia One Handle","4","dir_map=Handles/ColumbiaOne; catalog=wc-product-export-current.csv; dir_map=Handles/ColumbiaOne; catalog=wc-product-export-current.csv; normalized_from=columbia-columbia-one; slug=columbia-one-handle; sku=COLONEHANDLE",""
