sku_code,product_id,sellable_id,before_product_title,before_sellable_title,before_full_title,after_sellable_title,after_full_title,status,message
FA270,353657398,716869999,"#10 x 3/4"" Fender Washer","#10 x 3/4"" Fender Washer","#10 x 3/4"" Fender Washer #10 x 3/4"" Fender Washer",Standard,"#10 x 3/4"" Fender Washer Standard",updated,"{""id"": 353657398, ""title"": ""#10 x 3/4\"" Fender Washer"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:11.808Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:27:57.613Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_ur"
FA228,353657400,716870000,#6 Flat Washer,#6 Flat Washer,#6 Flat Washer #6 Flat Washer,Standard,#6 Flat Washer Standard,updated,"{""id"": 353657400, ""title"": ""#6 Flat Washer"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:12.089Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:27:59.152Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""es"
FA229,353657403,716870006,#6 Lock Washer,#6 Lock Washer,#6 Lock Washer #6 Lock Washer,Standard,#6 Lock Washer Standard,updated,"{""id"": 353657403, ""title"": ""#6 Lock Washer"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:12.418Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:00.579Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""es"
FA230,353657406,716870012,#6 Star Washer,#6 Star Washer,#6 Star Washer #6 Star Washer,Standard,#6 Star Washer Standard,updated,"{""id"": 353657406, ""title"": ""#6 Star Washer"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:12.720Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:02.093Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""es"
FA253,353657409,716870016,#8 Flat Washer,#8 Flat Washer,#8 Flat Washer #8 Flat Washer,Standard,#8 Flat Washer Standard,updated,"{""id"": 353657409, ""title"": ""#8 Flat Washer"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:13.021Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:03.624Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""es"
FA252,353657414,716870022,#8 Star Washer,#8 Star Washer,#8 Star Washer #8 Star Washer,Standard,#8 Star Washer Standard,updated,"{""id"": 353657414, ""title"": ""#8 Star Washer"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:13.365Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:05.245Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"": """", ""es"
FA202,353657421,716870034,"1/16 X 1/2"" Cotter Pin","1/16 X 1/2"" Cotter Pin","1/16 X 1/2"" Cotter Pin 1/16 X 1/2"" Cotter Pin",Standard,"1/16 X 1/2"" Cotter Pin Standard",updated,"{""id"": 353657421, ""title"": ""1/16 X 1/2\"" Cotter Pin"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:13.705Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:06.639Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"""
FA200,353657424,716870042,"1/16 x 1/4"" Split Pin","1/16 x 1/4"" Split Pin","1/16 x 1/4"" Split Pin 1/16 x 1/4"" Split Pin",Standard,"1/16 x 1/4"" Split Pin Standard",updated,"{""id"": 353657424, ""title"": ""1/16 x 1/4\"" Split Pin"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:14.004Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:08.079Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"":"
FA203,353657427,716870051,"1/16 x 3/4"" Cotter Pin","1/16 x 3/4"" Cotter Pin","1/16 x 3/4"" Cotter Pin 1/16 x 3/4"" Cotter Pin",Standard,"1/16 x 3/4"" Cotter Pin Standard",updated,"{""id"": 353657427, ""title"": ""1/16 x 3/4\"" Cotter Pin"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:14.268Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:09.604Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_url"""
FA3,353657431,716870057,"1/2"" x 7/8"" Flat Washer","1/2"" x 7/8"" Flat Washer","1/2"" x 7/8"" Flat Washer 1/2"" x 7/8"" Flat Washer",Standard,"1/2"" x 7/8"" Flat Washer Standard",updated,"{""id"": 353657431, ""title"": ""1/2\"" x 7/8\"" Flat Washer"", ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:36:14.531Z"", ""weight"": 0, ""origin_country"": ""US"", ""deleted_at"": null, ""deleted_by_id"": null, ""hs_tariff_number"": null, ""mid_code"": null, ""taric_code"": null, ""notes"": """", ""product_tax_rate_id"": null, ""tax_rate"": 0, ""updated_at"": ""2026-07-08T22:28:11.897Z"", ""updated_by_id"": 612048, ""web_meta_description"": """", ""web_meta_keywords"": """", ""web_meta_title"": """", ""web_page_title"": """", ""web_page_ur"
