"schematic_id","part_id","part_name","qty"
"asgard-ah35-ad-sch","489023 X 2","489023 - #6 SS Flat Washer","1"
"asgard-ah35-ad-sch","489027 X 2","489027 X 2","1"
"asgard-ah35-ad-sch","480026 X 2","480026 - TapeTech Replacement Angle Head Wheel","1"
"asgard-ah35-ad-sch","359005 X 2","359005 - 6-32 X 1/4 Bind Hd Screw","1"
"asgard-ah35-ad-sch","402006","402006 - Insert Socket","1"
"asgard-ah35-ad-sch","059037 X 4","059037 - 4-40 X 1/4 Bind Hd Screw","1"
"asgard-ah35-ad-sch","402019 X 2","402019 - Blade Holder Stop","1"
"asgard-ah35-ad-sch","480215","480215 - 3.5"" EasyRoll Frame, Left","1"
"asgard-ah35-ad-sch","409011 X 2","409011 - Skid Blade","1"
"asgard-ah35-ad-sch","480209 X 2","480209 - 3.5"" Angle Head Carbide Blade","1"
"asgard-ah35-ad-sch","489013 X 12","489013 - 6-32x1/8 Socket Hd Setscrew","1"
"asgard-ca08-ad-sch","350008","350008 - Wiper for 8"" Angle Box","1"
"asgard-ca08-ad-sch","350034","350034 - Pressure Plate for 8"" Angle Box","1"
"asgard-ca08-ad-sch","551005","551005","1"
"asgard-ca08-ad-sch","559017","559017 - 1/4-20 X 5/8"" Hex Hd Screw","1"
"asgard-ca08-ad-sch","502006","502006 - Pivot Bearing","1"
"asgard-ca08-ad-sch","502005F","502005 - Pivot","1"
"asgard-ca08-ad-sch","559051","559051","1"
"asgard-ca08-ad-sch","809011","809011 - Dog Point 5/16-18x7/8 Thumb Screw","1"
"asgard-ca08-ad-sch","354003F","354003 - Filler Body Assembly","1"
"asgard-ca08-ad-sch","050064","TapeTech Valve (050064)","1"
"asgard-ca08-ad-sch","609021","609021 - 10-32 X 5/8 Rd Hd Sst Screw","1"
"asgard-ca08-ad-sch","609020","609020 - Friction Washer Disc","1"
"asgard-ca08-ad-sch","502034","502034 - Corner Box Latch","1"
"asgard-ca08-ad-sch","609018","609018 - 3/16 Plastic Washer","1"
"asgard-ca08-ad-sch","059225","059225 - 10-32 Thin Pattern Stop Nut","1"
"asgard-ca08-ad-sch","502007","502007 - Bearing","1"
"asgard-ca08-ad-sch","356001B","356001B","1"
"asgard-ca08-ad-sch","059084","059084 - 8-32 X 1/4 1/2 Dog Setscrew","1"
"asgard-ca08-ad-sch","059060","059060 - 3-48 Stop Nut","1"
"asgard-ca08-ad-sch","059061F","059061 - Valve Spring","1"
"asgard-ca08-ad-sch","352002F","352002F - Valve Holder","1"
"asgard-ca08-ad-sch","502019","502019 - Replacement Seal","1"
"asgard-ca08-ad-sch","350033F","350033F - 8"" Seal Holder","1"
"asgard-ca08-ad-sch","509010","509010 - 4-40 X 5/16 Flat Hd Screw","1"
"asgard-ca08-ad-sch","059012","6-32 X 3/8 Fillister Hd  - 059012","1"
"asgard-ca08-ad-sch","059156","059156 - 4-40 X 5/16 Bind Hd Screw","1"
"asgard-ca08-ad-sch","609012","609012 - 4-40 Elastic Stopnut","1"
"asgard-ca08-ad-sch","506009","506009 - Cone Assembly","1"
"asgard-ca08-ad-sch","509008","509008 - 10-32 X 1/2 Bd Hd Screw","1"
"asgard-ca08-ad-sch","559005","559005","1"
"asgard-ca08-ad-sch","359005","359005 - 6-32 X 1/4 Bind Hd Screw","1"
"asgard-ca08-ad-sch","059012","6-32 X 3/8 Fillister Hd  - 059012","1"
"asgard-cfa-ad-sch","402033","402033 Ball Coupling - Threaded Angle Head Ball","1"
"asgard-cfa-ad-sch","883024","883024","1"
"asgard-cfa-ad-sch","883021","NS Adapter Jam Nut","1"
"asgard-ehc07-ad-sch","202021","202021 - Special Nut","1"
"asgard-ehc07-ad-sch","206003","206003 - Dial Assembly","1"
"asgard-ehc07-ad-sch","20905B","20905B","1"
"asgard-ehc07-ad-sch","203013","203013","1"
"asgard-ehc07-ad-sch","209016","209016 - Screw 4-40 X 7/32 Bind Hd","1"
"asgard-ehc07-ad-sch","204005","204005 - 7"" Clamp Assembly","1"
"asgard-ehc07-ad-sch","204002","204002 - 7"" Blade Holder Assembly","1"
"asgard-ehc07-ad-sch","209012","209012 - 4-40 X 1/4 Head Screw","1"
"asgard-ehc07-ad-sch","200001","200001 - 7"" Blade","1"
"asgard-ehc07-ad-sch","202007","202007 - Push Rod Crown Adjustment","1"
"asgard-ehc07-ad-sch","059018","6-32 Thin Pattern Stopnut - 059018","1"
"asgard-ehc07-ad-sch","059018","6-32 Thin Pattern Stopnut - 059018","1"
"asgard-ehc07-ad-sch","2401328","2401328","1"
"asgard-ehc07-ad-sch","489023","489023 - #6 SS Flat Washer","1"
"asgard-ehc07-ad-sch","502034","502034 - Corner Box Latch","1"
"asgard-ehc07-ad-sch","219064","219064 - Spring Washer","1"
"asgard-ehc07-ad-sch","210059","210059 - Shoulder Screw","1"
"asgard-ehc07-ad-sch","210024F","7"" Wiper","1"
"asgard-ehc07-ad-sch","202038","202038","1"
"asgard-ehc07-ad-sch","209030","209030 - 10-24 Stainless Steel Wingnut","1"
"asgard-ehc07-ad-sch","339073","339073 - 10-24 x 1-1/4 Fillister Head Screw","1"
"asgard-ehc07-ad-sch","2100278","2100278","1"
"asgard-ehc07-ad-sch","209046","209046 - Flat Box Washer","1"
"asgard-ehc07-ad-sch","209017","209017 - 10-24 Nylock Nut","1"
"asgard-ehc07-ad-sch","219081","219081 - 6-32 Flat Head Screw","1"
"asgard-ehc07-ad-sch","202044F","202044 - Pressure Plate Spring","1"
"asgard-ehc07-ad-sch","2401238","2401238","1"
"asgard-ehc07-ad-sch","059161","059161 - 4-40 X 3/8 Fillister Head Screw","1"
"asgard-ehc07-ad-sch","059038","059038 - Lock Washer #4","1"
"asgard-ehc07-ad-sch","059015","6-32 X 1/4 Fillister Hd Screw - 059015","1"
"asgard-ehc07-ad-sch","210071","210071 - 7"" Spacer Rod","1"
"asgard-ehc07-ad-sch","209006","209006  - Right Skid Cover","1"
"asgard-ehc07-ad-sch","202022","202022 - Repair Clip","1"
"asgard-ehc07-ad-sch","059102","059102 - 4-40 X 1/4 Flat Hd Screw","1"
"asgard-ehc07-ad-sch","059020","6-32 X 3/8 Bind Hd Screw - 059020","1"
"asgard-ehc07-ad-sch","059016","#6 Med. Spring Lockwasher - 059016","1"
"asgard-ehc07-ad-sch","200020","200020","1"
"asgard-ehc07-ad-sch","210060","210060 - Flat Box Pivot Bearing","1"
"asgard-ehc07-ad-sch","209148","209148 - Nyliner Bearing","1"
"asgard-ehc07-ad-sch","209039","209039 - Left Skid Cover","1"
"asgard-ehc07-ad-sch","2401258","2401258","1"
"asgard-ehc07-ad-sch","2400098","2400098","1"
"asgard-ehc07-ad-sch","059051","059051 - 6-32 X 3/16 Fillister Screw","1"
"asgard-ehc07-ad-sch","889030","889030 - 4-40 X 3/16 Fill. Head Screw","1"
"asgard-ehc07-ad-sch","210097","Seal Plate, 7""","1"
"asgard-ehc07-ad-sch","210096","Seal, 7""","1"
"asgard-ehc07-ad-sch","2400508","2400508","1"
"asgard-ehc07-ad-sch","2100338","2100338","1"
"asgard-ehc07-ad-sch","059029","059029 - 6-32 X 5/8 Flat Hd Screw","1"
"asgard-ehc07-ad-sch","209042","209042 - #10 Brass Washer","1"
"asgard-ehc07-ad-sch","209148","209148 - Nyliner Bearing","1"
"asgard-ehc07-ad-sch","200055F","200055F","1"
"asgard-ehc07-ad-sch","219067","Flat Box Box Wheel O-Ring - FFB6A","1"
"asgard-ehc07-ad-sch","310051F","310051 - Flat Box Wheel","1"
"asgard-ehc07-ad-sch","240045","240045","1"
"asgard-ehc07-ad-sch","809006","809006 - #14 S Brass Washer","1"
"asgard-ehc07-ad-sch","202036","202036 - Shoulder Screw","1"
"asgard-ehc07-ad-sch","059225","059225 - 10-32 Thin Pattern Stop Nut","1"
"asgard-ehc07-ad-sch","209042","209042 - #10 Brass Washer","1"
"asgard-ehc07-ad-sch","209047","209047 - Nyliner Bearing","1"
"asgard-ehc07-ad-sch","210031B","210031B","1"
"asgard-ehc10-ad-sch","202021","202021 - Special Nut","1"
"asgard-ehc10-ad-sch","260003","260003","1"
"asgard-ehc10-ad-sch","202010","202010 - Crown Spring- 7"" & 10"" Flat Box","1"
"asgard-ehc10-ad-sch","209058","209058 - 6-32 Brass Nut","1"
"asgard-ehc10-ad-sch","209012","209012 - 4-40 X 1/4 Head Screw","1"
"asgard-ehc10-ad-sch","254005","254005 - 10"" Clamp Assembly","1"
"asgard-ehc10-ad-sch","209018","209018","1"
"asgard-ehc10-ad-sch","254002","254002 - 10"" Blade Holder Assembly","1"
"asgard-ehc10-ad-sch","489023","489023 - #6 SS Flat Washer","1"
"asgard-ehc10-ad-sch","250001","250001 - 10"" Box Blade","1"
"asgard-ehc10-ad-sch","203007","203007","1"
"asgard-ehc10-ad-sch","059018","6-32 Thin Pattern Stopnut - 059018","1"
"asgard-ehc10-ad-sch","059018","6-32 Thin Pattern Stopnut - 059018","1"
"asgard-ehc10-ad-sch","219054","219054","1"
"asgard-ehc10-ad-sch","210059","210059 - Shoulder Screw","1"
"asgard-ehc10-ad-sch","502054","502054","1"
"asgard-ehc10-ad-sch","280132B","280132B","1"
"asgard-ehc10-ad-sch","260024F","10"" Wiper","1"
"asgard-ehc10-ad-sch","26002B","26002B","1"
"asgard-ehc10-ad-sch","20003B","20003B","1"
"asgard-ehc10-ad-sch","389073","389073","1"
"asgard-ehc10-ad-sch","202044F","202044 - Pressure Plate Spring","1"
"asgard-ehc10-ad-sch","260027B","260027B","1"
"asgard-ehc10-ad-sch","209046","209046 - Flat Box Washer","1"
"asgard-ehc10-ad-sch","209017","209017 - 10-24 Nylock Nut","1"
"asgard-ehc10-ad-sch","219081","219081 - 6-32 Flat Head Screw","1"
"asgard-ehc10-ad-sch","240023B","240023B","1"
"asgard-ehc10-ad-sch","059161","059161 - 4-40 X 3/8 Fillister Head Screw","1"
"asgard-ehc10-ad-sch","059058","059058","1"
"asgard-ehc10-ad-sch","059015","6-32 X 1/4 Fillister Hd Screw - 059015","1"
"asgard-ehc10-ad-sch","260071","260071 - 10 Inch Spacer Rod","1"
"asgard-ehc10-ad-sch","209006","209006  - Right Skid Cover","1"
"asgard-ehc10-ad-sch","200022","200022","1"
"asgard-ehc10-ad-sch","059102","059102 - 4-40 X 1/4 Flat Hd Screw","1"
"asgard-ehc10-ad-sch","240039","240039","1"
"asgard-ehc10-ad-sch","240025B","240025B","1"
"asgard-ehc10-ad-sch","059020","6-32 X 3/8 Bind Hd Screw - 059020","1"
"asgard-ehc10-ad-sch","059016","#6 Med. Spring Lockwasher - 059016","1"
"asgard-ehc10-ad-sch","202020","202020 - Spring Anchor","1"
"asgard-ehc10-ad-sch","210060","210060 - Flat Box Pivot Bearing","1"
"asgard-ehc10-ad-sch","209148","209148 - Nyliner Bearing","1"
"asgard-ehc10-ad-sch","280009B","280009B","1"
"asgard-ehc10-ad-sch","059031","059031","1"
"asgard-ehc10-ad-sch","889030","889030 - 4-40 X 3/16 Fill. Head Screw","1"
"asgard-ehc10-ad-sch","260097","260097 - Seal Plate (10"" EC/PA Boxes)","1"
"asgard-ehc10-ad-sch","260096","260096 - 10"" Seal for PowerAssist /Easy Clean Flat Boxes","1"
"asgard-ehc10-ad-sch","260030B","260030B","1"
"asgard-ehc10-ad-sch","260023B","260023B","1"
"asgard-ehc10-ad-sch","209022","209022","1"
"asgard-ehc10-ad-sch","209148","209148 - Nyliner Bearing","1"
