Import complete! 815 products imported. 180 variations imported. Failed to import 137 products. View import log. File uploaded: product-wp-catalog-mlef4muyns.csv
Product	Reason for failure
Platinum 3.5" Angle Head Corner Finisher with Wheels (PT-CF3.5), SKU PT-CF3.5	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf3-5.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf3-5.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf3-5.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf3-5.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-cf3-5.webp. Error: Not Found
Platinum Compound Tube, SKU PT-CT	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-ct.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-ct.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-ct.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-ct.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-ct.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-ct.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-ct.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-ct.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-ct.webp. Error: Not Found
Platinum Flat Finishing Box, SKU PT-FB	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-fb.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-fb.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-fb.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-fb.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-fb.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-fb.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-fb.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-fb.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-fb.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-fb.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-fb.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-fb.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-fb.webp. Error: Not Found
Platinum Drywall Starter Finishing Set (PT-FIN), SKU PT-FIN	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-fin.webp. Error: Not Found
Platinum Nail Spotter, SKU PT-NS	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-ns.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-ns.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-ns.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-ns.webp. Error: Not Found
Platinum 3" Nail Spotter (PT-3NS), SKU PT-3NS	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/pt-3ns.webp. Error: Not Found
TapeTech EasyClean® Automatic Mini-Taper, SKU 03TT	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/03tt.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/03tt.webp. Error: Not Found
Wiper, Retainer, SKU 050004	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/050004.webp. Error: Not Found
Collar Bushing, SKU 050017	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/050017.webp. Error: Not Found
Disengaging Cam, SKU 050019	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/050019.webp. Error: Not Found
