Brands,Type,SKU,MPN,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Sale price,Date sale price starts,Date sale price ends,Regular price,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Shipping class,Allow customer reviews?,Purchase note,Categories,Tags,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 used for variations,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 used for variations,meta:_dtb_seo_title,meta:_dtb_seo_description,ID
Columbia Taping Tools,simple,AHA,AHA,Columbia Anglehead Adaptor (AHA),0,0,visible,Columbia Anglehead Adaptor in Angleheads. Structured temp catalog entry with  options: Anglehead Adaptor.,<p>Columbia Anglehead Adaptor in Angleheads. Structured temp catalog entry with  options: Anglehead Adaptor.</p><p>Source pages: https://www.columbiatools.com/columbia-tools/angleheads/anglehead-adaptor/</p>,,,,,taxable,,1,,,0,0,,,,,,1,,Drywall Finishing Tools > Columbia Taping Tools > Angleheads > Angleheads,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-anglehead-adaptor-AHA-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tomahawk-smoothing-blades-7-inch-TSB7-06.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tomahawk-smoothing-blades-7-inch-TSB7-07.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tomahawk-smoothing-blades-7-inch-TSB7-08.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tomahawk-smoothing-blades-7-inch-TSB7-09.webp,,,,,,,,,1,Brand,Columbia Taping Tools,1,1,0,,,,,,Columbia Anglehead Adaptor (AHA),Columbia Anglehead Adaptor in Angleheads. Structured temp catalog entry with  options: Anglehead Adaptor.,
Columbia Taping Tools,variable,AH,AH,Columbia Angleheads,0,0,visible,"Columbia Angleheads in Angleheads. Structured temp catalog entry with size options: 2"", 2.5"", 3"", 3.5"".","<p>Columbia Angleheads in Angleheads. Structured temp catalog entry with size options: 2"", 2.5"", 3"", 3.5"".</p><p>Source pages: https://www.columbiatools.com/columbia-tools/angleheads/2-anglehead/ | https://www.columbiatools.com/columbia-tools/angleheads/2-5-anglehead/ | https://www.columbiatools.com/columbia-tools/angleheads/3-anglehead/ | https://www.columbiatools.com/columbia-tools/angleheads/3-5-anglehead/</p>",,,,,taxable,,1,,,0,0,,,,,,1,,Drywall Finishing Tools > Columbia Taping Tools > Angleheads > Angleheads,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-5-inch-anglehead-2.5AH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-5-inch-anglehead-2.5AH-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-5-inch-anglehead-2.5AH-03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-inch-anglehead-2AH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-inch-anglehead-2AH-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-inch-anglehead-2AH-03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-5-inch-anglehead-3.5AH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-5-inch-anglehead-3.5AH-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-5-inch-anglehead-3.5AH-03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-inch-anglehead-3AH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-inch-anglehead-3AH-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-inch-anglehead-3AH-03.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-anglehead-adaptor-AHA-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tomahawk-smoothing-blades-7-inch-TSB7-06.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tomahawk-smoothing-blades-7-inch-TSB7-07.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tomahawk-smoothing-blades-7-inch-TSB7-08.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-tomahawk-smoothing-blades-7-inch-TSB7-09.webp,,,,,,,,,2,Brand,Columbia Taping Tools,1,1,0,Size,"2"" | 2.5"" | 3"" | 3.5""",1.0,1.0,1.0,Columbia Angleheads,"Columbia Angleheads in Angleheads. Structured temp catalog entry with size options: 2"", 2.5"", 3"", 3.5"".",
Columbia Taping Tools,variation,2AH,2AH,"Columbia 2"" Anglehead (2AH)",0,0,visible,,,,,,,taxable,,1,,,0,0,,,,,,1,,Drywall Finishing Tools > Columbia Taping Tools > Angleheads > Angleheads,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-inch-anglehead-2AH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-inch-anglehead-2AH-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-inch-anglehead-2AH-03.webp,,,AH,,,,,,3,Brand,Columbia Taping Tools,1,1,0,Size,"2""",1.0,1.0,1.0,"Columbia 2"" Anglehead (2AH)",Structured temp variation for Columbia Angleheads.,
Columbia Taping Tools,variation,2.5AH,2.5AH,"Columbia 2.5"" Anglehead (2.5AH)",0,0,visible,,,,,,,taxable,,1,,,0,0,,,,,,1,,Drywall Finishing Tools > Columbia Taping Tools > Angleheads > Angleheads,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-5-inch-anglehead-2.5AH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-5-inch-anglehead-2.5AH-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-2-5-inch-anglehead-2.5AH-03.webp,,,AH,,,,,,4,Brand,Columbia Taping Tools,1,1,0,Size,"2.5""",1.0,1.0,1.0,"Columbia 2.5"" Anglehead (2.5AH)",Structured temp variation for Columbia Angleheads.,
Columbia Taping Tools,variation,3AH,3AH,"Columbia 3"" Anglehead (3AH)",0,0,visible,,,,,,,taxable,,1,,,0,0,,,,,,1,,Drywall Finishing Tools > Columbia Taping Tools > Angleheads > Angleheads,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-inch-anglehead-3AH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-inch-anglehead-3AH-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-inch-anglehead-3AH-03.webp,,,AH,,,,,,5,Brand,Columbia Taping Tools,1,1,0,Size,"3""",1.0,1.0,1.0,"Columbia 3"" Anglehead (3AH)",Structured temp variation for Columbia Angleheads.,
Columbia Taping Tools,variation,3.5AH,3.5AH,"Columbia 3.5"" Anglehead (3.5AH)",0,0,visible,,,,,,,taxable,,1,,,0,0,,,,,,1,,Drywall Finishing Tools > Columbia Taping Tools > Angleheads > Angleheads,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-5-inch-anglehead-3.5AH-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-5-inch-anglehead-3.5AH-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-3-5-inch-anglehead-3.5AH-03.webp,,,AH,,,,,,6,Brand,Columbia Taping Tools,1,1,0,Size,"3.5""",1.0,1.0,1.0,"Columbia 3.5"" Anglehead (3.5AH)",Structured temp variation for Columbia Angleheads.,
Columbia Taping Tools,simple,CEXT90,CEXT90,Columbia External Corner Applicator (CEXT90),0,0,visible,Columbia External Corner Applicator in Applicators. Structured temp catalog entry with  options: External Corner Applicator.,<p>Columbia External Corner Applicator in Applicators. Structured temp catalog entry with  options: External Corner Applicator.</p><p>Source pages: https://www.columbiatools.com/columbia-tools/applicators/external-corner-applicator/</p>,,,,,taxable,,1,,,0,0,,,,,,1,,Drywall Finishing Tools > Columbia Taping Tools > Applicators,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-external-corner-applicator-CEXT90-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-external-corner-applicator-CEXT90-02.webp,,,,,,,,,7,Brand,Columbia Taping Tools,1,1,0,,,,,,Columbia External Corner Applicator (CEXT90),Columbia External Corner Applicator in Applicators. Structured temp catalog entry with  options: External Corner Applicator.,
Columbia Taping Tools,simple,CFLT,CFLT,Columbia Flat Applicators (CFLT),0,0,visible,Columbia Flat Applicators in Applicators. Structured temp catalog entry with  options: Flat Applicators.,<p>Columbia Flat Applicators in Applicators. Structured temp catalog entry with  options: Flat Applicators.</p><p>Source pages: https://www.columbiatools.com/columbia-tools/applicators/flat-applicators/</p>,,,,,taxable,,1,,,0,0,,,,,,1,,Drywall Finishing Tools > Columbia Taping Tools > Applicators > Applicators,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-flat-applicators-CFLT-01.webp,,,,,,,,,8,Brand,Columbia Taping Tools,1,1,0,,,,,,Columbia Flat Applicators (CFLT),Columbia Flat Applicators in Applicators. Structured temp catalog entry with  options: Flat Applicators.,
Columbia Taping Tools,variable,ICA,ICA,Columbia Inside Corner Applicator,0,0,visible,"Columbia Inside Corner Applicator in Applicators. Structured temp catalog entry with size options: 2"", 4"".","<p>Columbia Inside Corner Applicator in Applicators. Structured temp catalog entry with size options: 2"", 4"".</p><p>Source pages: https://www.columbiatools.com/columbia-tools/applicators/inside-corner-applicator/</p>",,,,,taxable,,1,,,0,0,,,,,,1,,Drywall Finishing Tools > Columbia Taping Tools > Applicators > Applicators,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-external-corner-applicator-CEXT90-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-external-corner-applicator-CEXT90-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-flat-applicators-CFLT-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-inside-corner-applicator-2-inch-ICA2-1-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-inside-corner-applicator-2-inch-ICA2-1-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-inside-corner-applicator-4-inch-ICA4-1-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-inside-corner-applicator-4-inch-ICA4-1-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-two-way-internal-corner-applicator-ICATW-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-two-way-internal-corner-applicator-ICATW-02.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/the-predator-tactical-set_01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/the-tactical-set_01.webp,,,,,,,,,9,Brand,Columbia Taping Tools,1,1,0,Size,"2"" | 4""",1.0,1.0,1.0,Columbia Inside Corner Applicator,"Columbia Inside Corner Applicator in Applicators. Structured temp catalog entry with size options: 2"", 4"".",
Columbia Taping Tools,variation,ICA2-1,ICA2-1,"Columbia Inside Corner Applicator 2"" (ICA2-1)",0,0,visible,,,,,,,taxable,,1,,,0,0,,,,,,1,,Drywall Finishing Tools > Columbia Taping Tools > Applicators > Applicators,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-inside-corner-applicator-2-inch-ICA2-1-01.webp|https://drywalltoolbox.com/wp/wp-content/uploads/2026/04/columbia-inside-corner-applicator-2-inch-ICA2-1-02.webp,,,ICA,,,,,,10,Brand,Columbia Taping Tools,1,1,0,Size,"2""",1.0,1.0,1.0,"Columbia Inside Corner Applicator 2"" (ICA2-1)",Structured temp variation for Columbia Inside Corner Applicator.,
