SKU,Type,Name,current_image_basenames,parts_meta_hit,classification,best_score,best_reason,best_source,best_basename,best_relpath,top_candidates,top_live_candidates
AH1-2,simple,"Head Casting - 2""",columbia-head-casting-2-ah1-2-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-head-casting-2-AH1-2-1.webp,products/Production/Images/columbia-head-casting-2-AH1-2-1.webp,100::current_basename::production_images::columbia-head-casting-2-AH1-2-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1-2-01.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1-2-5-01.webp | 90::sku_compact::production_images::columbia-head-casting-2-5-AH1-2-5-1.webp | 67::name_ratio::production_images::columbia-head-casting-CR1-1.webp,100::current_basename::columbia-head-casting-2-AH1-2-1.webp | 90::sku_compact::columbia-head-casting-2-5-AH1-2-5-1.webp | 67::name_ratio::columbia-head-casting-CR1-1.webp
AH1-2-5,simple,"Head Casting - 2.5""",columbia-head-casting-2-5-ah1-2-5-1.webp,no,strong_exact,100,current_basename,production_images,columbia-head-casting-2-5-AH1-2-5-1.webp,products/Production/Images/columbia-head-casting-2-5-AH1-2-5-1.webp,100::current_basename::production_images::columbia-head-casting-2-5-AH1-2-5-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1-2-5-01.webp | 68::name_ratio::production_images::columbia-head-casting-CR1-1.webp | 67::name_ratio::production_images::columbia-head-casting-2-AH1-2-1.webp,100::current_basename::columbia-head-casting-2-5-AH1-2-5-1.webp | 68::name_ratio::columbia-head-casting-CR1-1.webp | 67::name_ratio::columbia-head-casting-2-AH1-2-1.webp
AH1-3,simple,"Head Casting - 3""",columbia-head-casting-3-ah1-3-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-head-casting-3-AH1-3-1.webp,products/Production/Images/columbia-head-casting-3-AH1-3-1.webp,100::current_basename::production_images::columbia-head-casting-3-AH1-3-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1-3-01.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1-3-5-01.webp | 90::sku_compact::production_images::columbia-head-casting-3-5-AH1-3-5-1.webp | 67::name_ratio::production_images::columbia-head-casting-CR1-1.webp,100::current_basename::columbia-head-casting-3-AH1-3-1.webp | 90::sku_compact::columbia-head-casting-3-5-AH1-3-5-1.webp | 67::name_ratio::columbia-head-casting-CR1-1.webp
AH1-3-5,simple,"Head Casting - 3.5""",columbia-head-casting-3-5-ah1-3-5-1.webp,no,strong_exact,100,current_basename,production_images,columbia-head-casting-3-5-AH1-3-5-1.webp,products/Production/Images/columbia-head-casting-3-5-AH1-3-5-1.webp,100::current_basename::production_images::columbia-head-casting-3-5-AH1-3-5-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1-3-5-01.webp | 68::name_ratio::production_images::columbia-head-casting-CR1-1.webp | 67::name_ratio::production_images::columbia-head-casting-3-AH1-3-1.webp,100::current_basename::columbia-head-casting-3-5-AH1-3-5-1.webp | 68::name_ratio::columbia-head-casting-CR1-1.webp | 67::name_ratio::columbia-head-casting-3-AH1-3-1.webp
AH18,simple,Socket Wear Cap,columbia-socket-wear-cap-ah18-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-socket-wear-cap-AH18-1.webp,products/Production/Images/columbia-socket-wear-cap-AH18-1.webp,100::current_basename::production_images::columbia-socket-wear-cap-AH18-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah18-01.webp,100::current_basename::columbia-socket-wear-cap-AH18-1.webp
AH1A,simple,Spring Housing,columbia-spring-housing-ah1a-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-spring-housing-AH1A-1.webp,products/Production/Images/columbia-spring-housing-AH1A-1.webp,100::current_basename::production_images::columbia-spring-housing-AH1A-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1a-01.webp,100::current_basename::columbia-spring-housing-AH1A-1.webp
AH1B,simple,Return Spring,columbia-return-spring-ah1b-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-return-spring-AH1B-1.webp,products/Production/Images/columbia-return-spring-AH1B-1.webp,100::current_basename::production_images::columbia-return-spring-AH1B-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah1b-01.webp | 76::name_overlap_2::production_images::columbia-return-spring-CT101-1.webp | 76::name_overlap_2::production_images::columbia-return-spring-CT54-1.webp | 75::name_overlap_2::production_images::columbia-clutch-return-spring-CT81-1.webp,100::current_basename::columbia-return-spring-AH1B-1.webp | 76::name_overlap_2::columbia-return-spring-CT101-1.webp | 76::name_overlap_2::columbia-return-spring-CT54-1.webp | 75::name_overlap_2::columbia-clutch-return-spring-CT81-1.webp | 75::name_overlap_2::columbia-needle-return-spring-CT65-1.webp
AH3-2,simple,"2"" Top Blade",columbia-2-top-blade-ah3-2-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-2-top-blade-AH3-2-1.webp,products/Production/Images/columbia-2-top-blade-AH3-2-1.webp,100::current_basename::production_images::columbia-2-top-blade-AH3-2-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah3-2-01.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah3-2-5-01.webp | 90::sku_compact::production_images::columbia-2-5-top-blade-AH3-2-5-1.webp | 90::sku_compact::production_images::columbia-2-angle-head-carbide-blade-ah32-1.webp,100::current_basename::columbia-2-top-blade-AH3-2-1.webp | 90::sku_compact::columbia-2-5-top-blade-AH3-2-5-1.webp | 90::sku_compact::columbia-2-angle-head-carbide-blade-ah32-1.webp | 90::sku_compact::columbia-25-angle-head-carbide-blade-ah325-1.webp
AH3-2-5,simple,"2.5"" Top Blade",columbia-2-5-top-blade-ah3-2-5-1.webp,no,strong_exact,100,current_basename,production_images,columbia-2-5-top-blade-AH3-2-5-1.webp,products/Production/Images/columbia-2-5-top-blade-AH3-2-5-1.webp,100::current_basename::production_images::columbia-2-5-top-blade-AH3-2-5-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah3-2-5-01.webp | 90::sku_compact::production_images::columbia-25-angle-head-carbide-blade-ah325-1.webp | 86::sku_compact::tsw_output::Columbia-AH325-01.webp,100::current_basename::columbia-2-5-top-blade-AH3-2-5-1.webp | 90::sku_compact::columbia-25-angle-head-carbide-blade-ah325-1.webp
AH3-3,simple,"3"" Top Blade",columbia-3-top-blade-ah3-3-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-3-top-blade-AH3-3-1.webp,products/Production/Images/columbia-3-top-blade-AH3-3-1.webp,100::current_basename::production_images::columbia-3-top-blade-AH3-3-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah3-3-01.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah3-3-5-01.webp | 90::sku_compact::production_images::columbia-3-5-top-blade-AH3-3-5-1.webp | 90::sku_compact::production_images::columbia-3-angle-head-carbide-blade-ah33-1.webp,100::current_basename::columbia-3-top-blade-AH3-3-1.webp | 90::sku_compact::columbia-3-5-top-blade-AH3-3-5-1.webp | 90::sku_compact::columbia-3-angle-head-carbide-blade-ah33-1.webp | 90::sku_compact::columbia-35-angle-head-carbide-blade-ah335-1.webp
AH3-3-5,simple,"3.5"" Top Blade",columbia-3-5-top-blade-ah3-3-5-1.webp,no,strong_exact,100,current_basename,production_images,columbia-3-5-top-blade-AH3-3-5-1.webp,products/Production/Images/columbia-3-5-top-blade-AH3-3-5-1.webp,100::current_basename::production_images::columbia-3-5-top-blade-AH3-3-5-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah3-3-5-01.webp | 90::sku_compact::production_images::columbia-35-angle-head-carbide-blade-ah335-1.webp | 86::sku_compact::tsw_output::Columbia-AH335-01.webp,100::current_basename::columbia-3-5-top-blade-AH3-3-5-1.webp | 90::sku_compact::columbia-35-angle-head-carbide-blade-ah335-1.webp
AH5,simple,Frame Retainer Clip,columbia-frame-retainer-clip-ah5-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-frame-retainer-clip-AH5-1.webp,products/Production/Images/columbia-frame-retainer-clip-AH5-1.webp,100::current_basename::production_images::columbia-frame-retainer-clip-AH5-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah5-01.webp | 75::name_overlap_2::production_images::columbia-bar-retainer-clip-FFB8-1.webp | 75::name_overlap_2::production_images::columbia-bottom-retainer-corner-clip-AH9-1.webp | 75::name_overlap_2::production_images::columbia-funnel-retainer-clip-AH6A-1.webp,100::current_basename::columbia-frame-retainer-clip-AH5-1.webp | 75::name_overlap_2::columbia-bar-retainer-clip-FFB8-1.webp | 75::name_overlap_2::columbia-bottom-retainer-corner-clip-AH9-1.webp | 75::name_overlap_2::columbia-funnel-retainer-clip-AH6A-1.webp | 75::name_overlap_2::columbia-toe-kicker-caple-retainer-clip-CT92A-1.webp
AH7-2,simple,"Frame Tension Spring - 2""",columbia-frame-tension-spring-2-ah7-2-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-frame-tension-spring-2-AH7-2-1.webp,products/Production/Images/columbia-frame-tension-spring-2-AH7-2-1.webp,100::current_basename::production_images::columbia-frame-tension-spring-2-AH7-2-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah7-2-01.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah7-2-5-01.webp | 90::sku_compact::production_images::columbia-2-angle-head-frame-tension-spring-ah72-1.webp | 90::sku_compact::production_images::columbia-25-angle-head-frame-tension-spring-ah725-1.webp,100::current_basename::columbia-frame-tension-spring-2-AH7-2-1.webp | 90::sku_compact::columbia-2-angle-head-frame-tension-spring-ah72-1.webp | 90::sku_compact::columbia-25-angle-head-frame-tension-spring-ah725-1.webp | 90::sku_compact::columbia-frame-tension-spring-2-5-AH7-2-5-1.webp | 81::name_overlap_3::columbia-frame-tension-spring-3-5-AH7-3-5-1.webp
AH7-2-5,simple,"Frame Tension Spring - 2.5""",columbia-frame-tension-spring-2-5-ah7-2-5-1.webp,no,strong_exact,100,current_basename,production_images,columbia-frame-tension-spring-2-5-AH7-2-5-1.webp,products/Production/Images/columbia-frame-tension-spring-2-5-AH7-2-5-1.webp,100::current_basename::production_images::columbia-frame-tension-spring-2-5-AH7-2-5-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah7-2-5-01.webp | 90::sku_compact::production_images::columbia-25-angle-head-frame-tension-spring-ah725-1.webp | 86::sku_compact::tsw_output::Columbia-AH725-01.webp | 82::name_overlap_3::production_images::columbia-frame-tension-spring-2-AH7-2-1.webp,100::current_basename::columbia-frame-tension-spring-2-5-AH7-2-5-1.webp | 90::sku_compact::columbia-25-angle-head-frame-tension-spring-ah725-1.webp | 82::name_overlap_3::columbia-frame-tension-spring-2-AH7-2-1.webp | 81::name_overlap_3::columbia-2-angle-head-frame-tension-spring-ah72-1.webp | 81::name_overlap_3::columbia-frame-tension-spring-3-5-AH7-3-5-1.webp
AH7-3,simple,"Framer Tention Spring - 3""",columbia-framer-tention-spring-3-ah7-3-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-framer-tention-spring-3-AH7-3-1.webp,products/Production/Images/columbia-framer-tention-spring-3-AH7-3-1.webp,100::current_basename::production_images::columbia-framer-tention-spring-3-AH7-3-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah7-3-01.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah7-3-5-01.webp | 90::sku_compact::production_images::columbia-3-angle-head-tension-spring-ah73-1.webp | 90::sku_compact::production_images::columbia-35-angle-head-frame-tension-spring-ah735-1.webp,100::current_basename::columbia-framer-tention-spring-3-AH7-3-1.webp | 90::sku_compact::columbia-3-angle-head-tension-spring-ah73-1.webp | 90::sku_compact::columbia-35-angle-head-frame-tension-spring-ah735-1.webp | 90::sku_compact::columbia-frame-tension-spring-3-5-AH7-3-5-1.webp | 67::name_ratio::columbia-frame-tension-spring-2-AH7-2-1.webp
AH7-3-5,simple,"Frame Tension Spring - 3.5""",columbia-frame-tension-spring-3-5-ah7-3-5-1.webp,no,strong_exact,100,current_basename,production_images,columbia-frame-tension-spring-3-5-AH7-3-5-1.webp,products/Production/Images/columbia-frame-tension-spring-3-5-AH7-3-5-1.webp,100::current_basename::production_images::columbia-frame-tension-spring-3-5-AH7-3-5-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah7-3-5-01.webp | 90::sku_compact::production_images::columbia-35-angle-head-frame-tension-spring-ah735-1.webp | 86::sku_compact::tsw_output::Columbia-AH735-01.webp | 81::name_overlap_3::production_images::columbia-2-angle-head-frame-tension-spring-ah72-1.webp,100::current_basename::columbia-frame-tension-spring-3-5-AH7-3-5-1.webp | 90::sku_compact::columbia-35-angle-head-frame-tension-spring-ah735-1.webp | 81::name_overlap_3::columbia-2-angle-head-frame-tension-spring-ah72-1.webp | 81::name_overlap_3::columbia-frame-tension-spring-2-5-AH7-2-5-1.webp | 81::name_overlap_3::columbia-frame-tension-spring-2-AH7-2-1.webp
AH8A,simple,"Top Retainer Corner Clip - 3.5"" or All Sizes Post 2014",columbia-top-retainer-corner-clip-3-5-or-all-sizes-post-2014-ah8a-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-top-retainer-corner-clip-3-5-or-all-sizes-post-2014-AH8A-1.webp,products/Production/Images/columbia-top-retainer-corner-clip-3-5-or-all-sizes-post-2014-AH8A-1.webp,100::current_basename::production_images::columbia-top-retainer-corner-clip-3-5-or-all-sizes-post-2014-AH8A-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah8a-01.webp | 88::name_overlap_4::production_images::columbia-bottom-retainer-corner-clip-3-5-or-all-sizes-post-2014-AH9A-1.webp | 81::name_overlap_3::production_images::columbia-top-retainer-corner-clip-AH8-1.webp | 75::name_overlap_2::production_images::columbia-bottom-retainer-corner-clip-AH9-1.webp,100::current_basename::columbia-top-retainer-corner-clip-3-5-or-all-sizes-post-2014-AH8A-1.webp | 88::name_overlap_4::columbia-bottom-retainer-corner-clip-3-5-or-all-sizes-post-2014-AH9A-1.webp | 81::name_overlap_3::columbia-top-retainer-corner-clip-AH8-1.webp | 75::name_overlap_2::columbia-bottom-retainer-corner-clip-AH9-1.webp | 74::name_overlap_2::columbia-bar-retainer-clip-FFB8-1.webp
AH9A,simple,"Bottom Retainer Corner Clip - 3.5"" or All Sizes Post 2014",columbia-bottom-retainer-corner-clip-3-5-or-all-sizes-post-2014-ah9a-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-bottom-retainer-corner-clip-3-5-or-all-sizes-post-2014-AH9A-1.webp,products/Production/Images/columbia-bottom-retainer-corner-clip-3-5-or-all-sizes-post-2014-AH9A-1.webp,100::current_basename::production_images::columbia-bottom-retainer-corner-clip-3-5-or-all-sizes-post-2014-AH9A-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-ah9a-01.webp | 88::name_overlap_4::production_images::columbia-top-retainer-corner-clip-3-5-or-all-sizes-post-2014-AH8A-1.webp | 81::name_overlap_3::production_images::columbia-bottom-retainer-corner-clip-AH9-1.webp | 75::name_overlap_2::production_images::columbia-top-retainer-corner-clip-AH8-1.webp,100::current_basename::columbia-bottom-retainer-corner-clip-3-5-or-all-sizes-post-2014-AH9A-1.webp | 88::name_overlap_4::columbia-top-retainer-corner-clip-3-5-or-all-sizes-post-2014-AH8A-1.webp | 81::name_overlap_3::columbia-bottom-retainer-corner-clip-AH9-1.webp | 75::name_overlap_2::columbia-top-retainer-corner-clip-AH8-1.webp | 74::name_overlap_2::columbia-bar-retainer-clip-FFB8-1.webp
BH11,simple,Strap Connecting Pin,columbia-strap-connecting-pin-bh11-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-strap-connecting-pin-BH11-1.webp,products/Production/Images/columbia-strap-connecting-pin-BH11-1.webp,100::current_basename::production_images::columbia-strap-connecting-pin-BH11-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-bh11-01.webp | 90::sku_compact::production_images::columbia-mounting-plate-BH1-1.webp | 86::sku_compact::new_images::bh-11.webp | 86::sku_compact::new_images::bh-11.webp,100::current_basename::columbia-strap-connecting-pin-BH11-1.webp | 90::sku_compact::columbia-mounting-plate-BH1-1.webp | 75::name_overlap_2::columbia-connecting-link-pin-MH5-1.webp
BH24A,simple,Bearing Sleeve,columbia-bearing-sleeve-bh24a-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-bearing-sleeve-BH24A-1.webp,products/Production/Images/columbia-bearing-sleeve-BH24A-1.webp,100::current_basename::production_images::columbia-bearing-sleeve-BH24A-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-bh24a-01.webp | 76::name_overlap_2::production_images::columbia-bearing-sleeve-CFB16-1.webp | 75::name_overlap_2::production_images::columbia-cr3-bearing-sleeve-CR-3-1.webp,100::current_basename::columbia-bearing-sleeve-BH24A-1.webp | 76::name_overlap_2::columbia-bearing-sleeve-CFB16-1.webp | 75::name_overlap_2::columbia-cr3-bearing-sleeve-CR-3-1.webp
BH26,simple,Cam,columbia-cam-bh26-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-cam-BH26-1.webp,products/Production/Images/columbia-cam-BH26-1.webp,100::current_basename::production_images::columbia-cam-BH26-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-bh26-01.webp,100::current_basename::columbia-cam-BH26-1.webp
BH3,simple,Lower Mounting Bracket,columbia-lower-mounting-bracket-bh3-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-lower-mounting-bracket-BH3-1.webp,products/Production/Images/columbia-lower-mounting-bracket-BH3-1.webp,100::current_basename::production_images::columbia-lower-mounting-bracket-BH3-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-bh3-01.webp | 76::name_overlap_2::production_images::columbia-lower-mount-bracket-MH3-1.webp | 76::name_overlap_2::production_images::columbia-mounting-bracket-stem-MH3A-1.webp | 76::name_overlap_2::production_images::columbia-upper-mounting-bracket-BH5-1.webp,100::current_basename::columbia-lower-mounting-bracket-BH3-1.webp | 76::name_overlap_2::columbia-lower-mount-bracket-MH3-1.webp | 76::name_overlap_2::columbia-mounting-bracket-stem-MH3A-1.webp | 76::name_overlap_2::columbia-upper-mounting-bracket-BH5-1.webp | 76::name_overlap_2::columbia-upper-mounting-bracket-BH5-2.webp
BH6,simple,Hinge Pin,columbia-hinge-pin-bh6-1.webp | columbia-hinge-pin-bh6-2.webp,yes,strong_exact,100,current_basename,production_images,columbia-hinge-pin-BH6-1.webp,products/Production/Images/columbia-hinge-pin-BH6-1.webp,100::current_basename::production_images::columbia-hinge-pin-BH6-1.webp | 100::current_basename::production_images::columbia-hinge-pin-BH6-2.webp | 96::sku_boundary::columbia_parts_scrape::columbia-bh6-01.webp | 75::name_overlap_2::production_images::columbia-hinge-pin-MH6-1.webp | 73::name_overlap_2::production_images::columbia-box-handle-hinge-pin-180-grip-bh06-1.webp,100::current_basename::columbia-hinge-pin-BH6-1.webp | 100::current_basename::columbia-hinge-pin-BH6-2.webp | 75::name_overlap_2::columbia-hinge-pin-MH6-1.webp | 73::name_overlap_2::columbia-box-handle-hinge-pin-180-grip-bh06-1.webp
BH7,simple,Cam Follower,columbia-cam-follower-bh7-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-cam-follower-BH7-1.webp,products/Production/Images/columbia-cam-follower-BH7-1.webp,100::current_basename::production_images::columbia-cam-follower-BH7-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-bh7-01.webp | 74::name_overlap_2::production_images::columbia-box-handle-cam-follower-bh07-1.webp,100::current_basename::columbia-cam-follower-BH7-1.webp | 74::name_overlap_2::columbia-box-handle-cam-follower-bh07-1.webp
CFB10,simple,"5/16 - 18 x 3/4"" Thumb Screw",columbia-5-16-18-x-3-4-thumb-screw-cfb10-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-5-16-18-x-3-4-thumb-screw-CFB10-1.webp,products/Production/Images/columbia-5-16-18-x-3-4-thumb-screw-CFB10-1.webp,100::current_basename::production_images::columbia-5-16-18-x-3-4-thumb-screw-CFB10-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-cfb10-01.webp | 75::name_overlap_2::production_images::columbia-5-16-18-x-3-4-hex-bolt-FA305-1.webp | 74::name_overlap_2::production_images::columbia-5-16-18-x-1-1-4-hex-bolt-FA306-1.webp | 74::name_overlap_2::production_images::columbia-8-32-x-3-16-set-screw-FA249-1.webp,100::current_basename::columbia-5-16-18-x-3-4-thumb-screw-CFB10-1.webp | 75::name_overlap_2::columbia-5-16-18-x-3-4-hex-bolt-FA305-1.webp | 74::name_overlap_2::columbia-5-16-18-x-1-1-4-hex-bolt-FA306-1.webp | 74::name_overlap_2::columbia-8-32-x-3-16-set-screw-FA249-1.webp | 74::name_overlap_2::columbia-8-32-x-3-16-set-screw-FA249-2.webp
CFB11A,simple,Door Stop,columbia-door-stop-cfb11a-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-door-stop-CFB11A-1.webp,products/Production/Images/columbia-door-stop-CFB11A-1.webp,100::current_basename::production_images::columbia-door-stop-CFB11A-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-cfb11a-01.webp | 75::name_overlap_2::production_images::columbia-door-stop-FFB32-1.webp | 75::name_overlap_2::production_images::columbia-door-stop-FFB32-2.webp,100::current_basename::columbia-door-stop-CFB11A-1.webp | 75::name_overlap_2::columbia-door-stop-FFB32-1.webp | 75::name_overlap_2::columbia-door-stop-FFB32-2.webp
CFB15A,simple,Hinge Bushing (Plastic Washer),columbia-hinge-bushing-plastic-washer-cfb15a-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-hinge-bushing-plastic-washer-CFB15A-1.webp,products/Production/Images/columbia-hinge-bushing-plastic-washer-CFB15A-1.webp,100::current_basename::production_images::columbia-hinge-bushing-plastic-washer-CFB15A-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-cfb15a-01.webp,100::current_basename::columbia-hinge-bushing-plastic-washer-CFB15A-1.webp
CFB3-7,simple,"Side Plate 7""",columbia-side-plate-7-cfb3-7-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-side-plate-7-CFB3-7-1.webp,products/Production/Images/columbia-side-plate-7-CFB3-7-1.webp,100::current_basename::production_images::columbia-side-plate-7-CFB3-7-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-cfb3-7-01.webp | 75::name_overlap_2::production_images::columbia-side-plate-8-CFB3-8-1.webp | 75::name_overlap_2::production_images::columbia-side-plate-hub-CT7A-1.webp | 75::name_overlap_2::production_images::tapetech-side-plate-251023g-1.webp,100::current_basename::columbia-side-plate-7-CFB3-7-1.webp | 75::name_overlap_2::columbia-side-plate-8-CFB3-8-1.webp | 75::name_overlap_2::columbia-side-plate-hub-CT7A-1.webp | 75::name_overlap_2::tapetech-side-plate-251023g-1.webp | 75::name_overlap_2::tapetech-side-plate-251025g-1.webp
CFB3-8,simple,"Side Plate 8""",columbia-side-plate-8-cfb3-8-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-side-plate-8-CFB3-8-1.webp,products/Production/Images/columbia-side-plate-8-CFB3-8-1.webp,100::current_basename::production_images::columbia-side-plate-8-CFB3-8-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-cfb3-8-01.webp | 75::name_overlap_2::production_images::columbia-side-plate-7-CFB3-7-1.webp | 75::name_overlap_2::production_images::columbia-side-plate-hub-CT7A-1.webp | 75::name_overlap_2::production_images::tapetech-shim-side-plate-059098-1.webp,100::current_basename::columbia-side-plate-8-CFB3-8-1.webp | 75::name_overlap_2::columbia-side-plate-7-CFB3-7-1.webp | 75::name_overlap_2::columbia-side-plate-hub-CT7A-1.webp | 75::name_overlap_2::tapetech-shim-side-plate-059098-1.webp | 75::name_overlap_2::tapetech-side-plate-251023g-1.webp
CFB4-7,simple,"Door 7""",columbia-door-7-cfb4-7-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-door-7-CFB4-7-1.webp,products/Production/Images/columbia-door-7-CFB4-7-1.webp,100::current_basename::production_images::columbia-door-7-CFB4-7-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-cfb4-7-01.webp | 90::sku_compact::production_images::columbia-7-pressure-door-cfb47-1.webp | 86::sku_compact::tsw_output::Columbia-CFB47-01.webp,100::current_basename::columbia-door-7-CFB4-7-1.webp | 90::sku_compact::columbia-7-pressure-door-cfb47-1.webp
CFB4-8,simple,"Door 8""",columbia-door-8-cfb4-8-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-door-8-CFB4-8-1.webp,products/Production/Images/columbia-door-8-CFB4-8-1.webp,100::current_basename::production_images::columbia-door-8-CFB4-8-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-cfb4-8-01.webp | 90::sku_compact::production_images::columbia-8-pressure-door-cfb48-1.webp | 86::sku_compact::tsw_output::Columbia-CFB48-01.webp,100::current_basename::columbia-door-8-CFB4-8-1.webp | 90::sku_compact::columbia-8-pressure-door-cfb48-1.webp
CFB5B,simple,Cone Ball,columbia-cone-ball-cfb5b-1.webp | columbia-cone-ball-cfb5b-2.webp,yes,strong_exact,100,current_basename,production_images,columbia-cone-ball-CFB5B-1.webp,products/Production/Images/columbia-cone-ball-CFB5B-1.webp,100::current_basename::production_images::columbia-cone-ball-CFB5B-1.webp | 100::current_basename::production_images::columbia-cone-ball-CFB5B-2.webp | 96::sku_boundary::columbia_parts_scrape::columbia-cfb5b-01.webp | 86::sku_compact::columbia_parts_scrape::columbia-parts-cfb5b-01.webp,100::current_basename::columbia-cone-ball-CFB5B-1.webp | 100::current_basename::columbia-cone-ball-CFB5B-2.webp
CFB7-7,simple,"Door Gasket 7""",columbia-door-gasket-7-cfb7-7-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-door-gasket-7-CFB7-7-1.webp,products/Production/Images/columbia-door-gasket-7-CFB7-7-1.webp,100::current_basename::production_images::columbia-door-gasket-7-CFB7-7-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-cfb7-7-01.webp | 90::sku_compact::production_images::columbia-7-angle-box-door-gasket-cfb77-1.webp | 86::sku_compact::tsw_output::Columbia-CFB77-01.webp | 75::name_overlap_2::production_images::columbia-door-gasket-2-HNS15-2-1.webp,100::current_basename::columbia-door-gasket-7-CFB7-7-1.webp | 90::sku_compact::columbia-7-angle-box-door-gasket-cfb77-1.webp | 75::name_overlap_2::columbia-door-gasket-2-HNS15-2-1.webp | 75::name_overlap_2::columbia-door-gasket-3-HNS15-3-1.webp | 75::name_overlap_2::columbia-door-gasket-8-CFB7-8-1.webp
CFB7-8,simple,"Door Gasket 8""",columbia-door-gasket-8-cfb7-8-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-door-gasket-8-CFB7-8-1.webp,products/Production/Images/columbia-door-gasket-8-CFB7-8-1.webp,100::current_basename::production_images::columbia-door-gasket-8-CFB7-8-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-cfb7-8-01.webp | 90::sku_compact::production_images::columbia-8-door-gasket-for-angle-box-cfb78-1.webp | 86::sku_compact::tsw_output::Columbia-CFB78-01.webp | 75::name_overlap_2::production_images::columbia-door-gasket-2-HNS15-2-1.webp,100::current_basename::columbia-door-gasket-8-CFB7-8-1.webp | 90::sku_compact::columbia-8-door-gasket-for-angle-box-cfb78-1.webp | 75::name_overlap_2::columbia-door-gasket-2-HNS15-2-1.webp | 75::name_overlap_2::columbia-door-gasket-3-HNS15-3-1.webp | 75::name_overlap_2::columbia-door-gasket-7-CFB7-7-1.webp
