SKU,Type,Name,current_image_basenames,parts_meta_hit,classification,best_score,best_reason,best_source,best_basename,best_relpath,top_candidates,top_live_candidates
MH4,simple,Handle Grip,columbia-handle-grip-mh4-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-handle-grip-MH4-1.webp,products/Production/Images/columbia-handle-grip-MH4-1.webp,100::current_basename::production_images::columbia-handle-grip-MH4-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mh4-01.webp,100::current_basename::columbia-handle-grip-MH4-1.webp
MH5,simple,Connecting Link Pin,columbia-connecting-link-pin-mh5-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-connecting-link-pin-MH5-1.webp,products/Production/Images/columbia-connecting-link-pin-MH5-1.webp,100::current_basename::production_images::columbia-connecting-link-pin-MH5-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mh5-01.webp | 76::name_overlap_2::production_images::columbia-connecting-link-CT132-1.webp | 76::name_overlap_2::production_images::columbia-connecting-link-mp9c-MP9C-1.webp | 75::name_overlap_2::production_images::columbia-connecting-link-fork-MH7-1.webp,100::current_basename::columbia-connecting-link-pin-MH5-1.webp | 76::name_overlap_2::columbia-connecting-link-CT132-1.webp | 76::name_overlap_2::columbia-connecting-link-mp9c-MP9C-1.webp | 75::name_overlap_2::columbia-connecting-link-fork-MH7-1.webp | 75::name_overlap_2::columbia-handle-connecting-link-CR11-1.webp
MH6,simple,Hinge Pin,columbia-hinge-pin-mh6-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-hinge-pin-MH6-1.webp,products/Production/Images/columbia-hinge-pin-MH6-1.webp,100::current_basename::production_images::columbia-hinge-pin-MH6-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mh6-01.webp | 75::name_overlap_2::production_images::columbia-hinge-pin-BH6-1.webp | 75::name_overlap_2::production_images::columbia-hinge-pin-BH6-2.webp | 73::name_overlap_2::production_images::columbia-box-handle-hinge-pin-180-grip-bh06-1.webp,100::current_basename::columbia-hinge-pin-MH6-1.webp | 75::name_overlap_2::columbia-hinge-pin-BH6-1.webp | 75::name_overlap_2::columbia-hinge-pin-BH6-2.webp | 73::name_overlap_2::columbia-box-handle-hinge-pin-180-grip-bh06-1.webp
MH7,simple,Connecting Link Fork,columbia-connecting-link-fork-mh7-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-connecting-link-fork-MH7-1.webp,products/Production/Images/columbia-connecting-link-fork-MH7-1.webp,100::current_basename::production_images::columbia-connecting-link-fork-MH7-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mh7-01.webp | 76::name_overlap_2::production_images::columbia-connecting-link-CT132-1.webp | 75::name_overlap_2::production_images::columbia-connecting-link-mp9c-MP9C-1.webp | 75::name_overlap_2::production_images::columbia-connecting-link-pin-MH5-1.webp,100::current_basename::columbia-connecting-link-fork-MH7-1.webp | 76::name_overlap_2::columbia-connecting-link-CT132-1.webp | 75::name_overlap_2::columbia-connecting-link-mp9c-MP9C-1.webp | 75::name_overlap_2::columbia-connecting-link-pin-MH5-1.webp | 75::name_overlap_2::columbia-handle-connecting-link-CR11-1.webp
MH8,simple,Brake Rod Bushing,columbia-brake-rod-bushing-mh8-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-brake-rod-bushing-MH8-1.webp,products/Production/Images/columbia-brake-rod-bushing-MH8-1.webp,100::current_basename::production_images::columbia-brake-rod-bushing-MH8-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mh8-01.webp | 76::name_overlap_2::production_images::columbia-guide-rod-bushing-CT58-1.webp | 75::name_overlap_2::production_images::columbia-pinch-brake-bushing-MH24-1.webp | 74::name_overlap_2::production_images::columbia-brake-activation-rod-MH9A-1.webp,100::current_basename::columbia-brake-rod-bushing-MH8-1.webp | 76::name_overlap_2::columbia-guide-rod-bushing-CT58-1.webp | 75::name_overlap_2::columbia-pinch-brake-bushing-MH24-1.webp | 74::name_overlap_2::columbia-brake-activation-rod-MH9A-1.webp
MH9A,simple,Brake Activation Rod,columbia-brake-activation-rod-mh9a-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-brake-activation-rod-MH9A-1.webp,products/Production/Images/columbia-brake-activation-rod-MH9A-1.webp,100::current_basename::production_images::columbia-brake-activation-rod-MH9A-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mh9a-01.webp | 73::name_overlap_2::production_images::columbia-brake-rod-bushing-MH8-1.webp,100::current_basename::columbia-brake-activation-rod-MH9A-1.webp | 73::name_overlap_2::columbia-brake-rod-bushing-MH8-1.webp
MP11,simple,Piston Shaft,columbia-piston-shaft-mp11-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-piston-shaft-MP11-1.webp,products/Production/Images/columbia-piston-shaft-MP11-1.webp,100::current_basename::production_images::columbia-piston-shaft-MP11-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mp11-01.webp,100::current_basename::columbia-piston-shaft-MP11-1.webp
MP13,simple,Piston Backing Washer (Large),columbia-piston-backing-washer-large-mp13-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-piston-backing-washer-large-MP13-1.webp,products/Production/Images/columbia-piston-backing-washer-large-MP13-1.webp,100::current_basename::production_images::columbia-piston-backing-washer-large-MP13-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mp13-01.webp | 90::sku_compact::production_images::columbia-piston-backing-washer-small-MP13A-1.webp | 86::sku_compact::columbia_parts_scrape::columbia-mp13a-01.webp | 76::name_overlap_2::production_images::columbia-backing-washer-locator-MP32-1.webp,100::current_basename::columbia-piston-backing-washer-large-MP13-1.webp | 90::sku_compact::columbia-piston-backing-washer-small-MP13A-1.webp | 76::name_overlap_2::columbia-backing-washer-locator-MP32-1.webp | 75::name_overlap_2::columbia-stainless-steel-backing-washer-FFB4B-1.webp | 73::name_overlap_2::dura-stilts-large-leg-band-support-washer-21-1.webp
MP13A,simple,Piston Backing Washer (Small),columbia-piston-backing-washer-small-mp13a-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-piston-backing-washer-small-MP13A-1.webp,products/Production/Images/columbia-piston-backing-washer-small-MP13A-1.webp,100::current_basename::production_images::columbia-piston-backing-washer-small-MP13A-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mp13a-01.webp | 81::name_overlap_3::production_images::columbia-piston-backing-washer-large-MP13-1.webp | 75::name_overlap_2::production_images::columbia-backing-washer-locator-MP32-1.webp | 75::name_overlap_2::production_images::columbia-stainless-steel-backing-washer-FFB4B-1.webp,100::current_basename::columbia-piston-backing-washer-small-MP13A-1.webp | 81::name_overlap_3::columbia-piston-backing-washer-large-MP13-1.webp | 75::name_overlap_2::columbia-backing-washer-locator-MP32-1.webp | 75::name_overlap_2::columbia-stainless-steel-backing-washer-FFB4B-1.webp
MP14,simple,Piston Cup,columbia-piston-cup-mp14-1.webp,yes,strong_exact,100,current_basename,production_images,columbia-piston-cup-MP14-1.webp,products/Production/Images/columbia-piston-cup-MP14-1.webp,100::current_basename::production_images::columbia-piston-cup-MP14-1.webp | 96::sku_boundary::columbia_parts_scrape::columbia-mp14-01.webp | 90::sku_compact::production_images::tapetech-14-premium-stainless-steel-mud-pan-MP14TT-1.webp | 86::sku_compact::tsw_output::TapeTech-MP14TT-01.webp | 75::name_overlap_2::production_images::columbia-piston-cup-CT111-1.webp,100::current_basename::columbia-piston-cup-MP14-1.webp | 90::sku_compact::tapetech-14-premium-stainless-steel-mud-pan-MP14TT-1.webp | 75::name_overlap_2::columbia-piston-cup-CT111-1.webp | 75::name_overlap_2::tapetech-piston-cup-720009-1.webp
