"Simple_SKU","Simple_Name","Simple_Cat","Simple_Images","Variation_SKU","Variation_Name","Variation_Parent","Variation_Cat","Variation_Images"
"25AH","Columbia 2.5″ Anglehead","Drywall Finishing Tools > Columbia > Parts","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-25AH-01.webp","2.5AH","Columbia Angle Head - 2.5""","COL-ANGLE-HEAD",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-2-5AH-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-2-5AH-02.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-2-5AH-03.webp"
"25DF","Columbia 2.5"" Direct Corner Flusher","Drywall Finishing Tools > Columbia > Parts","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-25DF-01.webp","2.5DF","Columbia Direct Flusher - 2.5""","COL-DIRECT-FLUSHER",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-2-5DF-01.webp"
"25SF","Columbia 2.5"" Standard Corner Flusher","Drywall Finishing Tools > Columbia > Parts","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-25SF-01.webp","2.5SF","Columbia Standard Flusher - 2.5""","COL-STANDARD-FLUSHERS",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-2-5SF-01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-2-5SF-02.webp"
"35AH","Columbia 3.5″ Anglehead","Drywall Finishing Tools > Columbia > Parts","https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-35AH-01.webp","3.5AH","Columbia Angle Head - 3.5""","COL-ANGLE-HEAD",,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-3-5AH-01.webp"
"35DF","Columbia 3.5"" Direct Corner Flusher","Drywall Finishing Tools > Columbia > Parts","","3.5DF","Columbia Direct Flusher - 3.5""","COL-DIRECT-FLUSHER",,""
"35SF","Columbia 3.5"" Standard Corner Flusher","Drywall Finishing Tools > Columbia > Parts","","3.5SF","Columbia Standard Flusher - 3.5""","COL-STANDARD-FLUSHERS",,""
