reference_model,reference_section,reference_catalog_page,reference_page_name,reference_enrichment_name,reference_enrichment_short_description,reference_mapping_category,reference_mapping_subcategory,reference_mapping_product,shop_reference_name,shop_reference_description,present_in_wc_catalog_by_mpn
TKOS12BSTT,Premium Taping Knives,37,TapeTech Premium Blue Steel Offset Taping Knife,,,Premium Knives & Trowels,Offset Taping Knives,Offset Taping Knife,,,0
TKOS14BSTT,Premium Taping Knives,37,TapeTech Premium Blue Steel Offset Taping Knife,,,Premium Knives & Trowels,Offset Taping Knives,Offset Taping Knife,,,0
TKOS16BSTT,Premium Taping Knives,37,TapeTech Premium Blue Steel Offset Taping Knife,,,Premium Knives & Trowels,Offset Taping Knives,Offset Taping Knife,,,0
VEX11075,Premium Taping Knives,37,"VEX11075 TapeTech 4.3"" x 3"" Outside Corner Trowel","VEX11075 TapeTech 4.3"" x 3"" Outside Corner Trowel","TapeTech Outside Corner Trowel VEX11075 Handcrafted in Italy, this stainless steel TapeTech mini outside corner trowel is perfect for finishing the 90° corners...",Venetian & Decorative Finish Tools,Corner Trowels,Exterior Corner Trowel,,,0
VEX4030,Premium Taping Knives,37,"VEX4030 TapeTech 1.6"" x 1.2"" Mini Outside Corner Trowel","VEX4030 TapeTech 1.6"" x 1.2"" Mini Outside Corner Trowel","TapeTech Mini Outside Corner Trowel VEX4030 Handcrafted in Italy, this stainless steel TapeTech mini outside corner trowel is perfect for finishing the 90° corn...",Venetian & Decorative Finish Tools,Corner Trowels,Exterior Corner Trowel,,,0
VEX8025,Premium Taping Knives,37,"VEX8025 TapeTech 3"" x 1"" Mini Outside Corner Trowel","VEX8025 TapeTech 3"" x 1"" Mini Outside Corner Trowel","TapeTech Mini Outside Corner Trowel VEX8025 Handcrafted in Italy, this stainless steel TapeTech mini outside corner trowel is perfect for finishing the 90° corn...",Venetian & Decorative Finish Tools,Corner Trowels,Exterior Corner Trowel,,,0
VEX8060,Premium Taping Knives,37,"VEX8060 TapeTech 3"" x 2.4"" Outside Corner Trowel","VEX8060 TapeTech 3"" x 2.4"" Outside Corner Trowel","TapeTech Outside Corner Trowel VEX8060 Handcrafted in Italy, this stainless steel TapeTech mini outside corner trowel is perfect for finishing the 90° corners o...",Venetian & Decorative Finish Tools,Corner Trowels,Exterior Corner Trowel,,,0
VIN11075,Premium Taping Knives,37,"VIN11075 TapeTech 4.3"" x 3"" Inside Corner Trowel","VIN11075 TapeTech 4.3"" x 3"" Inside Corner Trowel","TapeTech Inside Corner Trowel VIN11075 Handcrafted in Italy, this stainless steel TapeTech mini inside corner trowel is perfect for finishing the 90° corners of...",Venetian & Decorative Finish Tools,Corner Trowels,Interior Corner Trowel,,,0
VIN4030,Premium Taping Knives,37,"VIN4030 TapeTech 1.6"" x 1.2"" Mini Inside Corner Trowel","VIN4030 TapeTech 1.6"" x 1.2"" Mini Inside Corner Trowel","TapeTech Mini Inside Corner Trowel VIN4030 Handcrafted in Italy, this stainless steel TapeTech mini inside corner trowel is perfect for finishing the 90° corner...",Venetian & Decorative Finish Tools,Corner Trowels,Interior Corner Trowel,,,0
VIN8025,Premium Taping Knives,37,"VIN8025 TapeTech 3"" x 1"" Mini Inside Corner Trowel","VIN8025 TapeTech 3"" x 1"" Mini Inside Corner Trowel","TapeTech Mini Inside Corner Trowel VIN8025 Handcrafted in Italy, this stainless steel TapeTech mini inside corner trowel is perfect for finishing the 90° corner...",Venetian & Decorative Finish Tools,Corner Trowels,Interior Corner Trowel,,,0
VIN8060,Premium Taping Knives,37,"VIN8060 TapeTech 3"" x 2.4"" Inside Corner Trowel","VIN8060 TapeTech 3"" x 2.4"" Inside Corner Trowel","TapeTech Inside Corner Trowel VIN8060 Handcrafted in Italy, this stainless steel TapeTech mini inside corner trowel is perfect for finishing the 90° corners of...",Venetian & Decorative Finish Tools,Corner Trowels,Interior Corner Trowel,,,0
