bundle_sku,bundle_name,action,status,bundle_variant_id,component_count,message
TTCFS,TapeTech Corner Finishing Set,create_bundle,created,716872797,5,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872797, ""type"": ""Kit"", ""title"": ""TapeTech Corner Finishing Set"", ""sku_code"": ""TTCFS"", ""upc_code"": """", ""model_number"": """", ""price"": 1416.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:42.570Z"", ""updated_at"": ""2026-07-08T18:13:31.768Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Corner Finis"
TTFINISH7/10,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes,create_bundle,created,716872804,12,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872804, ""type"": ""Kit"", ""title"": ""TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes"", ""sku_code"": ""TTFINISH7/10"", ""upc_code"": """", ""model_number"": """", ""price"": 2654.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:43.274Z"", ""updated_at"": ""2026-07-08T18:13:35.483Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product"
TTFBC,TapeTech Flat Box Combo,create_bundle,created,716872819,5,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872819, ""type"": ""Kit"", ""title"": ""TapeTech Flat Box Combo"", ""sku_code"": ""TTFBC"", ""upc_code"": """", ""model_number"": """", ""price"": 1480.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:44.587Z"", ""updated_at"": ""2026-07-08T18:13:39.321Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Flat Box Combo"", """
TTFULL2SET,TapeTech Full Set X2 Contractors Pack,create_bundle,created,716872821,12,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872821, ""type"": ""Kit"", ""title"": ""TapeTech Full Set X2 Contractors Pack"", ""sku_code"": ""TTFULL2SET"", ""upc_code"": """", ""model_number"": """", ""price"": 8756.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:44.804Z"", ""updated_at"": ""2026-07-08T18:13:42.481Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech"
TTPFB,TapeTech Paper Faced Bead Pro Set,create_bundle,created,716872829,8,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872829, ""type"": ""Kit"", ""title"": ""TapeTech Paper Faced Bead Pro Set"", ""sku_code"": ""TTPFB"", ""upc_code"": """", ""model_number"": """", ""price"": 1949.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:45.932Z"", ""updated_at"": ""2026-07-08T18:13:47.908Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Paper Fa"
TTPPS-EF,TapeTech Pro Performance Easy Finish Set,create_bundle,created,716872831,15,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872831, ""type"": ""Kit"", ""title"": ""TapeTech Pro Performance Easy Finish Set"", ""sku_code"": ""TTPPS-EF"", ""upc_code"": """", ""model_number"": """", ""price"": 7295.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:46.165Z"", ""updated_at"": ""2026-07-08T18:13:52.793Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTec"
TTPPS,TapeTech Pro Performance Set,create_bundle,created,716872835,15,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872835, ""type"": ""Kit"", ""title"": ""TapeTech Pro Performance Set"", ""sku_code"": ""TTPPS"", ""upc_code"": """", ""model_number"": """", ""price"": 6625.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:46.381Z"", ""updated_at"": ""2026-07-08T18:13:58.427Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Pro Performan"
TTPSS,TapeTech Professional Starter Set,create_bundle,created,716872840,11,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872840, ""type"": ""Kit"", ""title"": ""TapeTech Professional Starter Set"", ""sku_code"": ""TTPSS"", ""upc_code"": """", ""model_number"": """", ""price"": 4559.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:46.609Z"", ""updated_at"": ""2026-07-08T18:14:04.816Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Professi"
TTFFS,TapeTech Value Drywall Finishing Set,create_bundle,created,716872845,10,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872845, ""type"": ""Kit"", ""title"": ""TapeTech Value Drywall Finishing Set"", ""sku_code"": ""TTFFS"", ""upc_code"": """", ""model_number"": """", ""price"": 2556.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:46.818Z"", ""updated_at"": ""2026-07-08T18:14:08.998Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Value"
TTFTFS,TapeTech Value Full Drywall Taping & Finishing Set,create_bundle,created,716872849,12,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872849, ""type"": ""Kit"", ""title"": ""TapeTech Value Full Drywall Taping & Finishing Set"", ""sku_code"": ""TTFTFS"", ""upc_code"": """", ""model_number"": """", ""price"": 4260.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:47.037Z"", ""updated_at"": ""2026-07-08T18:14:12.885Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": "
