brand,official_sku,normalized_sku,product_name,alternate_names,section,catalog_item_type,launch_candidate,source_pdf,source_pdf_pages,source_catalog_pages,source_item_nos,source_lines,extraction_methods,source_validation,price,price_source,notes,removal_reason
Columbia,FFBR-9-10,FFBR-9-10,"Box Blades Kit 10""",,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,FFBR-9-10,FFBR-9-10 Box Blades Kit 10”,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,FFBR-9-12,FFBR-9-12,"Box Blades Kit 12""",,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,FFBR-9-12,FFBR-9-12 Box Blades Kit 12”,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,FFBR-9-14,FFBR-9-14,"Box Blades Kit 14""",,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,FFBR-9-14,"FFBR-9-14 Box Blades Kit 14""",pdf_visual_table,sku_verified_from_rendered_pdf_or_garbled_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,FFBR-9-5.5,FFBR-9-5.5,"Box Blades Kit 5.5""",,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,FFBR-9-5.5,FFBR-9-5.5 Box Blades Kit 5.5”,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,FFBR-9-7,FFBR-9-7,"Box Blades Kit 7""",,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,FFBR-9-7,FFBR-9-7 Box Blades Kit 7”,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,FFBR-9-8,FFBR-9-8,"Box Blades Kit 8""",,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,FFBR-9-8,FFBR-9-8 Box Blades Kit 8”,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,HHR-1,HHR-1,Hydra Handle Maintenance Kit,,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,HHR-1,HHR-1 Hydra Handle Maintenance Kit,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,HNS7-2,HNS7-2,"Nail Spotter Blade 2""",,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,HNS7-2,"HNS7-2 Nail Spotter Blade 2""",pdf_visual_table,sku_verified_from_rendered_pdf_or_garbled_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,HNS7-3,HNS7-3,"Nail Spotter Blade 3""",,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,HNS7-3,"HNS7-3 Nail Spotter Blade 3""",pdf_visual_table,sku_verified_from_rendered_pdf_or_garbled_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
Columbia,MPR-1,MPR-1,Mud Pump Maintenance Kit,,Maintenance Kits,maintenance_kit,0,products\scraped_results\brands\Columbia\customercatalogue2024-3.pdf-3.pdf,24,23,MPR-1,MPR-1 Mud Pump Maintenance Kit,pdf_visual_table,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,501BH,501BH,Pump Wear Parts Kit - B74TT/B75TT,,Pumps / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,501BH,501BH - Pump Wear Parts Kit - B74TT/B75TT 501H1 - Pump Cleaning Kit 700033F - Screen (coarse mesh),pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,501H,501H,Pump Wear Parts Kit - 72TT/73TT,,Pumps / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,501H,"501H - Pump Wear Parts Kit - 72TT/73TT 502H - Pump Tune Up Kit - 72TT/73TT/76TT/76TT-CA/76XLTT 72TT, 73TT, 76TT, 76TT-CA, 76XLTT:",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,501H1,501H1,Pump Cleaning Kit,,Pumps / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,501H1,501BH - Pump Wear Parts Kit - B74TT/B75TT 501H1 - Pump Cleaning Kit 700033F - Screen (coarse mesh),pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,501J,501J,Pump Wear Parts Kit - 76TT/76TT-CA/76XLTT,,Pumps / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,501J,501J - Pump Wear Parts Kit - 76TT/76TT-CA/76XLTT 502BH - Pump Tune Up Kit - B74TT/B75TT 700032F - Screen (fine mesh),pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,502BH,502BH,Pump Tune Up Kit - B74TT/B75TT,,Pumps / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,502BH,501J - Pump Wear Parts Kit - 76TT/76TT-CA/76XLTT 502BH - Pump Tune Up Kit - B74TT/B75TT 700032F - Screen (fine mesh),pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,502H,502H,Pump Tune Up Kit - 72TT/73TT/76TT/76TT-CA/76XLTT,,Pumps / Parts Kits,maintenance_kit,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,502H,"501H - Pump Wear Parts Kit - 72TT/73TT 502H - Pump Tune Up Kit - 72TT/73TT/76TT/76TT-CA/76XLTT 72TT, 73TT, 76TT, 76TT-CA, 76XLTT:",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=maintenance_kit; parts/maintenance kit match
TapeTech,700032F,700032F,Screen (fine mesh),,Pumps / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,700032F,501J - Pump Wear Parts Kit - 76TT/76TT-CA/76XLTT 502BH - Pump Tune Up Kit - B74TT/B75TT 700032F - Screen (fine mesh),pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=common_wear_part; parts/maintenance kit match
TapeTech,700033F,700033F,Screen (coarse mesh),,Pumps / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,5,13,700033F,501BH - Pump Wear Parts Kit - B74TT/B75TT 501H1 - Pump Cleaning Kit 700033F - Screen (coarse mesh),pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=common_wear_part; parts/maintenance kit match
TapeTech,054209F,054209F,Cable,,Tapers / Common Wear Parts,common_wear_part,0,products\scraped_results\brands\TapeTech\TapeTech-Product-Catalog_ENG_web_pages-9-46.pdf,7,15,054209F,"501A - Taper Wear Parts Kit (04TT, 05TT) 215 - Drive Dog Assembly Replacement Kit 054209F - Cable 059010 - Spring",pdf_text,sku_found_in_pdf_text,,,,catalog_item_type=common_wear_part; parts/maintenance kit match
