brand,name,sku,upc
Columbia Taping Tools,"Columbia Closet Monster 18"" Flat Box Handle",CMH,824149008075
Columbia Taping Tools,Columbia Combo Flusher,3CSF,824149008280
Columbia Taping Tools,"Columbia Comfort Grip Putty Knives 3 Pack (4,5+6"")",JKBP,824149121361
Columbia Taping Tools,Columbia Commando Taping Tool Kit w/ Case,gCOLSEMI-1,810135984300
Columbia Taping Tools,Columbia Compound Tube Filler Adaptor,CLTBF,810135984256
Columbia Taping Tools,Columbia Corner Cobra Adjustable Inside & Outside Corner Roller,CC,824149008662
Columbia Taping Tools,Columbia Corner Roller,CR,824149000376
Columbia Taping Tools,Columbia Corner Roller with ONE Handle,gcr+ch1,810135984331
Columbia Taping Tools,"Columbia Drywall 42"" 180-Grip Bent Flat Box Handle",42BBH,824149008600
Columbia Taping Tools,"Columbia Drywall Finishing Tool Smoothing Blade / Wipe Down Knife Triple Combo Set with Handle 10"" - 14"" - 24""",GTSB-KIT,810135988698
Columbia Taping Tools,Columbia Drywall Taping Tools 7” Hinged Flat Finisher Box,7FFB,824149000178
Columbia Taping Tools,Columbia Drywall Taping Tools Tactical Set,TACSET,810135988438
Columbia Taping Tools,Columbia Flusher Set Tool Case,TC-1,810135988452
Columbia Taping Tools,Columbia Full Semi Automatic Set,col-fullsemi,810135984270
Columbia Taping Tools,Columbia Hot Mud Pump,HMP,824149000437
Columbia Taping Tools,Columbia Inside 90 Applicator with Wheels,ICATW,824149008266
Columbia Taping Tools,Columbia Inside Corner Applicator 2 Wheels,ICA2-1,824149008174
Columbia Taping Tools,Columbia Inside Corner Applicator 4 Wheels,ICA4-1,824149008761
Columbia Taping Tools,Columbia L-Trim Mud Applicator Head,FMH,824149009188
Columbia Taping Tools,Columbia Matrix Extendable Flat Box Handle,MH,824149009607
Columbia Taping Tools,"Columbia Matrix Long Extendable Drywall Flat Box Handle 56"" to 76""",MHL,824149010191
Columbia Taping Tools,Columbia One Extendable Angle Head Handle 3'-5',GC1HEXT & AHA,810135983730
Columbia Taping Tools,Columbia One Extendable Handle 3'-5',C1HEXT,824149009119
Columbia Taping Tools,Columbia One Handle,C1H,824149009102
Columbia Taping Tools,"Columbia One Predator Taper 39"" ""Sawed Off""",C1SPTAPER,824149009270
Columbia Taping Tools,"Columbia One Predator Taper 53"" Standard",C1PTAPER,824149009270
