"brand","catalog_category","product_type","parent_sku","product_name","is_variable_product","attribute_names","attribute_values","variation_name","variation_position","sku","mpn","attribute_1","attribute_2","attribute_3","available","price","compare_at_price","weight_grams","tags","short_description","description_text","features"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","simple","ASG-ASGARD-FIBERGLASS-HANDLE-43","Asgard Fiberglass Handle - 43""","false","","","","1","FH-AD","FH-AD","","","","true","48.00","48.00","1497","Asgard, corner roller handle, extendable handle, FH-AD, nail spotter handle, semi automatic","Asgard® Tools feature an interchangeable handle system that allows one support handle to be used with the Corner Applicator, Corner Roller and Nail Spotter without additional adapters. To attach the support handles to the Angle Heads, use the CFA-AD adapter. The FH-AD support handle is lightweight but robust and its...","Asgard® Tools feature an interchangeable handle system that allows one support handle to be used with the Corner Applicator, Corner Roller and Nail Spotter without additional adapters. To attach the support handles to the Angle Heads, use the CFA-AD adapter. The FH-AD support handle is lightweight but robust and its optimal diameter makes it extremely ergonomic. The D-shaped fitting securely positions the handle in the Corner Applicator to prevent the tool from rotating during use. Supports the Corner Applicator, Corner Roller, Nail Spotter and Angle Head (with CFA-AD adapter) Features Optimal diameter for superior ergonomics D-shaped fitting to prevent Corner Applicator from rotating Note: Handle only. Other tools shown not included.","Optimal diameter for superior ergonomics | D-shaped fitting to prevent Corner Applicator from rotating"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","variable","ASG-ASGARD-FINISHING-BOX","Asgard Finishing Box","true","Size","Size: 7"" | 10"" | 12""","7""","1","EZ07-AD","EZ07-AD","7""","","","true","330.00","330.00","1247","automatic taping tools, EZ07-AD, EZ10-AD, EZ12-AD, flat box, flatbox","The Asgard® Classic Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint compound...","The Asgard® Classic Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the gypsum board on one side of the joint is higher than the other side of the joint. Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings Finishes butt joints and flat joints on walls and ceilings Feathers edges of butt joints and flat joints Features Anodized Aluminum Box Adjustable Crown Control Solid Brass Blade Holder Hardened Steel Blade Pivoting Axle","Anodized Aluminum Box | Adjustable Crown Control | Solid Brass Blade Holder | Hardened Steel Blade | Pivoting Axle"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","variable","ASG-ASGARD-FINISHING-BOX","Asgard Finishing Box","true","Size","Size: 7"" | 10"" | 12""","10""","2","EZ10-AD","EZ10-AD","10""","","","true","345.00","345.00","1497","automatic taping tools, EZ07-AD, EZ10-AD, EZ12-AD, flat box, flatbox","The Asgard® Classic Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint compound...","The Asgard® Classic Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the gypsum board on one side of the joint is higher than the other side of the joint. Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings Finishes butt joints and flat joints on walls and ceilings Feathers edges of butt joints and flat joints Features Anodized Aluminum Box Adjustable Crown Control Solid Brass Blade Holder Hardened Steel Blade Pivoting Axle","Anodized Aluminum Box | Adjustable Crown Control | Solid Brass Blade Holder | Hardened Steel Blade | Pivoting Axle"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","variable","ASG-ASGARD-FINISHING-BOX","Asgard Finishing Box","true","Size","Size: 7"" | 10"" | 12""","12""","3","EZ12-AD","EZ12-AD","12""","","","true","361.00","361.00","1746","automatic taping tools, EZ07-AD, EZ10-AD, EZ12-AD, flat box, flatbox","The Asgard® Classic Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint compound...","The Asgard® Classic Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the gypsum board on one side of the joint is higher than the other side of the joint. Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings Finishes butt joints and flat joints on walls and ceilings Feathers edges of butt joints and flat joints Features Anodized Aluminum Box Adjustable Crown Control Solid Brass Blade Holder Hardened Steel Blade Pivoting Axle","Anodized Aluminum Box | Adjustable Crown Control | Solid Brass Blade Holder | Hardened Steel Blade | Pivoting Axle"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","simple","ASG-ASGARD-GOOSENECK-ADAPTER","Asgard Gooseneck Adapter","false","","","","1","GN01-AD","GN01-AD","","","","true","111.00","111.00","794","Asgard, GN01-AD, goose neck, gooseneck","The Asgard® GN01-AD Gooseneck used with the LP01-AD Loading Pump to fill the automatic taper. It features a heavy duty, durable design to provide years of service. The cradle of the Gooseneck features rubber sleeves to protect the main tube of the Automatic Taper.","The Asgard® GN01-AD Gooseneck used with the LP01-AD Loading Pump to fill the automatic taper. It features a heavy duty, durable design to provide years of service. The cradle of the Gooseneck features rubber sleeves to protect the main tube of the Automatic Taper. Fills Asgard Automatic Taper","Fills Asgard Automatic Taper"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","simple","ASG-ASGARD-INSIDE-CORNER-ROLLER-HEAD-ONLY","Asgard Inside Corner Roller – Head Only","false","","","","1","CR01-AD","CR01-AD","","","","true","178.00","178.00","907","Asgard, corner roller, CR01-AD, inside corner roller","The Asgard® CR01-AD Inside Corner Roller attaches to the FH-AD or XH-AD Support Handle to quickly and accurately embed the joint tape into the internal corner joints. Use the Inside Corner Roller immediately after applying joint tape to the internal corner with the Automatic Taper. The CR01-AD forces excess joint co...","The Asgard® CR01-AD Inside Corner Roller attaches to the FH-AD or XH-AD Support Handle to quickly and accurately embed the joint tape into the internal corner joints. Use the Inside Corner Roller immediately after applying joint tape to the internal corner with the Automatic Taper. The CR01-AD forces excess joint compound out from behind the joint tape in preparation for the Angle Head. The Asgard CR01-AD features stainless steel rollers for crisp edges and long life. Embeds tape into joint compound at internal corners of walls and ceilings Forces excess joint compound out of corner in preparation for Angle Head Features Stainless Steel Wheels Easy Clean wheel design","Stainless Steel Wheels | Easy Clean wheel design"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","simple","ASG-ASGARD-LOADING-PUMP","Asgard Loading Pump","false","","","","1","LP01-AD","LP01-AD","","","","true","417.00","417.00","4354","Asgard, automatic taping tools, loading pump, LP01-AD","The Asgard® Loading Pump combines reliability with innovation. It is used together with the GN01-TT Gooseneck and FA01-AD Filler Adapter to fill the Automatic Taper, Finishing Boxes, Corner Applicator and Nail Spotter with joint compound. The LP01-AD features the slim tube design preferred by professional finishers...","The Asgard® Loading Pump combines reliability with innovation. It is used together with the GN01-TT Gooseneck and FA01-AD Filler Adapter to fill the Automatic Taper, Finishing Boxes, Corner Applicator and Nail Spotter with joint compound. The LP01-AD features the slim tube design preferred by professional finishers and robust construction for dependable performance and long life. The twist-lock foot valve provides secure attachment and easy removal for cleaning and maintenance. Unlike loading pumps from other brands the Asgard LP01-AD does not require a paper gasket for the filler adapter or gooseneck due to an innovative, integrated O-Ring that provides a terrific seal with fewer headaches from lost, worn or damaged paper gaskets. Fills Automatic Tapers (with GN01-TT Gooseneck) Fills finishing boxes, corner applicator and nail spotter (with FA01-AD filler adapter) Features Twist-lock foot valve Integrated gasket for filler adapter and gooseneck Streamlined head design Easy clean tube Anodized for durability","Twist-lock foot valve | Integrated gasket for filler adapter and gooseneck | Streamlined head design | Easy clean tube | Anodized for durability"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","variable","ASG-ASGARD-MAXXBOX-FINISHING-BOX","Asgard MAXXBOX Finishing Box","true","Size","Size: 7"" | 10"" | 12""","7""","1","EHC07-AD","EHC07-AD","7""","","","true","402.00","402.00","1814","Asgard, EHC07-AD, EHC10-AD, EHC12-AD, finishing box, flat box, flatbox, maxx box, MAXXBOX","The Asgard® MAXXBOX® Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The MAXXBOX® Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint...","The Asgard® MAXXBOX® Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The MAXXBOX® Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the gypsum board on one side of the joint is higher than the other side of the joint. Asgard® MAXXBOX® Finishing Boxes are designed with the optimum capacity to weight ratio. This means that you get more “usable” joint compound – the amount that you can actually get out of the finishing box and onto the wall – when you actually need it, like on the first coat over the joint tape. The Asgard 10” MAXXBOX® finishing box delivers 60% more usable joint compound than the standard Classic finishing box (model EZ10-AD) and up to 36% more usable capacity than competitive high capacity finishing boxes. Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings Finishes butt joints and flat joints on walls and ceilings Feathers edges of butt joints and flat joints Features EasyClean Pressure Plate Anodized Aluminum Box Adjustable Crown Control Solid Brass Blade Holder Pivoting Axle","EasyClean Pressure Plate | Anodized Aluminum Box | Adjustable Crown Control | Solid Brass Blade Holder | Pivoting Axle"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","variable","ASG-ASGARD-MAXXBOX-FINISHING-BOX","Asgard MAXXBOX Finishing Box","true","Size","Size: 7"" | 10"" | 12""","10""","2","EHC10-AD","EHC10-AD","10""","","","true","412.00","412.00","2041","Asgard, EHC07-AD, EHC10-AD, EHC12-AD, finishing box, flat box, flatbox, maxx box, MAXXBOX","The Asgard® MAXXBOX® Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The MAXXBOX® Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint...","The Asgard® MAXXBOX® Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The MAXXBOX® Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the gypsum board on one side of the joint is higher than the other side of the joint. Asgard® MAXXBOX® Finishing Boxes are designed with the optimum capacity to weight ratio. This means that you get more “usable” joint compound – the amount that you can actually get out of the finishing box and onto the wall – when you actually need it, like on the first coat over the joint tape. The Asgard 10” MAXXBOX® finishing box delivers 60% more usable joint compound than the standard Classic finishing box (model EZ10-AD) and up to 36% more usable capacity than competitive high capacity finishing boxes. Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings Finishes butt joints and flat joints on walls and ceilings Feathers edges of butt joints and flat joints Features EasyClean Pressure Plate Anodized Aluminum Box Adjustable Crown Control Solid Brass Blade Holder Pivoting Axle","EasyClean Pressure Plate | Anodized Aluminum Box | Adjustable Crown Control | Solid Brass Blade Holder | Pivoting Axle"
"Asgard","Drywall Finishing Tools > Asgard > Automatic Taping Tools","variable","ASG-ASGARD-MAXXBOX-FINISHING-BOX","Asgard MAXXBOX Finishing Box","true","Size","Size: 7"" | 10"" | 12""","12""","3","EHC12-AD","EHC12-AD","12""","","","true","457.00","457.00","2268","Asgard, EHC07-AD, EHC10-AD, EHC12-AD, finishing box, flat box, flatbox, maxx box, MAXXBOX","The Asgard® MAXXBOX® Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The MAXXBOX® Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint...","The Asgard® MAXXBOX® Finishing Box automatically dispenses the proper amount of joint compound and feathers the edges of butt joints and flat joints in one pass. The MAXXBOX® Finishing Box helps produce professional results every time. The adjustable crown setting dial allows you to easily adjust the amount of joint compound applied over the tape on the drywall joint. This is very helpful when progressing from the first finishing application to the second or third application. The pivoting axle helps to compensate when the gypsum board on one side of the joint is higher than the other side of the joint. Asgard® MAXXBOX® Finishing Boxes are designed with the optimum capacity to weight ratio. This means that you get more “usable” joint compound – the amount that you can actually get out of the finishing box and onto the wall – when you actually need it, like on the first coat over the joint tape. The Asgard 10” MAXXBOX® finishing box delivers 60% more usable joint compound than the standard Classic finishing box (model EZ10-AD) and up to 36% more usable capacity than competitive high capacity finishing boxes. Applies first coat of joint compound to embed tape at butt joints and flat joints on walls and ceilings Finishes butt joints and flat joints on walls and ceilings Feathers edges of butt joints and flat joints Features EasyClean Pressure Plate Anodized Aluminum Box Adjustable Crown Control Solid Brass Blade Holder Pivoting Axle","EasyClean Pressure Plate | Anodized Aluminum Box | Adjustable Crown Control | Solid Brass Blade Holder | Pivoting Axle"
