ID,Type,Old SKU,New SKU,Name
12473,simple,CF1535IN,CF1535,Corner Flusher Tension Spring 15 x 3.5 in (CF15 - 3.5)
12491,simple,CFB18IN,CFB18,Rear Plate 8 in (CFB1 - 8)
12529,simple,CMT1A24IN,CMT1A24,"Draw Tube - 24"" (CMT1A - 24)"
13149,simple,SB112IN,SB112,Tomahawk 12 in Smoothing Blade (SB1 - 12)
13150,simple,SB212IN,SB212,"Replacement 12"" Blade for Tomahawk SB2 - 12 (SB2 - 12)"
