ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Meta: search_keywords,Meta: seo_title,Meta: seo_description,Meta: seo_canonical,Meta: seo_robots,Meta: seo_focus_keyword,Meta: seo_secondary_keywords,Meta: schema_brand,Meta: schema_mpn,Meta: schema_condition,Meta: _dtb_brand_key,Meta: _dtb_brand_label,Meta: _dtb_product_kind,Meta: _dtb_commerce_mode,Meta: _dtb_category_key,Meta: _dtb_display_category_key,Meta: _dtb_is_parts,Meta: _dtb_parent_product_sku,Meta: _dtb_variation_axis,Meta: _dtb_variation_value,Meta: _dtb_variation_label,Meta: _dtb_default_variation_sku,Meta: _dtb_variation_sort,Meta: _dtb_inherit_parent_image,Meta: _dtb_schematic_brand,Meta: _dtb_schematic_group,Meta: _dtb_schematic_position,Meta: _dtb_replacement_part_for,Meta: _dtb_compatible_tool_skus,Meta: _dtb_validation_status,Meta: _dtb_validation_errors,Meta: _dtb_brand,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
,variation,COBCRW,,Columbia Outside Corner Roller - Wide,0,0,hidden,,<p>Columbia Outside Corner Roller - Wide is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Outside Corner Roller</p><p><strong>Configuration:</strong> Wide</p><p><strong>Official SKU / MPN:</strong> COBCRW</p><p><em>Source reference: 8</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cobcrw_01.webp,,,COL-OUTSIDE-CORNER-ROLLER,,,,,,4,Columbia Tools,Profile,Wide,1,0,,"COBCRW, Columbia Outside Corner Roller - Wide, Columbia Tools",Columbia Outside Corner Roller - Wide,"Shop Columbia Outside Corner Roller - Wide, catalog-normalized for professional drywall finishing workflows.",,"noindex,follow",Columbia Outside Corner Roller - Wide,"Columbia Tools, drywall tools, COBCRW",Columbia Tools,COBCRW,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-OUTSIDE-CORNER-ROLLER,Profile,Wide,Wide,,4,1,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,
,variation,ICATW,,Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels,1,0,visible,,<p>Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Billet Mud Applicator</p><p><strong>Configuration:</strong> Two-Way Internal Corner - 4 Wheels</p><p><strong>Official SKU / MPN:</strong> ICATW</p><p><em>Source reference: 19</em></p>,,,taxable,,1,,,0,0,,,,,0,,,83.00,,,,,,,COL-BILLET-MUD-APPLICATOR,,,,,,1,Columbia Tools,Applicator Type,Two-Way Internal Corner - 4 Wheels,1,0,,"ICATW, Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels, Columbia Tools",Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels,"Shop Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia Billet Mud Applicator - Two-Way Internal Corner - 4 Wheels,"Columbia Tools, drywall tools, ICATW",Columbia Tools,ICATW,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-BILLET-MUD-APPLICATOR,Applicator Type,Two-Way Internal Corner - 4 Wheels,Two-Way Internal Corner - 4 Wheels,,1,1,,,,,,official-brand-catalog-shopames-price-validated,,Columbia Tools,,,,
,variation,ICA2-1,,"Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1""",1,0,visible,,<p>Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1&quot; is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Billet Mud Applicator</p><p><strong>Configuration:</strong> Inside Corner - 2 Wheels - 1&quot;</p><p><strong>Official SKU / MPN:</strong> ICA2-1</p><p><em>Source reference: 19</em></p>,,,taxable,,1,,,0,0,,,,,0,,,49.00,,,,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ica21_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ica21_02.webp",,,COL-BILLET-MUD-APPLICATOR,,,,,,2,Columbia Tools,Applicator Type,"Inside Corner - 2 Wheels - 1""",1,0,,"ICA2-1, Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1"", Columbia Tools","Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1""","Shop Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1"", catalog-normalized for professional drywall finishing workflows.",,"index,follow","Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1""","Columbia Tools, drywall tools, ICA2-1",Columbia Tools,ICA2-1,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-BILLET-MUD-APPLICATOR,Applicator Type,"Inside Corner - 2 Wheels - 1""","Inside Corner - 2 Wheels - 1""",,2,1,,,,,,official-brand-catalog-shopames-price-validated,,Columbia Tools,,,,
,variation,ICA4-1,,"Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1""",1,0,visible,,<p>Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1&quot; is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Billet Mud Applicator</p><p><strong>Configuration:</strong> Inside Corner - 4 Wheels - 1&quot;</p><p><strong>Official SKU / MPN:</strong> ICA4-1</p><p><em>Source reference: 19</em></p>,,,taxable,,1,,,0,0,,,,,0,,,63.00,,,,"https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ica41_01.webp, https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ica41_02.webp",,,COL-BILLET-MUD-APPLICATOR,,,,,,3,Columbia Tools,Applicator Type,"Inside Corner - 4 Wheels - 1""",1,0,,"ICA4-1, Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1"", Columbia Tools","Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1""","Shop Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1"", catalog-normalized for professional drywall finishing workflows.",,"index,follow","Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1""","Columbia Tools, drywall tools, ICA4-1",Columbia Tools,ICA4-1,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-BILLET-MUD-APPLICATOR,Applicator Type,"Inside Corner - 4 Wheels - 1""","Inside Corner - 4 Wheels - 1""",,3,1,,,,,,official-brand-catalog-shopames-price-validated,,Columbia Tools,,,,
,variation,CEXT90,,Columbia Billet Mud Applicator - External 90,1,0,visible,,<p>Columbia Billet Mud Applicator - External 90 is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Billet Mud Applicator</p><p><strong>Configuration:</strong> External 90</p><p><strong>Official SKU / MPN:</strong> CEXT90</p><p><em>Source reference: 19</em></p>,,,taxable,,1,,,0,0,,,,,0,,,98.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cext90_01.webp,,,COL-BILLET-MUD-APPLICATOR,,,,,,4,Columbia Tools,Applicator Type,External 90,1,0,,"CEXT90, Columbia Billet Mud Applicator - External 90, Columbia Tools",Columbia Billet Mud Applicator - External 90,"Shop Columbia Billet Mud Applicator - External 90, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia Billet Mud Applicator - External 90,"Columbia Tools, drywall tools, CEXT90",Columbia Tools,CEXT90,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-BILLET-MUD-APPLICATOR,Applicator Type,External 90,External 90,,4,1,,,,,,official-brand-catalog-shopames-price-validated,,Columbia Tools,,,,
,variation,CFLT,,Columbia Billet Mud Applicator - Flat,1,0,visible,,<p>Columbia Billet Mud Applicator - Flat is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia Billet Mud Applicator</p><p><strong>Configuration:</strong> Flat</p><p><strong>Official SKU / MPN:</strong> CFLT</p><p><em>Source reference: 19</em></p>,,,taxable,,1,,,0,0,,,,,0,,,60.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_cflt_01.webp,,,COL-BILLET-MUD-APPLICATOR,,,,,,5,Columbia Tools,Applicator Type,Flat,1,0,,"CFLT, Columbia Billet Mud Applicator - Flat, Columbia Tools",Columbia Billet Mud Applicator - Flat,"Shop Columbia Billet Mud Applicator - Flat, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia Billet Mud Applicator - Flat,"Columbia Tools, drywall tools, CFLT",Columbia Tools,CFLT,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-BILLET-MUD-APPLICATOR,Applicator Type,Flat,Flat,,5,1,,,,,,official-brand-catalog-shopames-price-validated,,Columbia Tools,,,,
,variation,FMH,,Columbia UHMW Mud Applicator - L-Trim,1,0,visible,,<p>Columbia UHMW Mud Applicator - L-Trim is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia UHMW Mud Applicator</p><p><strong>Configuration:</strong> L-Trim</p><p><strong>Official SKU / MPN:</strong> FMH</p><p><em>Source reference: 19</em></p>,,,taxable,,1,,,0,0,,,,,0,,,98.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fmh_01.webp,,,COL-UHMW-MUD-APPLICATOR,,,,,,1,Columbia Tools,Applicator Type,L-Trim,1,0,,"FMH, Columbia UHMW Mud Applicator - L-Trim, Columbia Tools",Columbia UHMW Mud Applicator - L-Trim,"Shop Columbia UHMW Mud Applicator - L-Trim, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia UHMW Mud Applicator - L-Trim,"Columbia Tools, drywall tools, FMH",Columbia Tools,FMH,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-UHMW-MUD-APPLICATOR,Applicator Type,L-Trim,L-Trim,,1,1,,,,,,official-brand-catalog-shopames-price-validated,,Columbia Tools,,,,
,variation,IA90,,Columbia UHMW Mud Applicator - Inside 90°,1,0,visible,,<p>Columbia UHMW Mud Applicator - Inside 90° is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia UHMW Mud Applicator</p><p><strong>Configuration:</strong> Inside 90°</p><p><strong>Official SKU / MPN:</strong> IA90</p><p><em>Source reference: 19</em></p>,,,taxable,,1,,,0,0,,,,,0,,,98.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ia90_01.webp,,,COL-UHMW-MUD-APPLICATOR,,,,,,2,Columbia Tools,Applicator Type,Inside 90°,1,0,,"IA90, Columbia UHMW Mud Applicator - Inside 90°, Columbia Tools",Columbia UHMW Mud Applicator - Inside 90°,"Shop Columbia UHMW Mud Applicator - Inside 90°, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia UHMW Mud Applicator - Inside 90°,"Columbia Tools, drywall tools, IA90",Columbia Tools,IA90,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-UHMW-MUD-APPLICATOR,Applicator Type,Inside 90°,Inside 90°,,2,1,,,,,,official-brand-catalog-shopames-price-validated,,Columbia Tools,,,,
,variation,OA90,,Columbia UHMW Mud Applicator - Outside 90°,1,0,visible,,<p>Columbia UHMW Mud Applicator - Outside 90° is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia UHMW Mud Applicator</p><p><strong>Configuration:</strong> Outside 90°</p><p><strong>Official SKU / MPN:</strong> OA90</p><p><em>Source reference: 19</em></p>,,,taxable,,1,,,0,0,,,,,0,,,98.00,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_ia90_01.webp,,,COL-UHMW-MUD-APPLICATOR,,,,,,3,Columbia Tools,Applicator Type,Outside 90°,1,0,,"OA90, Columbia UHMW Mud Applicator - Outside 90°, Columbia Tools",Columbia UHMW Mud Applicator - Outside 90°,"Shop Columbia UHMW Mud Applicator - Outside 90°, catalog-normalized for professional drywall finishing workflows.",,"index,follow",Columbia UHMW Mud Applicator - Outside 90°,"Columbia Tools, drywall tools, OA90",Columbia Tools,OA90,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-UHMW-MUD-APPLICATOR,Applicator Type,Outside 90°,Outside 90°,,3,1,,,,,,official-brand-catalog-shopames-price-validated,,Columbia Tools,,,,
,variation,OA90-325,,Columbia UHMW Mud Applicator - Outside 90° 325,0,0,hidden,,<p>Columbia UHMW Mud Applicator - Outside 90° 325 is a catalog-normalized Columbia Tools product for professional drywall finishing workflows.</p><p><strong>Family:</strong> Columbia UHMW Mud Applicator</p><p><strong>Configuration:</strong> Outside 90° 325</p><p><strong>Official SKU / MPN:</strong> OA90-325</p><p><em>Source reference: 19</em></p>,,,taxable,,1,,,0,0,,,,,0,,,,,,,https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia_tools_fmh_01.webp,,,COL-UHMW-MUD-APPLICATOR,,,,,,4,Columbia Tools,Applicator Type,Outside 90° 325,1,0,,"OA90-325, Columbia UHMW Mud Applicator - Outside 90° 325, Columbia Tools",Columbia UHMW Mud Applicator - Outside 90° 325,"Shop Columbia UHMW Mud Applicator - Outside 90° 325, catalog-normalized for professional drywall finishing workflows.",,"noindex,follow",Columbia UHMW Mud Applicator - Outside 90° 325,"Columbia Tools, drywall tools, OA90-325",Columbia Tools,OA90-325,NewCondition,columbia-tools,Columbia Tools,drywall-finishing-tool,standard-catalog,,,0,COL-UHMW-MUD-APPLICATOR,Applicator Type,Outside 90° 325,Outside 90° 325,,4,1,,,,,,official-brand-catalog-validated,,Columbia Tools,,,,
