sku_code,kit_id,bundle_name,before_product_title,before_kit_title,before_full_title,after_kit_title,after_full_title,status,message
TTCFS,716872797,TapeTech Corner Finishing Set,TapeTech Corner Finishing Set,TapeTech Corner Finishing Set,TapeTech Corner Finishing Set TapeTech Corner Finishing Set,Standard,TapeTech Corner Finishing Set Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872797, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTCFS"", ""upc_code"": """", ""model_number"": """", ""price"": 1416.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:42.570Z"", ""updated_at"": ""2026-07-08T22:45:38.094Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Corner Finishing Set"", ""full_titl"
TTFINISH7/10,716872804,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes,Standard,TapeTech Drywall Finishing Set - 7 in. & 10 in. Boxes Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872804, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTFINISH7/10"", ""upc_code"": """", ""model_number"": """", ""price"": 2654.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:43.274Z"", ""updated_at"": ""2026-07-08T22:45:39.333Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Drywall Finishing Set - 7 "
TTFBC,716872819,TapeTech Flat Box Combo,TapeTech Flat Box Combo,TapeTech Flat Box Combo,TapeTech Flat Box Combo TapeTech Flat Box Combo,Standard,TapeTech Flat Box Combo Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872819, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTFBC"", ""upc_code"": """", ""model_number"": """", ""price"": 1480.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:44.587Z"", ""updated_at"": ""2026-07-08T22:45:43.644Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Flat Box Combo"", ""full_title"": ""T"
TTFULL2SET,716872821,TapeTech Full Set X2 Contractors Pack,TapeTech Full Set X2 Contractors Pack,TapeTech Full Set X2 Contractors Pack,TapeTech Full Set X2 Contractors Pack TapeTech Full Set X2 Contractors Pack,Standard,TapeTech Full Set X2 Contractors Pack Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872821, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTFULL2SET"", ""upc_code"": """", ""model_number"": """", ""price"": 8756.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:44.804Z"", ""updated_at"": ""2026-07-08T22:45:44.792Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Full Set X2 Contractors Pack"
TTPFB,716872829,TapeTech Paper Faced Bead Pro Set,TapeTech Paper Faced Bead Pro Set,TapeTech Paper Faced Bead Pro Set,TapeTech Paper Faced Bead Pro Set TapeTech Paper Faced Bead Pro Set,Standard,TapeTech Paper Faced Bead Pro Set Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872829, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTPFB"", ""upc_code"": """", ""model_number"": """", ""price"": 1949.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:45.932Z"", ""updated_at"": ""2026-07-08T22:45:46.082Z"", ""deleted_at"": null, ""weight_grams"": 3175.1, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Paper Faced Bead Pro Set"", ""fu"
TTPPS-EF,716872831,TapeTech Pro Performance Easy Finish Set,TapeTech Pro Performance Easy Finish Set,TapeTech Pro Performance Easy Finish Set,TapeTech Pro Performance Easy Finish Set TapeTech Pro Performance Easy Finish Set,Standard,TapeTech Pro Performance Easy Finish Set Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872831, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTPPS-EF"", ""upc_code"": """", ""model_number"": """", ""price"": 7295.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:46.165Z"", ""updated_at"": ""2026-07-08T22:45:47.258Z"", ""deleted_at"": null, ""weight_grams"": 3175.1, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Pro Performance Easy Finish"
TTPPS,716872835,TapeTech Pro Performance Set,TapeTech Pro Performance Set,TapeTech Pro Performance Set,TapeTech Pro Performance Set TapeTech Pro Performance Set,Standard,TapeTech Pro Performance Set Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872835, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTPPS"", ""upc_code"": """", ""model_number"": """", ""price"": 6625.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:46.381Z"", ""updated_at"": ""2026-07-08T22:45:48.560Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Pro Performance Set"", ""full_title"
TTPSS,716872840,TapeTech Professional Starter Set,TapeTech Professional Starter Set,TapeTech Professional Starter Set,TapeTech Professional Starter Set TapeTech Professional Starter Set,Standard,TapeTech Professional Starter Set Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872840, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTPSS"", ""upc_code"": """", ""model_number"": """", ""price"": 4559.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:46.609Z"", ""updated_at"": ""2026-07-08T22:45:49.690Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Professional Starter Set"", ""full_"
TTFFS,716872845,TapeTech Value Drywall Finishing Set,TapeTech Value Drywall Finishing Set,TapeTech Value Drywall Finishing Set,TapeTech Value Drywall Finishing Set TapeTech Value Drywall Finishing Set,Standard,TapeTech Value Drywall Finishing Set Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872845, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTFFS"", ""upc_code"": """", ""model_number"": """", ""price"": 2556.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:46.818Z"", ""updated_at"": ""2026-07-08T22:45:50.857Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Value Drywall Finishing Set"", ""fu"
TTFTFS,716872849,TapeTech Value Full Drywall Taping & Finishing Set,TapeTech Value Full Drywall Taping & Finishing Set,TapeTech Value Full Drywall Taping & Finishing Set,TapeTech Value Full Drywall Taping & Finishing Set TapeTech Value Full Drywall Taping & Finishing Set,Standard,TapeTech Value Full Drywall Taping & Finishing Set Standard,updated,"{""requires_review"": false, ""allocated_stock_level_at_all_warehouses"": 0, ""id"": 716872849, ""type"": ""Kit"", ""title"": ""Standard"", ""sku_code"": ""TTFTFS"", ""upc_code"": """", ""model_number"": """", ""price"": 4260.0, ""cost_price"": 0.0, ""min_reorder_level"": 0, ""quantity_to_reorder"": 0, ""created_by_id"": 612048, ""created_at"": ""2026-07-08T14:38:47.037Z"", ""updated_at"": ""2026-07-08T22:45:52.151Z"", ""deleted_at"": null, ""weight_grams"": 0.0, ""weight_unit"": ""oz"", ""product_title"": ""TapeTech Value Full Drywall Taping & Fini"
