category_name,subcategory_or_tool,tool_title,tool_url,gallery_index,source_url,saved_path,file_size,sha256,content_type,assigned_sku,assigned_name,assignment_reason,normalized_path
Finishing Boxes,Inside Track Conversion Kits,Inside Track Conversion Kits,https://www.columbiatools.com/columbia-tools/finishing-boxes/inside-track-boxes/,3,https://www.columbiatools.com/wp-content/uploads/2022/03/Insidetrackboxsmall.jpg,finishing-boxes/inside-track-boxes/inside-track-boxes_03.jpg,279245,44cb4c9c5f2c65448e49c4802577af035ca2ef3a7694698341d79008be993770,image/jpeg,ITC-K,Columbia Inside Track Conversion Kits (ITC-K),single_candidate,finishing-boxes/inside-track-boxes/columbia-inside-track-conversion-kits-ITC-K-03.webp
Finishing Boxes,Inside Track Conversion Kits,Inside Track Conversion Kits,https://www.columbiatools.com/columbia-tools/finishing-boxes/inside-track-boxes/,4,https://www.columbiatools.com/wp-content/uploads/2022/03/5yearwarrantysmall-1.jpg,finishing-boxes/inside-track-boxes/inside-track-boxes_04.jpg,111453,c373c43876b14e9fa761e291605f7a2c6db4f10bb9ef31a817d62c0118f6de91,image/jpeg,ITC-K,Columbia Inside Track Conversion Kits (ITC-K),single_candidate,finishing-boxes/inside-track-boxes/columbia-inside-track-conversion-kits-ITC-K-04.webp
Finishing Boxes,Inside Track Conversion Kits,Inside Track Conversion Kits,https://www.columbiatools.com/columbia-tools/finishing-boxes/inside-track-boxes/,5,https://www.columbiatools.com/wp-content/uploads/2022/03/INSIDE.png,finishing-boxes/inside-track-boxes/inside-track-boxes_05.png,1182360,c111a8076190f1c77697754428d8c908bfa342c9b71ad146743c2f8d3655c8e3,image/png,ITC-K,Columbia Inside Track Conversion Kits (ITC-K),single_candidate,finishing-boxes/inside-track-boxes/columbia-inside-track-conversion-kits-ITC-K-05.webp
Corner Rollers,Corner Cobra,Corner Cobra,https://www.columbiatools.com/columbia-tools/corner-rollers/corner-cobra/,1,https://www.columbiatools.com/wp-content/uploads/2022/03/NEWCORNERCOBRA-scaled.png,corner-rollers/corner-cobra/corner-cobra_01.png,1201931,041c09dbcb92155f084c689a777bdb1dc47ffe723293287920937a48cde29eba,image/png,CC,Columbia Corner Cobra (CC),single_candidate,corner-rollers/corner-cobra/columbia-corner-cobra-CC-01.webp
Corner Rollers,Corner Cobra,Corner Cobra,https://www.columbiatools.com/columbia-tools/corner-rollers/corner-cobra/,2,https://www.columbiatools.com/wp-content/uploads/2022/03/5yearwarrantysmall-1.jpg,corner-rollers/corner-cobra/corner-cobra_02.jpg,111453,c373c43876b14e9fa761e291605f7a2c6db4f10bb9ef31a817d62c0118f6de91,image/jpeg,CC,Columbia Corner Cobra (CC),single_candidate,corner-rollers/corner-cobra/columbia-corner-cobra-CC-02.webp
Corner Rollers,Inside Corner Roller,Inside Corner Roller,https://www.columbiatools.com/columbia-tools/corner-rollers/inside-corner-roller/,1,https://www.columbiatools.com/wp-content/uploads/2022/03/cornerroller.jpg,corner-rollers/inside-corner-roller/inside-corner-roller_01.jpg,168238,f12ebf77f6aa97ab3ecb02702ded48d0cb32367581274ecef6e839ca834cd2ed,image/jpeg,CR,Columbia Inside Corner Roller (CR),single_candidate,corner-rollers/inside-corner-roller/columbia-inside-corner-roller-CR-01.webp
Corner Rollers,Inside Corner Roller,Inside Corner Roller,https://www.columbiatools.com/columbia-tools/corner-rollers/inside-corner-roller/,2,https://www.columbiatools.com/wp-content/uploads/2022/03/5yearwarrantysmall-1.jpg,corner-rollers/inside-corner-roller/inside-corner-roller_02.jpg,111453,c373c43876b14e9fa761e291605f7a2c6db4f10bb9ef31a817d62c0118f6de91,image/jpeg,CR,Columbia Inside Corner Roller (CR),single_candidate,corner-rollers/inside-corner-roller/columbia-inside-corner-roller-CR-02.webp
Corner Rollers,Standard Outside Corner Roller,Standard Outside Corner Roller,https://www.columbiatools.com/columbia-tools/corner-rollers/outside-corner-rollers/,1,https://www.columbiatools.com/wp-content/uploads/2022/03/COBCR.jpg,corner-rollers/outside-corner-rollers/outside-corner-rollers_01.jpg,107658,cb2e0de9bd122cda1d0e563d7d635c1b8a0c01d4ba298fdfe8a2b35693da65a5,image/jpeg,COBCR,Columbia Standard Outside Corner Roller (COBCR),single_candidate,corner-rollers/outside-corner-rollers/columbia-standard-outside-corner-roller-COBCR-01.webp
Corner Rollers,Standard Outside Corner Roller,Standard Outside Corner Roller,https://www.columbiatools.com/columbia-tools/corner-rollers/outside-corner-rollers/,2,https://www.columbiatools.com/wp-content/uploads/2022/03/5yearwarrantysmall-1.jpg,corner-rollers/outside-corner-rollers/outside-corner-rollers_02.jpg,111453,c373c43876b14e9fa761e291605f7a2c6db4f10bb9ef31a817d62c0118f6de91,image/jpeg,COBCR,Columbia Standard Outside Corner Roller (COBCR),single_candidate,corner-rollers/outside-corner-rollers/columbia-standard-outside-corner-roller-COBCR-02.webp
Corner Rollers,Bullnose Outside Corner Roller,Bullnose Outside Corner Roller,https://www.columbiatools.com/columbia-tools/corner-rollers/bullnose-outside-corner-roller/,1,https://www.columbiatools.com/wp-content/uploads/2022/03/CBNCR.jpg,corner-rollers/bullnose-outside-corner-roller/bullnose-outside-corner-roller_01.jpg,130730,5c193531f5c236c65c382668c7aed3a23051e79fae6ad12dc070351e5495cdb5,image/jpeg,CBNCR,Columbia Bullnose Outside Corner Roller (CBNCR),single_candidate,corner-rollers/bullnose-outside-corner-roller/columbia-bullnose-outside-corner-roller-CBNCR-01.webp
