schematic_id,brand,old_model_number,new_model_number,old_model_name,new_model_name,name_from_catalog
columbia-flat-box-hinged-schematic-2022,Columbia Tools,FLAT-BOX-HINGED-SCHEMATIC-2022,FLAT-BOX-HINGED-SCHEMATIC,FLAT BOX HINGED SCHEMATIC 2022,FLAT BOX HINGED SCHEMATIC 2022,no
columbia-gooseneck-1-1,Columbia Tools,Gooseneck-1-1,GOOSENECK-1-1,Gooseneck 1 1,Gooseneck 1 1,no
columbia-ica1-2-2015,Columbia Tools,ICA1-2-2015,ICA1-2,ICA1 2 2015,ICA1 2 2015,no
columbia-ica1-4-2015,Columbia Tools,ICA1-4-2015,ICA1-4,ICA1 4 2015,ICA1 4 2015,no
columbia-mud-pump-schematic-2022,Columbia Tools,MUD-PUMP-SCHEMATIC-2022,MUD-PUMP-SCHEMATIC,MUD PUMP SCHEMATIC 2022,MUD PUMP SCHEMATIC 2022,no
columbia-nail-spotter-schematic-2022,Columbia Tools,NAIL-SPOTTER-SCHEMATIC-2022,NAIL-SPOTTER-SCHEMATIC,NAIL SPOTTER SCHEMATIC 2022,NAIL SPOTTER SCHEMATIC 2022,no
columbia-outsidecornerrollers-2016-1,Columbia Tools,OutsideCornerRollers-2016-1,OUTSIDECORNERROLLERS-2016-1,OutsideCornerRollers 2016 1,OutsideCornerRollers 2016 1,no
columbia-sander-head-schematic,Columbia Tools,SANDER-HEAD-SCHEMATIC,SANDER-HEAD,SANDER HEAD,SANDER HEAD,no
columbia-semi-automatic-taper-schematic-2022,Columbia Tools,SEMI-AUTOMATIC-TAPER-SCHEMATIC-2022,SEMI-AUTOMATIC-TAPER-SCHEMATIC,SEMI AUTOMATIC TAPER SCHEMATIC 2022,SEMI AUTOMATIC TAPER SCHEMATIC 2022,no
columbia-tall-boy-mud-pump-schematic-2022,Columbia Tools,TALL-BOY-MUD-PUMP-SCHEMATIC-2022,TALL-BOY-MUD-PUMP-SCHEMATIC,TALL BOY MUD PUMP SCHEMATIC 2022,TALL BOY MUD PUMP SCHEMATIC 2022,no
columbia-tomahawk-schematic-2022,Columbia Tools,TOMAHAWK-SCHEMATIC-2022,TOMAHAWK-SCHEMATIC,TOMAHAWK SCHEMATIC 2022,TOMAHAWK SCHEMATIC 2022,no
platinum-platinum-corner-roller-handle-page-001,Platinum Drywall Tools,PLATINUM-CORNER-ROLLER-HANDLE-PAGE-001,PLATINUM-CORNER-ROLLER-HANDLE,PLATINUM CORNER ROLLER HANDLE PAGE 001,PLATINUM CORNER ROLLER HANDLE PAGE 001,no
platinum-flat-box,Platinum Drywall Tools,PLATINUM-FLAT-BOX-SCH,PLATINUM-FLAT-BOX,Flat Box,Flat Box,no
platinum-outside-corner-roller,Platinum Drywall Tools,PLATINUM-OUTSIDE-CORNERROLLER-SCH,PLATINUM-OUTSIDE-CORNERROLLER,Outside Corner Roller,Outside Corner Roller,no
platinum-compound-pump,Platinum Drywall Tools,PT-COMPOUND-PUMP-SCH,PT-COMPOUND-PUMP,Compound Pump,Compound Pump,no
tapetech-07tt-sch-v11,TapeTech,07TT-SCH-V11,07TT,07TT SCH V11,TapeTech EasyClean® Automatic Taper - Standard,yes
tapetech-17tt-sch,TapeTech,17TT-SCH,17TT,17TT SCH,TapeTech Corner Roller - Outside Corner,yes
tapetech-20ttx-sch,TapeTech,20TTX-SCH,20TTX,20TTX SCH,20TTX SCH,no
tapetech-25ttx-sch,TapeTech,25TTX-SCH,25TTX,25TTX SCH,25TTX SCH,no
tapetech-30ttx-sch,TapeTech,30TTX-SCH,30TTX,30TTX SCH,30TTX SCH,no
tapetech-35tt-sch,TapeTech,35TT-SCH,35TT,35TT SCH,35TT SCH,no
tapetech-40tt-sch,TapeTech,40TT-SCH,40TT,40TT SCH,40TT SCH,no
tapetech-42tt-sch,TapeTech,42TT-SCH,42TT,42TT SCH,"TapeTech Corner Finisher - 2.5""",yes
tapetech-45tt-sch,TapeTech,45TT-SCH,45TT,45TT SCH,45TT SCH,no
tapetech-48tt-sch,TapeTech,48TT-SCH,48TT,48TT SCH,"TapeTech Corner Finisher - 3"" EasyRoll® Adjustable",yes
tapetech-50tt-sch,TapeTech,50TT-SCH,50TT,50TT SCH,50TT SCH,no
tapetech-63tt-sch,TapeTech,63TT-SCH,63TT,63TT SCH,63TT SCH,no
tapetech-68tt-sch,TapeTech,68TT-SCH,68TT,68TT SCH,68TT SCH,no
tapetech-8054tt-sch,TapeTech,8054TT-SCH,8054TT,8054TT SCH,"TapeTech Flat Box Handle - 54""",yes
