schematic_id,status,source_image,target_image
platinum-50-corner-roller-handle-sch,ok,Platinum/Schematics/CornerRollerHandle/platinum-50-corner-roller-handle-sch-schematic-page-001.png,platinum-50-corner-roller-handle-sch-schematic-page-01.webp
platinum-flat-finishing-box-sch,ok,Platinum/Schematics/FlatBox/platinum-flat-finishing-box-sch-schematic-page-001.webp,platinum-flat-finishing-box-sch-schematic-page-01.webp
platinum-outside-90-degree-corner-roller-sch,ok,Platinum/Schematics/OutsideCornerRoller/platinum-outside-90-degree-corner-roller-sch-schematic-page-001.webp,platinum-outside-90-degree-corner-roller-sch-schematic-page-01.webp
platinum-drywall-pump-w-filler-sch,ok,Platinum/Schematics/CompoundPump/platinum-drywall-pump-w-filler-sch-schematic-page-001.webp,platinum-drywall-pump-w-filler-sch-schematic-page-01.webp
