parent_sku,added_image_count,before_count,after_count
COL-HOT-MUD-PUMP,0,3,2
COL-UHMW-MUD-APPLICATOR,0,3,2
TT-BASIC-FULL-SET,13,2,15
TT-BASIC-JUMBO-SET,14,2,16
TT-STANDARD-FULL-SET,13,4,17
