schematic_id,source_json,old_name,new_name,score
tapetech-tapetech-lock-block-for-07tt-050212f-sch,TapeTech/Schematics/07TT/schematic_data.json,schematic_page_2.png,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-002.png,6
tapetech-tapetech-lock-block-for-07tt-050212f-sch,TapeTech/Schematics/07TT/schematic_data.json,schematic_page_3.png,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-003.png,6
tapetech-tapetech-lock-block-for-07tt-050212f-sch,TapeTech/Schematics/07TT/schematic_data.json,schematic_page_4.png,tapetech-tapetech-lock-block-for-07tt-050212f-sch-schematic-page-004.png,6
tapetech-90-inside-corner-edger-tapetech-20ttx-sch,TapeTech/Schematics/20TTX/schematic_data.json,schematic_page_1.png,tapetech-90-inside-corner-edger-tapetech-20ttx-sch-schematic-page-001.png,6
tapetech-90-inside-corner-edger-tapetech-25ttx-sch,TapeTech/Schematics/25TTX/schematic_data.json,schematic_page_1-.png,tapetech-90-inside-corner-edger-tapetech-25ttx-sch-schematic-page-001.png,6
tapetech-90-inside-corner-edger-tapetech-30ttx-sch,TapeTech/Schematics/30TTX/schematic_data.json,schematic_page_1.png,tapetech-90-inside-corner-edger-tapetech-30ttx-sch-schematic-page-001.png,6
tapetech-corner-applicator-sch,TapeTech/Schematics/35TT/schematic_data.json,schematic_page_1.png,tapetech-corner-applicator-sch-schematic-page-001.png,6
tapetech-90-inside-corner-edger-tapetech-40tt-sch,TapeTech/Schematics/40TT/schematic_data.json,schematic_page_1.png,tapetech-90-inside-corner-edger-tapetech-40tt-sch-schematic-page-001.png,6
tapetech-90-inside-corner-edger-tapetech-42tt-sch,TapeTech/Schematics/42TT/schematic_data.json,schematic_page_1.png,tapetech-90-inside-corner-edger-tapetech-42tt-sch-schematic-page-001.png,6
tapetech-90-inside-corner-edger-tapetech-45tt-sch,TapeTech/Schematics/45TT/schematic_data.json,schematic_page_1.png,tapetech-90-inside-corner-edger-tapetech-45tt-sch-schematic-page-001.png,6
tapetech-90-inside-corner-edger-tapetech-48tt-sch,TapeTech/Schematics/48TT/schematic_data.json,schematic_page_1.png,tapetech-90-inside-corner-edger-tapetech-48tt-sch-schematic-page-001.png,6
tapetech-corner-applicator-sch-2,TapeTech/Schematics/50TT/schematic_data.json,schematic_page_1.png,tapetech-corner-applicator-sch-2-schematic-page-001.png,6
tapetech-easyclean-nail-spotter-sch,TapeTech/Schematics/63TT/schematic_data.json,schematic_page_1.png,tapetech-easyclean-nail-spotter-sch-schematic-page-001.png,6
tapetech-easyclean-nail-spotter-sch-2,TapeTech/Schematics/68TT/schematic_data.json,schematic_page_1.png,tapetech-easyclean-nail-spotter-sch-2-schematic-page-001.png,6
tapetech-flat-box-handle-sch,TapeTech/Schematics/8054TT/schematic_data.json,schematic_page_1-1.png,tapetech-flat-box-handle-sch-schematic-page-001.png,6
