schematic_id,source_png,target_webp
platinum-50-corner-roller-handle-sch,platinum_corner_roller_Handle-page-001.png,platinum-50-corner-roller-handle-sch-schematic-page-01.webp
platinum-flat-finishing-box-sch,Platinum_Flat_Box-page-001.png,platinum-flat-finishing-box-sch-schematic-page-01.webp
platinum-outside-90-degree-corner-roller-sch,platinum_outside_cornerroller-page-001.png,platinum-outside-90-degree-corner-roller-sch-schematic-page-01.webp
platinum-drywall-pump-w-filler-sch,PT-Compound-Pump-page-001.png,platinum-drywall-pump-w-filler-sch-schematic-page-01.webp
