sku,row_type,parent,name,missing_basenames
HH19,simple,,Cap,columbia_tools_hh19_01.webp
COL-ANGLE-HEAD,variable,,Columbia Angle Head,columbia_tools_tools_25ah_01.webp; columbia_tools_tools_25ah_02.webp; columbia_tools_tools_25ah_03.webp; columbia_tools_tools_25ah_04.webp; columbia_tools_tools_35ah_01.webp; columbia_tools_tools_35ah_02.webp; columbia_tools_tools_35ah_03.webp; columbia_tools_tools_35ah_04.webp
2.5AH,variation,COL-ANGLE-HEAD,"Columbia Angle Head - 2.5""",columbia_tools_tools_25ah_01.webp; columbia_tools_tools_25ah_02.webp; columbia_tools_tools_25ah_03.webp; columbia_tools_tools_25ah_04.webp
3.5AH,variation,COL-ANGLE-HEAD,"Columbia Angle Head - 3.5""",columbia_tools_tools_35ah_01.webp; columbia_tools_tools_35ah_02.webp; columbia_tools_tools_35ah_03.webp; columbia_tools_tools_35ah_04.webp
COL-BILLET-MUD-APPLICATOR,variable,,Columbia Billet Mud Applicator,columbia_tools_tools_ica21_01.webp; columbia_tools_tools_ica21_02.webp; columbia_tools_tools_ica41_01.webp; columbia_tools_tools_ica41_02.webp
ICA2-1,variation,COL-BILLET-MUD-APPLICATOR,"Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1""",columbia_tools_tools_ica21_01.webp; columbia_tools_tools_ica21_02.webp
ICA4-1,variation,COL-BILLET-MUD-APPLICATOR,"Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1""",columbia_tools_tools_ica41_01.webp; columbia_tools_tools_ica41_02.webp
COL-BOX-FILLER,variable,,Columbia Box Filler,columbia_tools_tools_tbbf_01.webp
TBBF,variation,COL-BOX-FILLER,Columbia Box Filler - Tall Boy,columbia_tools_tools_tbbf_01.webp
COL-COMBO-FLUSHER,variable,,Columbia Combo Flusher,columbia_tools_tools_2_5csf_01.webp; columbia_tools_tools_3_5csf_01.webp; columbia_tools_tools_3csf_01.webp
2.5CSF,variation,COL-COMBO-FLUSHER,"Columbia Combo Flusher - 2.5""",columbia_tools_tools_2_5csf_01.webp
3CSF,variation,COL-COMBO-FLUSHER,"Columbia Combo Flusher - 3""",columbia_tools_tools_3csf_01.webp
3.5CSF,variation,COL-COMBO-FLUSHER,"Columbia Combo Flusher - 3.5""",columbia_tools_tools_3_5csf_01.webp
COL-DIRECT-FLUSHER,variable,,Columbia Direct Flusher,columbia_tools_tools_2_5df_01.webp; columbia_tools_tools_3_5df_01.webp; columbia_tools_tools_3df_01.webp; columbia_tools_tools_4df_01.webp
2.5DF,variation,COL-DIRECT-FLUSHER,"Columbia Direct Flusher - 2.5""",columbia_tools_tools_2_5df_01.webp
3DF,variation,COL-DIRECT-FLUSHER,"Columbia Direct Flusher - 3""",columbia_tools_tools_3df_01.webp
3.5DF,variation,COL-DIRECT-FLUSHER,"Columbia Direct Flusher - 3.5""",columbia_tools_tools_3_5df_01.webp
4DF,variation,COL-DIRECT-FLUSHER,"Columbia Direct Flusher - 4""",columbia_tools_tools_4df_01.webp
COL-FAT-BOY-FLAT-BOX,variable,,Columbia Fat Boy Flat Box,columbia_tools_tools_12fbb_01.webp
12FBB,variation,COL-FAT-BOY-FLAT-BOX,"Columbia Fat Boy Flat Box - 12""",columbia_tools_tools_12fbb_01.webp
