section,schematic_id,brand,old_model_number,new_or_current_model_number,old_model_name,new_or_current_model_name,method
unmatched,columbia-anglehead-2014-3,Columbia Tools,ANGLEHEAD-2014-3,ANGLEHEAD-2014-3,AngleHead 2014 3,AngleHead 2014 3,
unmatched,columbia-auto-box-schematic-2022,Columbia Tools,AUTO-BOX-SCHEMATIC,AUTO-BOX-SCHEMATIC,AUTO BOX SCHEMATIC 2022,AUTO BOX SCHEMATIC 2022,
unmatched,columbia-box-filler,Columbia Tools,BOX-FILLER,BOX-FILLER,BOX FILLER,BOX FILLER,
unmatched,columbia-cam-lock-tube-2019,Columbia Tools,CAM-LOCK-TUBE,CAM-LOCK-TUBE,CAM LOCK TUBE 2019,CAM LOCK TUBE 2019,
unmatched,columbia-classic-combo-flusher-1,Columbia Tools,CLASSIC-COMBO-FLUSHER-1,CLASSIC-COMBO-FLUSHER-1,CLASSIC COMBO FLUSHER 1,CLASSIC COMBO FLUSHER 1,
unmatched,columbia-closetmonster-2015,Columbia Tools,CLOSETMONSTER,CLOSETMONSTER,ClosetMonster 2015,ClosetMonster 2015,
unmatched,columbia-columbia-one,Columbia Tools,COLUMBIA-ONE,COLUMBIA-ONE,COLUMBIA ONE,COLUMBIA ONE,
unmatched,columbia-compound-tube-schematic-2022,Columbia Tools,COMPOUND-TUBE-SCHEMATIC,COMPOUND-TUBE-SCHEMATIC,COMPOUND TUBE SCHEMATIC 2022,COMPOUND TUBE SCHEMATIC 2022,
unmatched,columbia-corner-box-schematic,Columbia Tools,CORNER-BOX,CORNER-BOX,CORNER BOX,CORNER BOX,
unmatched,columbia-corner-cobra,Columbia Tools,CORNER-COBRA,CORNER-COBRA,CORNER COBRA,CORNER COBRA,
unmatched,columbia-directstandardflusher-2015,Columbia Tools,DIRECTSTANDARDFLUSHER,DIRECTSTANDARDFLUSHER,DirectStandardFlusher 2015,DirectStandardFlusher 2015,
unmatched,columbia-extendable-handle,Columbia Tools,EXTENDABLE-HANDLE,EXTENDABLE-HANDLE,extendable handle,extendable handle,
unmatched,columbia-extension-housing-schematic-1,Columbia Tools,EXTENSION-HOUSING-SCHEMATIC-1,EXTENSION-HOUSING-SCHEMATIC-1,EXTENSION HOUSING SCHEMATIC 1,EXTENSION HOUSING SCHEMATIC 1,
