old_schematic_id,new_schematic_id,sku,slug,status
platinum-outside-90-degree-corner-roller-sch,platinum-outside-90-degree-corner-roller-sch,PTOCR,platinum-outside-90-degree-corner-roller,normalized_slug_migrated_exact
platinum-drywall-pump-w-filler-sch,platinum-drywall-pump-w-filler-sch,PTCP,platinum-drywall-pump-w-filler,normalized_slug_migrated_exact
tapetech-tapetech-lock-block-for-07tt-050212f-sch,tapetech-tapetech-lock-block-for-07tt-050212f-sch,050212F,tapetech-tapetech-lock-block-for-07tt-050212f,normalized_slug_migrated_exact
tapetech-90-inside-corner-edger-sch,tapetech-90-inside-corner-edger-tapetech-17tt-sch,TTSIDECORNEREDGER,tapetech-90-inside-corner-edger,normalized_slug_migrated_exact
tapetech-90-inside-corner-edger-tapetech-20ttx-sch,tapetech-90-inside-corner-edger-tapetech-20ttx-sch,TTSIDECORNEREDGER,tapetech-90-inside-corner-edger,normalized_slug_migrated_exact
tapetech-90-inside-corner-edger-tapetech-25ttx-sch,tapetech-90-inside-corner-edger-tapetech-25ttx-sch,TTSIDECORNEREDGER,tapetech-90-inside-corner-edger,normalized_slug_migrated_exact
tapetech-90-inside-corner-edger-tapetech-30ttx-sch,tapetech-90-inside-corner-edger-tapetech-30ttx-sch,TTSIDECORNEREDGER,tapetech-90-inside-corner-edger,normalized_slug_migrated_exact
tapetech-corner-applicator-tapetech-35tt-sch,tapetech-corner-applicator-tapetech-35tt-sch,TTCORNERAPPLICATOR,tapetech-corner-applicator,normalized_slug_migrated_exact
tapetech-90-inside-corner-edger-tapetech-40tt-sch,tapetech-90-inside-corner-edger-tapetech-40tt-sch,TTSIDECORNEREDGER,tapetech-90-inside-corner-edger,normalized_slug_migrated_exact
tapetech-90-inside-corner-edger-tapetech-42tt-sch,tapetech-90-inside-corner-edger-tapetech-42tt-sch,TTSIDECORNEREDGER,tapetech-90-inside-corner-edger,normalized_slug_migrated_exact
tapetech-90-inside-corner-edger-tapetech-45tt-sch,tapetech-90-inside-corner-edger-tapetech-45tt-sch,TTSIDECORNEREDGER,tapetech-90-inside-corner-edger,normalized_slug_migrated_exact
tapetech-90-inside-corner-edger-tapetech-48tt-sch,tapetech-90-inside-corner-edger-tapetech-48tt-sch,TTSIDECORNEREDGER,tapetech-90-inside-corner-edger,normalized_slug_migrated_exact
tapetech-corner-applicator-tapetech-50tt-sch,tapetech-corner-applicator-tapetech-50tt-sch,TTCORNERAPPLICATOR,tapetech-corner-applicator,normalized_slug_migrated_exact
tapetech-easyclean-nail-spotter-sch,tapetech-easyclean-nail-spotter-tapetech-63tt-sch,TTEASYCLEANNAILSPOTTER,tapetech-easyclean-nail-spotter,normalized_slug_migrated_exact
tapetech-easyclean-nail-spotter-tapetech-68tt-sch,tapetech-easyclean-nail-spotter-tapetech-68tt-sch,TTEASYCLEANNAILSPOTTER,tapetech-easyclean-nail-spotter,normalized_slug_migrated_exact
tapetech-flat-box-handle-sch,tapetech-flat-box-handle-sch,TTFLATBOXHANDLE,tapetech-flat-box-handle,normalized_slug_migrated_exact
