sku,row_type,parent,name,missing_basenames
HH19,simple,,Cap,columbia_tools_hh19_01.webp
DS-DURA-III,variable,,Dura-Stilts Dura-III Adjustable,dura_stilts_d_iii_01.webp; dura_stilts_d_iii_02.webp; dura_stilts_d_iii_03.webp
D14-22,variation,DS-DURA-III,Dura-Stilts Dura-III Adjustable 14”-22”,dura_stilts_d_iii_01.webp; dura_stilts_d_iii_02.webp; dura_stilts_d_iii_03.webp
D18-30,variation,DS-DURA-III,Dura-Stilts Dura-III Adjustable 18”-30”,dura_stilts_d_iii_01.webp; dura_stilts_d_iii_02.webp; dura_stilts_d_iii_03.webp
D24-40,variation,DS-DURA-III,Dura-Stilts Dura-III Adjustable 24”-40”,dura_stilts_d_iii_01.webp; dura_stilts_d_iii_02.webp; dura_stilts_d_iii_03.webp
D38-64,variation,DS-DURA-III,Dura-Stilts Dura-III Adjustable 38”-64”,dura_stilts_d_iii_01.webp; dura_stilts_d_iii_02.webp; dura_stilts_d_iii_03.webp
4-768,variation,LV5-FLAT-BOX-MEGA,LEVEL5 10” Flat Box (MEGA),level5_4_768_01.webp; level5_4_768_02.webp; level5_4_768_03.webp
4-765,variation,LV5-FLAT-BOX-STANDARD,LEVEL5 10” Flat Box (Standard),level5_4_765_01.webp
4-629,simple,,LEVEL5 10”/12” Mega Boxes w/ Ext. Handle Set,level5_4_629_01.webp; level5_4_768_01.webp; level5_4_769_01.webp; level5_4_771_01.webp; level5_4_780_01.webp
4-605,simple,,LEVEL5 10”/12” Standard Boxes w/ Ext. Handle Set,level5_4_605_01.webp; level5_4_765_01.webp; level5_4_766_01.webp; level5_4_771_01.webp; level5_4_780_01.webp
4-769,variation,LV5-FLAT-BOX-MEGA,LEVEL5 12” Flat Box (MEGA),level5_4_769_01.webp; level5_4_769_02.webp; level5_4_769_03.webp
4-766,variation,LV5-FLAT-BOX-STANDARD,LEVEL5 12” Flat Box (Standard),level5_4_766_01.webp
4-770,variation,LV5-FLAT-BOX-STANDARD,LEVEL5 14” Flat Box (Standard),level5_4_770_01.webp; level5_4_770_02.webp; level5_4_770_03.webp
4-732,variation,LV5-CORNER-FINISHER,LEVEL5 2.5” Corner Finisher,level5_4_732_01.webp; level5_4_732_02.webp; level5_4_732_03.webp
4-782,variation,LV5-FLAT-BOX-HANDLE-EXT,LEVEL5 23” - 32” Ext. Handle,level5_4_782_01.webp
4-754,variation,LV5-NAIL-SPOTTER,LEVEL5 2” Nail Spotter,level5_4_754_01.webp; level5_4_754_02.webp; level5_4_754_03.webp
4-734,variation,LV5-CORNER-FINISHER,LEVEL5 3.5” Corner Finisher,level5_4_734_01.webp; level5_4_734_02.webp; level5_4_734_03.webp
4-781,variation,LV5-FLAT-BOX-HANDLE-EXT,LEVEL5 30” - 42” Ext. Handle,level5_4_781_01.webp
4-792,simple,,"LEVEL5 31""- 50"" Corner Roller/Nail Spotter Handle",level5_4_792_01.webp
4-794,variation,LV5-CORNER-HANDLE-APPLICATOR-EXT,LEVEL5 31”- 50” Ext Handle (Corner Applicator),level5_4_794_01.webp
4-795,variation,LV5-CORNER-HANDLE-FINISHER-EXT,LEVEL5 31”- 50” Ext Handle (Corner Finisher),level5_4_795_01.webp
4-711,variation,LV5-FLAT-BOX-HANDLE-FIXED,LEVEL5 34” Fixed Length Handle,level5_4_711_01.webp
4-733,variation,LV5-CORNER-FINISHER,LEVEL5 3” Corner Finisher,level5_4_733_01.webp; level5_4_733_02.webp; level5_4_733_03.webp
4-755,variation,LV5-NAIL-SPOTTER,LEVEL5 3” Nail Spotter,level5_4_755_01.webp; level5_4_755_03.webp
4-780,variation,LV5-FLAT-BOX-HANDLE-EXT,LEVEL5 40” - 62” Ext. Handle,level5_4_780_01.webp
4-712,variation,LV5-FLAT-BOX-HANDLE-FIXED,LEVEL5 42” Fixed Length Handle,level5_4_712_01.webp
4-798,variation,LV5-CORNER-HANDLE-APPLICATOR-EXT,LEVEL5 43”- 72” Ext Handle (Corner Applicator),level5_4_798_01.webp
4-799,variation,LV5-CORNER-HANDLE-FINISHER-EXT,LEVEL5 43”- 72” Ext Handle (Corner Finisher),level5_4_799_01.webp
4-759,variation,LV5-FLAT-BOX-HANDLE-EXT,LEVEL5 48” - 78” Ext. Handle,level5_4_759_01.webp
4-735,variation,LV5-CORNER-FINISHER,LEVEL5 4” Corner Finisher,level5_4_735_01.webp; level5_4_735_02.webp; level5_4_735_03.webp
4-778,simple,,LEVEL5 50” Fixed Handle (Corner Applicator),level5_4_778_01.webp
4-779,simple,,LEVEL5 50” Fixed Handle (Corner Finisher),level5_4_779_01.webp
4-777,simple,,"LEVEL5 54"" Corner Roller Handle",level5_4_777_01.webp
4-740,variation,LV5-FLAT-BOX-HANDLE-FIXED,LEVEL5 54” Fixed Length Handle,level5_4_740_01.webp
4-701,variation,LV5-CORNER-APPLICATOR,LEVEL5 7” Corner Applicator,level5_4_701_01.webp; level5_4_701_02.webp; level5_4_701_03.webp
4-767,variation,LV5-FLAT-BOX-MEGA,LEVEL5 7” Flat Box (MEGA),level5_4_767_01.webp; level5_4_767_02.webp; level5_4_767_03.webp
4-764,variation,LV5-FLAT-BOX-STANDARD,LEVEL5 7” Flat Box (Standard),level5_4_764_01.webp; level5_4_764_02.webp; level5_4_764_03.webp
4-702,variation,LV5-CORNER-APPLICATOR,LEVEL5 8” Corner Applicator,level5_4_702_01.webp; level5_4_702_02.webp; level5_4_702_03.webp
4-760,simple,,LEVEL5 Automatic Taper,level5_4_760_01.webp; level5_4_760_02.webp; level5_4_760_03.webp; level5_4_760_04.webp; level5_4_760_05.webp; level5_4_760_06.webp; level5_4_760_07.webp; level5_4_760_08.webp; level5_4_760_09.webp
5-623,simple,,LEVEL5 Bonus Hand Tool Set,level5_5_623_01.webp
4-715,simple,,LEVEL5 Box Filler,level5_4_715_01.webp
4-771,simple,,LEVEL5 Compound Pump,level5_4_771_01.webp; level5_4_771_02.webp; level5_4_771_03.webp; level5_4_771_04.webp
LV5-CORNER-APPLICATOR,variable,,LEVEL5 Corner Applicator,level5_4_701_01.webp; level5_4_701_02.webp; level5_4_701_03.webp; level5_4_702_01.webp; level5_4_702_02.webp; level5_4_702_03.webp
LV5-CORNER-HANDLE-APPLICATOR-EXT,variable,,LEVEL5 Corner Applicator Handle (Extendable),level5_4_794_01.webp; level5_4_798_01.webp
LV5-CORNER-FINISHER,variable,,LEVEL5 Corner Finisher,level5_4_732_01.webp; level5_4_732_02.webp; level5_4_732_03.webp; level5_4_733_01.webp; level5_4_733_02.webp; level5_4_733_03.webp; level5_4_734_01.webp; level5_4_734_02.webp; level5_4_734_03.webp; level5_4_735_01.webp; level5_4_735_02.webp; level5_4_735_03.webp
LV5-CORNER-HANDLE-FINISHER-EXT,variable,,LEVEL5 Corner Finisher Handle (Extendable),level5_4_795_01.webp; level5_4_799_01.webp
4-707,simple,,LEVEL5 Corner Roller,level5_4_707_01.webp
4-687P,simple,,LEVEL5 Finishing Set w/ Ext. Handles & MiniShot,level5_4_687p_4_707_02.webp; level5_4_707_01.webp; level5_4_733_01.webp; level5_4_734_01.webp; level5_4_768_01.webp; level5_4_769_01.webp; level5_4_771_01.webp; level5_4_780_01.webp; level5_4_792_01.webp; level5_4_795_01.webp; level5_5_623_01.webp
LV5-FLAT-BOX-MEGA,variable,,LEVEL5 Flat Box (MEGA),level5_4_767_01.webp; level5_4_767_02.webp; level5_4_767_03.webp; level5_4_768_01.webp; level5_4_768_02.webp; level5_4_768_03.webp; level5_4_769_01.webp; level5_4_769_02.webp; level5_4_769_03.webp
LV5-FLAT-BOX-STANDARD,variable,,LEVEL5 Flat Box (Standard),level5_4_764_01.webp; level5_4_764_02.webp; level5_4_764_03.webp; level5_4_765_01.webp; level5_4_766_01.webp; level5_4_770_01.webp; level5_4_770_02.webp; level5_4_770_03.webp
LV5-FLAT-BOX-HANDLE-EXT,variable,,LEVEL5 Flat Box Handle (Extendable),level5_4_759_01.webp; level5_4_780_01.webp; level5_4_781_01.webp; level5_4_782_01.webp
LV5-FLAT-BOX-HANDLE-FIXED,variable,,LEVEL5 Flat Box Handle (Fixed Length),level5_4_711_01.webp; level5_4_712_01.webp; level5_4_740_01.webp
4-714,simple,,LEVEL5 Gooseneck,level5_4_714_01.webp; level5_4_714_02.webp
LV5-NAIL-SPOTTER,variable,,LEVEL5 Nail Spotter,level5_4_754_01.webp; level5_4_754_02.webp; level5_4_754_03.webp; level5_4_755_01.webp; level5_4_755_03.webp
4-862,simple,,LEVEL5 Outsider Wheel Kit,level5_4_862_01.webp
4-650,simple,,LEVEL5 Semi-Automatic Starter Set,level5_4_712_01.webp
4-600P,simple,,LEVEL5 The Entry to Automatic Finishing Set,level5_4_600p_4_707_02.webp; level5_4_701_01.webp; level5_4_707_01.webp; level5_4_712_01.webp; level5_4_714_01.webp; level5_4_733_01.webp; level5_4_760_01.webp; level5_4_765_01.webp; level5_4_766_01.webp; level5_4_771_01.webp; level5_4_778_01.webp; level5_4_779_01.webp; level5_5_623_01.webp
4-602,simple,,LEVEL5 The Entry to Automatic Finishing Set,level5_4_602_01.webp; level5_4_701_01.webp; level5_4_707_01.webp; level5_4_712_01.webp; level5_4_733_01.webp; level5_4_765_01.webp; level5_4_766_01.webp; level5_4_771_01.webp; level5_4_777_01.webp; level5_4_778_01.webp; level5_4_779_01.webp
4-661P,simple,,LEVEL5 The Full Taping Set w/ Ext. Handles & MiniShot,level5_4_661p_4_707_02.webp; level5_4_707_01.webp; level5_4_714_01.webp; level5_4_733_01.webp; level5_4_760_01.webp; level5_4_765_01.webp; level5_4_766_01.webp; level5_4_771_01.webp; level5_4_780_01.webp; level5_4_792_01.webp; level5_4_795_01.webp; level5_5_623_01.webp
4-630,simple,,LEVEL5 The Starter Taping Set,level5_4_630_4_707_02.webp; level5_4_707_01.webp; level5_4_714_01.webp; level5_4_760_01.webp; level5_4_771_01.webp; level5_4_777_01.webp
4-677P,simple,,LEVEL5 The Ultimate Taping & Finishing Set,level5_4_677p_4_707_02.webp; level5_4_707_01.webp; level5_4_712_01.webp; level5_4_714_01.webp; level5_4_733_01.webp; level5_4_734_01.webp; level5_4_755_01.webp; level5_4_760_01.webp; level5_4_764_01.webp; level5_4_765_01.webp; level5_4_766_01.webp; level5_4_771_01.webp; level5_4_792_01.webp; level5_4_795_01.webp; level5_4_862_01.webp; level5_5_623_01.webp
SP-S1-A,variable,,SurPro S1 Aluminum Stilts,surpro_s1_a_1624_01.webp; surpro_s1_a_2030_01.webp; surpro_s1_a_2640_01.webp
S1-A-1624,variation,SP-S1-A,SurPro S1 Aluminum Stilts - 16”-24”,surpro_s1_a_1624_01.webp
S1-A-2030,variation,SP-S1-A,SurPro S1 Aluminum Stilts - 20”-30”,surpro_s1_a_2030_01.webp
S1-A-2640,variation,SP-S1-A,SurPro S1 Aluminum Stilts - 26”-40”,surpro_s1_a_2640_01.webp
SP-S1-M,variable,,SurPro S1 Magnesium Stilts,surpro_s1_m_1624_01.webp; surpro_s1_m_2030_01.webp; surpro_s1_m_2640_01.webp
S1-M-1624,variation,SP-S1-M,SurPro S1 Magnesium Stilts - 16”-24”,surpro_s1_m_1624_01.webp
S1-M-2030,variation,SP-S1-M,SurPro S1 Magnesium Stilts - 20”-30”,surpro_s1_m_2030_01.webp
S1-M-2640,variation,SP-S1-M,SurPro S1 Magnesium Stilts - 26”-40”,surpro_s1_m_2640_01.webp
SP-S1X-A,variable,,SurPro S1X Aluminum Stilts,surpro_s1x_a_2131_01.webp; surpro_s1x_a_2640_01.webp
S1X-A-2131,variation,SP-S1X-A,SurPro S1X Aluminum Stilts - 21”-31”,surpro_s1x_a_2131_01.webp
S1X-A-2640,variation,SP-S1X-A,SurPro S1X Aluminum Stilts - 26”-40”,surpro_s1x_a_2640_01.webp
SP-S1X-M,variable,,SurPro S1X Magnesium Stilts,surpro_s1x_m_2131_01.webp; surpro_s1x_m_2640_01.webp
S1X-M-2131,variation,SP-S1X-M,SurPro S1X Magnesium Stilts - 21”-31”,surpro_s1x_m_2131_01.webp
S1X-M-2640,variation,SP-S1X-M,SurPro S1X Magnesium Stilts - 26”-40”,surpro_s1x_m_2640_01.webp
SP-S2-A,variable,,SurPro S2 Aluminum Stilts,surpro_s2_a_1624_01.webp; surpro_s2_a_2030_01.webp; surpro_s2_a_2640_01.webp
S2-A-1624,variation,SP-S2-A,SurPro S2 Aluminum Stilts - 16”-24”,surpro_s2_a_1624_01.webp
S2-A-2030,variation,SP-S2-A,SurPro S2 Aluminum Stilts - 20”-30”,surpro_s2_a_2030_01.webp
S2-A-2640,variation,SP-S2-A,SurPro S2 Aluminum Stilts - 26”-40”,surpro_s2_a_2640_01.webp
SP-S2-M,variable,,SurPro S2 Magnesium Stilts,surpro_s2_m_1624_01.webp; surpro_s2_m_2030_01.webp; surpro_s2_m_2640_01.webp
S2-M-1624,variation,SP-S2-M,SurPro S2 Magnesium Stilts - 16”-24”,surpro_s2_m_1624_01.webp
S2-M-2030,variation,SP-S2-M,SurPro S2 Magnesium Stilts - 20”-30”,surpro_s2_m_2030_01.webp
S2-M-2640,variation,SP-S2-M,SurPro S2 Magnesium Stilts - 26”-40”,surpro_s2_m_2640_01.webp
SP-S2X-A,variable,,SurPro S2X Aluminum Stilts,surpro_s2x_a_2131_01.webp; surpro_s2x_a_2640_01.webp
S2X-A-2131,variation,SP-S2X-A,SurPro S2X Aluminum Stilts - 21”-31”,surpro_s2x_a_2131_01.webp
S2X-A-2640,variation,SP-S2X-A,SurPro S2X Aluminum Stilts - 26”-40”,surpro_s2x_a_2640_01.webp
SP-S2X-M,variable,,SurPro S2X Magnesium Stilts,surpro_s2x_m_2131_01.webp; surpro_s2x_m_2640_01.webp
S2X-M-2131,variation,SP-S2X-M,SurPro S2X Magnesium Stilts - 21”-31”,surpro_s2x_m_2131_01.webp
S2X-M-2640,variation,SP-S2X-M,SurPro S2X Magnesium Stilts - 26”-40”,surpro_s2x_m_2640_01.webp
TT-BASIC-JUMBO-SET,variable,,TapeTech Basic Jumbo Set,tapetech_8034tt_01.webp
TTJUMBO10/12,variation,TT-BASIC-JUMBO-SET,TapeTech Basic Jumbo Set - 10 in. & 12 in. Boxes,tapetech_8034tt_01.webp
TTJUMBO7/10,variation,TT-BASIC-JUMBO-SET,TapeTech Basic Jumbo Set - 7 in. & 10 in. Boxes,tapetech_8034tt_01.webp
TT-FLAT-BOX-HANDLE,variable,,TapeTech Flat Box Handle,tapetech_8034tt_01.webp
8034TT,variation,TT-FLAT-BOX-HANDLE,"TapeTech Flat Box Handle - 34""",tapetech_8034tt_01.webp
