source_json,schematic_id,old_name,new_name

UNMATCHED_SOURCE_JSON,schematic_id,reason
Asgard/Schematics/Adapters/FA01-AD/schematic_data.json,asgard-angle-head-2-5-ah25-ad-adapters-fa01-ad-sch,no_candidate_file_match
Asgard/Schematics/AngleHeads/AH25-AD/schematic_data.json,asgard-angle-head-2-5-ah25-ad-angleheads-ah25-ad-sch,no_candidate_file_match
Asgard/Schematics/AngleHeads/AH30-AD/schematic_data.json,asgard-angle-head-3-ah30-ad-sch,no_candidate_file_match
Asgard/Schematics/AngleHeads/AH35-AD/schematic_data.json,asgard-angle-head-3-5-ah35-ad-sch,no_candidate_file_match
Asgard/Schematics/AngleHeads/CA08-AD/schematic_data.json,asgard-ca08-ad-applicator-box-head-sch,no_candidate_file_match
Asgard/Schematics/AngleHeads/CFA-AD/schematic_data.json,asgard-angle-head-adapter-cfa-ad-sch,no_candidate_file_match
Asgard/Schematics/FinishingBoxes/EHC07-AD/schematic_data.json,asgard-maxxbox-finishing-box-7-ehc07-ad-sch,no_candidate_file_match
Asgard/Schematics/FinishingBoxes/EHC10-AD/schematic_data.json,asgard-10-inch-maxxbox-finishing-box-ehc10-ad-sch,no_candidate_file_match
Asgard/Schematics/FinishingBoxes/EHC12-AD/schematic_data.json,asgard-maxxbox-finishing-box-12-ehc12-ad-sch,no_candidate_file_match
Asgard/Schematics/FinishingBoxes/EZ07-AD/schematic_data.json,asgard-finishing-box-7-ez07-ad-sch,no_candidate_file_match
Asgard/Schematics/FinishingBoxes/EZ10-AD/schematic_data.json,asgard-finishing-box-10-ez10-ad-sch,no_candidate_file_match
Asgard/Schematics/FinishingBoxes/EZ12-AD/schematic_data.json,asgard-finishing-box-12-ez12-ad-sch,no_candidate_file_match
Asgard/Schematics/FinishingBoxes/PA07-AD/schematic_data.json,asgard-power-assist-maxxbox-7-pa07-ad-sch,no_candidate_file_match
Asgard/Schematics/FinishingBoxes/PA10-AD/schematic_data.json,asgard-power-assist-maxxbox-10-pa10-ad-sch,no_candidate_file_match
Asgard/Schematics/FinishingBoxes/PA12-AD/schematic_data.json,asgard-power-assist-maxxbox-12-pa12-ad-sch,no_candidate_file_match
Asgard/Schematics/Handles/BBH-AD/schematic_data.json,asgard-brakeless-box-handle-34-bbh-ad-sch,no_candidate_file_match
Asgard/Schematics/Handles/BBHE-AD/schematic_data.json,asgard-brakeless-box-extendable-handle-38-60-bbhe-ad-sch,no_candidate_file_match
Asgard/Schematics/Handles/FBHE-AD/schematic_data.json,asgard-extendable-finishing-box-handle-41-63-fbhe-ad-sch,no_candidate_file_match
Asgard/Schematics/Handles/FH-AD/schematic_data.json,asgard-fh-ad-fiberglass-handle-43-sch,no_candidate_file_match
Asgard/Schematics/Handles/XH-AD/schematic_data.json,asgard-xh-ad-extension-support-handle-43-76-sch,no_candidate_file_match
Asgard/Schematics/Other/GN01-AD/schematic_data.json,asgard-mud-pumps-gn01-ad-sch,no_candidate_file_match
Asgard/Schematics/Pumps/LP01-AD/schematic_data.json,asgard-loading-pump-lp01-ad-sch,no_candidate_file_match
Asgard/Schematics/Rollers/CR01-AD/schematic_data.json,asgard-inside-corner-roller-cr01-ad-sch,no_candidate_file_match
Asgard/Schematics/Spotters/NS03-AD/schematic_data.json,asgard-nail-spotter-head-only-ns03-ad-sch,no_candidate_file_match
Asgard/Schematics/Tapers/AT01-AD/schematic_data.json,asgard-hammer-automatic-taper-at01-ad-sch,no_candidate_file_match
Columbia/Schematics/Angleheads/AngleHead/schematic_data.json,columbia-angle-head-sch,no_candidate_file_match
Columbia/Schematics/Applicators/ExternalCorner/schematic_data.json,columbia-billet-mud-applicator-external-90-cext90-sch,no_candidate_file_match
Columbia/Schematics/Applicators/InsideCornerApplicator/2Wheel/schematic_data.json,columbia-billet-mud-applicator-inside-corner-2-wheels-1-ica2-1-sch,no_candidate_file_match
Columbia/Schematics/Applicators/InsideCornerApplicator/4Wheel/schematic_data.json,columbia-billet-mud-applicator-inside-corner-4-wheels-1-ica4-1-sch,no_candidate_file_match
Columbia/Schematics/Applicators/TwoWayInternalCorner/schematic_data.json,columbia-billet-mud-applicator-two-way-internal-corner-4-wheels-icatw-sch,no_candidate_file_match
Columbia/Schematics/AutomaticTapers/PredatorTaper/Body/schematic_data.json,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-body-sch,no_candidate_file_match
Columbia/Schematics/AutomaticTapers/PredatorTaper/Head/schematic_data.json,columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch,no_candidate_file_match
Columbia/Schematics/CompoundTubes/CamLockTube/schematic_data.json,columbia-cam-lock-tube-sch,no_candidate_file_match
Columbia/Schematics/CompoundTubes/CompoundTube/schematic_data.json,columbia-compound-tube-sch,no_candidate_file_match
Columbia/Schematics/CornerBoxes/ThrottleBox/schematic_data.json,columbia-throttle-box-sch,no_candidate_file_match
Columbia/Schematics/CornerFlushers/ComboFlusher/schematic_data.json,columbia-combo-flusher-sch,no_candidate_file_match
Columbia/Schematics/CornerFlushers/DirectCornerFlusher/schematic_data.json,columbia-direct-flusher-sch,no_candidate_file_match
Columbia/Schematics/CornerFlushers/StandardCornerFlusher/schematic_data.json,columbia-standard-flusher-sch,no_candidate_file_match
Columbia/Schematics/CornerRollers/CornerCobra/schematic_data.json,columbia-corner-cobra-sch,no_candidate_file_match
Columbia/Schematics/CornerRollers/InsideCornerRoller/schematic_data.json,columbia-corner-roller-sch,no_candidate_file_match
Columbia/Schematics/CornerRollers/StandardOutsideCornerRoller/schematic_data.json,columbia-outside-corner-roller-sch,no_candidate_file_match
Columbia/Schematics/FinishingBoxes/AutomaticFlatBox/schematic_data.json,columbia-automatic-flat-finishing-box-sch,no_candidate_file_match
Columbia/Schematics/FinishingBoxes/FatBoyBox/schematic_data.json,columbia-fat-boy-finishing-box-sch,no_candidate_file_match
Columbia/Schematics/FinishingBoxes/FlatBox/schematic_data.json,columbia-flat-finishing-box-sch,no_candidate_file_match
Columbia/Schematics/Handles/ClosetMonster/schematic_data.json,columbia-closet-monster-handle-sch,no_candidate_file_match
Columbia/Schematics/Handles/ColumbiaOne/schematic_data.json,columbia-one-handle-sch,no_candidate_file_match
Columbia/Schematics/Handles/FlatBoxHandle/schematic_data.json,columbia-180-grip-flat-box-handle-sch,no_candidate_file_match
Columbia/Schematics/Handles/LongExtendableHandle/schematic_data.json,columbia-one-handle-4-8-long-extendible-chxl-sch,no_candidate_file_match
Columbia/Schematics/Handles/MatrixBoxHandle/BoxHandle/schematic_data.json,columbia-matrix-box-handle-matrixboxhandle-boxhandle-sch,no_candidate_file_match
Columbia/Schematics/Handles/MatrixBoxHandle/ExtensionHousing/schematic_data.json,columbia-matrix-box-handle-matrixboxhandle-extensionhousing-sch,no_candidate_file_match
Columbia/Schematics/Handles/MatrixBoxHandle/Head/schematic_data.json,columbia-matrix-box-handle-matrixboxhandle-head-sch,no_candidate_file_match
Columbia/Schematics/Handles/MatrixBoxHandle/Lever/schematic_data.json,columbia-matrix-box-handle-matrixboxhandle-lever-sch,no_candidate_file_match
Columbia/Schematics/Handles/MatrixBoxHandle/Pinchbox/schematic_data.json,columbia-matrix-box-handle-matrixboxhandle-pinchbox-sch,no_candidate_file_match
Columbia/Schematics/Nailspotters/Nailspotter/schematic_data.json,columbia-nail-spotter-sch,no_candidate_file_match
Columbia/Schematics/Pumps/BoxFiller/schematic_data.json,columbia-box-filler-sch,no_candidate_file_match
Columbia/Schematics/Pumps/GooseneckAdapter/schematic_data.json,columbia-gooseneck-sch,no_candidate_file_match
Columbia/Schematics/Pumps/MudPump/schematic_data.json,columbia-mud-pump-sch,no_candidate_file_match
Columbia/Schematics/Pumps/TallBoyMudPump/schematic_data.json,columbia-mud-pump-sch-2,no_candidate_file_match
Columbia/Schematics/Sanders/SanderHead/schematic_data.json,columbia-combo-flusher-3-3csf-sch,no_candidate_file_match
Columbia/Schematics/SemiAutomaticTapers/SemiAutomaticTaper/schematic_data.json,columbia-semi-automatic-taper-sat-sch,no_candidate_file_match
Columbia/Schematics/SmoothingBlades/TomahawkSmoothingBlades/schematic_data.json,columbia-tomahawk-smoothing-blade-sch,no_candidate_file_match
Platinum/Schematics/CompoundPump/schematic_data.json,platinum-drywall-pump-w-filler-sch,no_candidate_file_match
Platinum/Schematics/CornerRollerHandle/schematic_data.json,platinum-50-corner-roller-handle-sch,no_candidate_file_match
Platinum/Schematics/FlatBox/schematic_data.json,platinum-flat-finishing-box-sch,no_candidate_file_match
Platinum/Schematics/OutsideCornerRoller/schematic_data.json,platinum-outside-90-degree-corner-roller-sch,no_candidate_file_match
TapeTech/Schematics/07TT/schematic_data.json,tapetech-tapetech-lock-block-for-07tt-050212f-sch,no_candidate_file_match
TapeTech/Schematics/20TTX/schematic_data.json,tapetech-90-inside-corner-edger-tapetech-20ttx-sch,no_candidate_file_match
TapeTech/Schematics/25TTX/schematic_data.json,tapetech-90-inside-corner-edger-tapetech-25ttx-sch,no_candidate_file_match
TapeTech/Schematics/30TTX/schematic_data.json,tapetech-90-inside-corner-edger-tapetech-30ttx-sch,no_candidate_file_match
TapeTech/Schematics/35TT/schematic_data.json,tapetech-corner-applicator-sch,no_candidate_file_match
TapeTech/Schematics/40TT/schematic_data.json,tapetech-90-inside-corner-edger-tapetech-40tt-sch,no_candidate_file_match
TapeTech/Schematics/42TT/schematic_data.json,tapetech-90-inside-corner-edger-tapetech-42tt-sch,no_candidate_file_match
TapeTech/Schematics/45TT/schematic_data.json,tapetech-90-inside-corner-edger-tapetech-45tt-sch,no_candidate_file_match
TapeTech/Schematics/48TT/schematic_data.json,tapetech-90-inside-corner-edger-tapetech-48tt-sch,no_candidate_file_match
TapeTech/Schematics/50TT/schematic_data.json,tapetech-corner-applicator-sch-2,no_candidate_file_match
TapeTech/Schematics/63TT/schematic_data.json,tapetech-easyclean-nail-spotter-sch,no_candidate_file_match
TapeTech/Schematics/68TT/schematic_data.json,tapetech-easyclean-nail-spotter-sch-2,no_candidate_file_match
TapeTech/Schematics/8054TT/schematic_data.json,tapetech-flat-box-handle-sch,no_candidate_file_match
