status,schematic_id,brand,old_model_number,new_model_number,old_model_name,new_model_name,match_method,match_input,catalog_source,json_sku,json_product_name,json_title
unresolved,columbia-flat-box-hinged-schematic-2022,Columbia Tools,FLAT-BOX-HINGED-SCHEMATIC,FLAT-BOX-HINGED,FLAT BOX HINGED SCHEMATIC 2022,FLAT BOX HINGED SCHEMATIC 2022,,,,,,
unresolved,columbia-gooseneck-1-1,Columbia Tools,GOOSENECK-1-1,GOOSENECK-1-1,Gooseneck 1 1,Gooseneck 1 1,,,,,,
unresolved,columbia-ica1-2-2015,Columbia Tools,ICA1-2,ICA1-2,ICA1 2 2015,ICA1 2 2015,,,,,,
unresolved,columbia-ica1-4-2015,Columbia Tools,ICA1-4,ICA1-4,ICA1 4 2015,ICA1 4 2015,,,,,,
unresolved,columbia-insidecornerroller-2014-1-squared,Columbia Tools,INSIDECORNERROLLER-2014-1-SQUARED,INSIDECORNERROLLER-2014-1-SQUARED,INSIDECORNERROLLER 2014 1 SQUARED,INSIDECORNERROLLER 2014 1 SQUARED,,,,,,
unresolved,columbia-matrix-handle,Columbia Tools,MATRIX-HANDLE,MATRIX-HANDLE,MATRIX HANDLE,MATRIX HANDLE,,,,,,
unresolved,columbia-matrix-head,Columbia Tools,MATRIX-HEAD,MATRIX-HEAD,MATRIX HEAD,MATRIX HEAD,,,,,,
unresolved,columbia-matrix-lever-1,Columbia Tools,MATRIX-LEVER-1,MATRIX-LEVER-1,MATRIX LEVER 1,MATRIX LEVER 1,,,,,,
unresolved,columbia-matrix-pinchbox-1,Columbia Tools,MATRIX-PINCHBOX-1,MATRIX-PINCHBOX-1,MATRIX PINCHBOX 1,MATRIX PINCHBOX 1,,,,,,
unresolved,columbia-mud-pump-schematic-2022,Columbia Tools,MUD-PUMP-SCHEMATIC,MUD-PUMP,MUD PUMP SCHEMATIC 2022,MUD PUMP SCHEMATIC 2022,,,,,,
unresolved,columbia-nail-spotter-schematic-2022,Columbia Tools,NAIL-SPOTTER-SCHEMATIC,NAIL-SPOTTER,NAIL SPOTTER SCHEMATIC 2022,NAIL SPOTTER SCHEMATIC 2022,,,,,,
