Import complete! 27 products imported. 27 variations imported. Failed to import 281 products. View import log. File uploaded: product-dtb_woocommerce_official_catalog_optimized-hklsnwn5og.csv
Product	Reason for failure
Columbia Direct Flusher - 3" Widetrack, SKU 3WTDF	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-3wtdf-01.webp. Error: Not Found
Columbia Direct Flusher - 3.5", SKU 3.5DF	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-3-5df-01.webp. Error: Not Found
Columbia Direct Flusher - 4", SKU 4DF	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-4df-01.webp. Error: Not Found
Columbia Combo Flusher, SKU COL-COMBO-FLUSHER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-2-5csf-01.webp. Error: Not Found
Columbia Combo Flusher - 2.5", SKU 2.5CSF	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-2-5csf-01.webp. Error: Not Found
Columbia Combo Flusher - 3", SKU 3CSF	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-3csf-01.webp. Error: Not Found
Columbia Combo Flusher - 3" Widetrack, SKU 3WTCSF	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-3wtdf-01.webp. Error: Not Found
Columbia Combo Flusher - 3.5", SKU 3.5CSF	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-tools-3-5csf-01.webp. Error: Not Found
Columbia Nail Spotter, SKU COL-NAIL-SPOTTER	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-2ns-01.webp. Error: Not Found
Columbia Nail Spotter - 2", SKU 2NS	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-2ns-01.webp. Error: Not Found
Columbia Nail Spotter - 3", SKU 3NS	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-3ns-01.webp. Error: Not Found
Columbia 180° Grip Flat Box Handle, SKU COL-180-GRIP-FLAT-BOX-HANDLE	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-flat-box-handle-01.webp. Error: Not Found
Columbia 180° Grip Flat Box Handle - 3', SKU 3BH	Error getting remote image https://drywalltoolbox.com/wp/wp-content/uploads/2026/media/columbia-flat-box-handle-01.webp. Error: Not Found
