status,brand,schematic_id,model_number,model_name,catalog_sku,catalog_name,catalog_source
unmatched,Columbia Tools,columbia-corner-box-schematic,CORNER-BOX-SCHEMATIC,CORNER BOX,,,
unmatched,Columbia Tools,columbia-corner-cobra,CORNER-COBRA,CORNER COBRA,,,
unmatched,Columbia Tools,columbia-directstandardflusher-2015,DirectStandardFlusher-2015,DirectStandardFlusher 2015,,,
unmatched,Columbia Tools,columbia-extendable-handle,extendable-handle,extendable handle,,,
unmatched,Columbia Tools,columbia-extension-housing-schematic-1,EXTENSION-HOUSING-SCHEMATIC-1,EXTENSION HOUSING SCHEMATIC 1,,,
unmatched,Columbia Tools,columbia-fat-boy-box,FAT-BOY-BOX,FAT BOY BOX,,,
unmatched,Columbia Tools,columbia-flat-box-hinged-schematic-2022,FLAT-BOX-HINGED-SCHEMATIC-2022,FLAT BOX HINGED SCHEMATIC 2022,,,
unmatched,Columbia Tools,columbia-gooseneck-1-1,Gooseneck-1-1,Gooseneck 1 1,,,
unmatched,Columbia Tools,columbia-ica1-2-2015,ICA1-2-2015,ICA1 2 2015,,,
unmatched,Columbia Tools,columbia-ica1-4-2015,ICA1-4-2015,ICA1 4 2015,,,
unmatched,Columbia Tools,columbia-insidecornerroller-2014-1-squared,INSIDECORNERROLLER-2014-1-SQUARED,INSIDECORNERROLLER 2014 1 SQUARED,,,
unmatched,Columbia Tools,columbia-matrix-handle,MATRIX-HANDLE,MATRIX HANDLE,,,
unmatched,Columbia Tools,columbia-matrix-head,MATRIX-HEAD,MATRIX HEAD,,,
unmatched,Columbia Tools,columbia-matrix-lever-1,MATRIX-LEVER-1,MATRIX LEVER 1,,,
unmatched,Columbia Tools,columbia-matrix-pinchbox-1,MATRIX-PINCHBOX-1,MATRIX PINCHBOX 1,,,
unmatched,Columbia Tools,columbia-mud-pump-schematic-2022,MUD-PUMP-SCHEMATIC-2022,MUD PUMP SCHEMATIC 2022,,,
unmatched,Columbia Tools,columbia-nail-spotter-schematic-2022,NAIL-SPOTTER-SCHEMATIC-2022,NAIL SPOTTER SCHEMATIC 2022,,,
unmatched,Columbia Tools,columbia-outsidecornerrollers-2016-1,OutsideCornerRollers-2016-1,OutsideCornerRollers 2016 1,,,
unmatched,Columbia Tools,columbia-predator-taper-body,PREDATOR-TAPER-BODY,PREDATOR TAPER BODY,,,
unmatched,Columbia Tools,columbia-predator-taper-head,PREDATOR-TAPER-HEAD,PREDATOR TAPER HEAD,,,
unmatched,Columbia Tools,columbia-sander-head-schematic,SANDER-HEAD-SCHEMATIC,SANDER HEAD,,,
unmatched,Columbia Tools,columbia-semi-automatic-taper-schematic-2022,SEMI-AUTOMATIC-TAPER-SCHEMATIC-2022,SEMI AUTOMATIC TAPER SCHEMATIC 2022,,,
unmatched,Columbia Tools,columbia-tall-boy-mud-pump-schematic-2022,TALL-BOY-MUD-PUMP-SCHEMATIC-2022,TALL BOY MUD PUMP SCHEMATIC 2022,,,
unmatched,Columbia Tools,columbia-tomahawk-schematic-2022,TOMAHAWK-SCHEMATIC-2022,TOMAHAWK SCHEMATIC 2022,,,
unmatched,Platinum Drywall Tools,platinum-platinum-corner-roller-handle-page-001,PLATINUM-CORNER-ROLLER-HANDLE-PAGE-001,PLATINUM CORNER ROLLER HANDLE PAGE 001,,,
unmatched,Platinum Drywall Tools,platinum-flat-box,PLATINUM-FLAT-BOX-SCH,Flat Box,,,
unmatched,Platinum Drywall Tools,platinum-outside-corner-roller,PLATINUM-OUTSIDE-CORNERROLLER-SCH,Outside Corner Roller,,,
unmatched,Platinum Drywall Tools,platinum-compound-pump,PT-COMPOUND-PUMP-SCH,Compound Pump,,,
unmatched,TapeTech,tapetech-07tt-sch-v11,07TT-SCH-V11,07TT SCH V11,,,
unmatched,TapeTech,tapetech-17tt-sch,17TT-SCH,17TT SCH,,,
unmatched,TapeTech,tapetech-20ttx-sch,20TTX-SCH,20TTX SCH,,,
unmatched,TapeTech,tapetech-25ttx-sch,25TTX-SCH,25TTX SCH,,,
unmatched,TapeTech,tapetech-30ttx-sch,30TTX-SCH,30TTX SCH,,,
unmatched,TapeTech,tapetech-35tt-sch,35TT-SCH,35TT SCH,,,
unmatched,TapeTech,tapetech-40tt-sch,40TT-SCH,40TT SCH,,,
unmatched,TapeTech,tapetech-42tt-sch,42TT-SCH,42TT SCH,,,
unmatched,TapeTech,tapetech-45tt-sch,45TT-SCH,45TT SCH,,,
unmatched,TapeTech,tapetech-48tt-sch,48TT-SCH,48TT SCH,,,
unmatched,TapeTech,tapetech-50tt-sch,50TT-SCH,50TT SCH,,,
unmatched,TapeTech,tapetech-63tt-sch,63TT-SCH,63TT SCH,,,
unmatched,TapeTech,tapetech-68tt-sch,68TT-SCH,68TT SCH,,,
unmatched,TapeTech,tapetech-8054tt-sch,8054TT-SCH,8054TT SCH,,,
