"type","path","from","to"
"json","Columbia\Schematics\CornerRollers\InsideCornerRoller\schematic_data.json","columbia-insidecornerroller-2014-1-enhanced-squared","columbia-insidecornerroller-2014-1-squared"
"asset","Columbia\Schematics\CornerRollers\InsideCornerRoller\InsideCornerRoller-2014_1_-enhanced-squared.webp","InsideCornerRoller-2014_1_-enhanced-squared.webp","InsideCornerRoller-2014_1-squared.webp"
