"type","path","from","to"
"json","Columbia\Schematics\Handles\MatrixBoxHandle\Head\schematic_data.json","columbia-matrix-head-enhanced-enhanced","columbia-matrix-head"
"asset","Columbia\Schematics\Handles\MatrixBoxHandle\Head\Matrix_Head-enhanced-enhanced.webp","Matrix_Head-enhanced-enhanced.webp","Matrix_Head.webp"
"json","Columbia\Schematics\Handles\MatrixBoxHandle\Lever\schematic_data.json","columbia-matrix-lever-1-enhanced","columbia-matrix-lever-1"
"asset","Columbia\Schematics\Handles\MatrixBoxHandle\Lever\Matrix_Lever-1-enhanced.webp","Matrix_Lever-1-enhanced.webp","Matrix_Lever-1.webp"
"json","Columbia\Schematics\Handles\MatrixBoxHandle\Pinchbox\schematic_data.json","columbia-matrix-pinchbox-1-enhanced","columbia-matrix-pinchbox-1"
"asset","Columbia\Schematics\Handles\MatrixBoxHandle\Pinchbox\Matrix_Pinchbox-1-enhanced.webp","Matrix_Pinchbox-1-enhanced.webp","Matrix_Pinchbox-1.webp"
"json","Columbia\Schematics\Nailspotters\Nailspotter\schematic_data.json","columbia-nail-spotter-schematic-2022-enhanced","columbia-nail-spotter-schematic-2022"
"asset","Columbia\Schematics\Nailspotters\Nailspotter\NAIL-SPOTTER-SCHEMATIC-2022-enhanced.webp","NAIL-SPOTTER-SCHEMATIC-2022-enhanced.webp","NAIL-SPOTTER-SCHEMATIC-2022.webp"
"json","Columbia\Schematics\Pumps\GooseneckAdapter\schematic_data.json","columbia-gooseneck-1-1-enhanced","columbia-gooseneck-1-1"
"asset","Columbia\Schematics\Pumps\GooseneckAdapter\Gooseneck-1-1-enhanced.webp","Gooseneck-1-1-enhanced.webp","Gooseneck-1-1.webp"
"json","Columbia\Schematics\Pumps\MudPump\schematic_data.json","columbia-mud-pump-schematic-2022-enhanced","columbia-mud-pump-schematic-2022"
"asset","Columbia\Schematics\Pumps\MudPump\MUD-PUMP-SCHEMATIC-2022-enhanced.webp","MUD-PUMP-SCHEMATIC-2022-enhanced.webp","MUD-PUMP-SCHEMATIC-2022.webp"
"asset","Columbia\Schematics\Pumps\MudPump\MUD-PUMP-SUB-ASSEMBLIES-2022-enhanced.webp","MUD-PUMP-SUB-ASSEMBLIES-2022-enhanced.webp","MUD-PUMP-SUB-ASSEMBLIES-2022.webp"
"json","Columbia\Schematics\Pumps\TallBoyMudPump\schematic_data.json","columbia-tall-boy-mud-pump-schematic-2022-enhanced","columbia-tall-boy-mud-pump-schematic-2022"
"asset","Columbia\Schematics\Pumps\TallBoyMudPump\TALL-BOY-MUD-PUMP-SCHEMATIC-2022-enhanced.webp","TALL-BOY-MUD-PUMP-SCHEMATIC-2022-enhanced.webp","TALL-BOY-MUD-PUMP-SCHEMATIC-2022.webp"
"asset","Columbia\Schematics\Pumps\TallBoyMudPump\TALL-BOY-MUD-PUMP-SUB-ASSEMBLIES-2022-enhanced.webp","TALL-BOY-MUD-PUMP-SUB-ASSEMBLIES-2022-enhanced.webp","TALL-BOY-MUD-PUMP-SUB-ASSEMBLIES-2022.webp"
"json","Columbia\Schematics\Sanders\SanderHead\schematic_data.json","columbia-sander-head-schematic-enhanced","columbia-sander-head-schematic"
"asset","Columbia\Schematics\Sanders\SanderHead\SANDER-HEAD-SCHEMATIC-enhanced.webp","SANDER-HEAD-SCHEMATIC-enhanced.webp","SANDER-HEAD-SCHEMATIC.webp"
"json","Columbia\Schematics\SemiAutomaticTapers\SemiAutomaticTaper\schematic_data.json","columbia-semi-automatic-taper-schematic-2022-enhanced","columbia-semi-automatic-taper-schematic-2022"
"asset","Columbia\Schematics\SemiAutomaticTapers\SemiAutomaticTaper\SEMI-AUTOMATIC-TAPER-SCHEMATIC-2022-enhanced.webp","SEMI-AUTOMATIC-TAPER-SCHEMATIC-2022-enhanced.webp","SEMI-AUTOMATIC-TAPER-SCHEMATIC-2022.webp"
"json","Columbia\Schematics\SmoothingBlades\TomahawkSmoothingBlades\schematic_data.json","columbia-tomahawk-schematic-2022-enhanced","columbia-tomahawk-schematic-2022"
"asset","Columbia\Schematics\SmoothingBlades\TomahawkSmoothingBlades\TOMAHAWK-SCHEMATIC-2022-enhanced.webp","TOMAHAWK-SCHEMATIC-2022-enhanced.webp","TOMAHAWK-SCHEMATIC-2022.webp"
