line,schematic_id,brand,chosen_file,candidate_count
5,asgard-hammer-automatic-taper-at01-ad-sch,asgard,asgard-hammer-automatic-taper-at01-ad-sch-schematic-page-01.webp,12
7,asgard-brakeless-box-extendable-handle-38-60-bbhe-ad-sch,asgard,asgard-brakeless-box-extendable-handle-38-60-bbhe-ad-sch-schematic-page-01.webp,2
18,asgard-extendable-finishing-box-handle-41-63-fbhe-ad-sch,asgard,asgard-extendable-finishing-box-handle-41-63-fbhe-ad-sch-schematic-page-01.webp,2
