action,from,to,note
rename,frontend\public\brands\wp_schematics_unified\AUTO-BOX-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics_unified\AUTO-BOX-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\BBH-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\BBH-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\BBHE-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\BBHE-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\BBHE-AD-SCH-PAGE-002.webp,frontend\public\brands\wp_schematics_unified\BBHE-AD-SCHEMATIC-PAGE-002.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\BOX-FILLER.webp,frontend\public\brands\wp_schematics_unified\BOX-FILLER-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\CA08-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\CA08-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\CAM-LOCK-TUBE-2019.webp,frontend\public\brands\wp_schematics_unified\CAM-LOCK-TUBE-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\CFA-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\CFA-AD-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\CLASSIC-COMBO-FLUSHER-1.webp,frontend\public\brands\wp_schematics_unified\CLASSIC-COMBO-FLUSHER-1-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\ClosetMonster-2015.webp,frontend\public\brands\wp_schematics_unified\CLOSETMONSTER-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\COLUMBIA-ONE.webp,frontend\public\brands\wp_schematics_unified\COLUMBIA-ONE-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\COMPOUND-TUBE-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics_unified\COMPOUND-TUBE-SCHEMATIC.webp,canonicalize
keep,frontend\public\brands\wp_schematics_unified\CORNER-BOX-SCHEMATIC.webp,frontend\public\brands\wp_schematics_unified\CORNER-BOX-SCHEMATIC.webp,already canonical
rename,frontend\public\brands\wp_schematics_unified\CORNER-COBRA-SCHEMATIC.2024.webp,frontend\public\brands\wp_schematics_unified\CORNER-COBRA-SCHEMATIC..webp,canonicalize
rename,frontend\public\brands\wp_schematics_unified\CR01-AD-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics_unified\CR01-AD-SCHEMATIC-PAGE-001.webp,canonicalize
