action,from,to,note
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCH-PAGE-010.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCHEMATIC-PAGE-010.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCH-PAGE-011.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCHEMATIC-PAGE-011.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCH-PAGE-012.webp,frontend\public\brands\wp_schematics\Asgard\Schematics\Tapers\AT01-AD\images\AT01-AD-SCHEMATIC-PAGE-012.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Angleheads\AngleHead\AngleHead-2014-3.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Angleheads\AngleHead\ANGLEHEAD-2014-3-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Applicators\ExternalCorner\8-WHEEL-EXTERNAL-CORNER-APPLICATOR-1.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Applicators\ExternalCorner\8-WHEEL-EXTERNAL-CORNER-APPLICATOR-1-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Applicators\InsideCornerApplicator\2Wheel\ICA1-2-2015.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Applicators\InsideCornerApplicator\2Wheel\ICA1-2-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Applicators\InsideCornerApplicator\4Wheel\ICA1-4-2015.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Applicators\InsideCornerApplicator\4Wheel\ICA1-4-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Applicators\TwoWayInternalCorner\2-WAY-INTERNAL-CORNER-APPLICATOR-1.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Applicators\TwoWayInternalCorner\2-WAY-INTERNAL-CORNER-APPLICATOR-1-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\AutomaticTapers\PredatorTaper\Body\PREDATOR-TAPER-BODY.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\AutomaticTapers\PredatorTaper\Body\PREDATOR-TAPER-BODY-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\PREDATOR-TAPER-HEAD.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\PREDATOR-TAPER-HEAD-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\CompoundTubes\CamLockTube\CAM-LOCK-TUBE-2019.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\CompoundTubes\CamLockTube\CAM-LOCK-TUBE-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\CompoundTubes\CompoundTube\COMPOUND-TUBE-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\CompoundTubes\CompoundTube\COMPOUND-TUBE-SCHEMATIC.webp,canonicalize
keep,frontend\public\brands\wp_schematics\Columbia\Schematics\CornerBoxes\ThrottleBox\CORNER-BOX-SCHEMATIC.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\CornerBoxes\ThrottleBox\CORNER-BOX-SCHEMATIC.webp,already canonical
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\CornerFlushers\ComboFlusher\CLASSIC-COMBO-FLUSHER-1.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\CornerFlushers\ComboFlusher\CLASSIC-COMBO-FLUSHER-1-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\CornerFlushers\DirectCornerFlusher\DirectStandardFlusher-2015.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\CornerFlushers\DirectCornerFlusher\DIRECTSTANDARDFLUSHER-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\CornerFlushers\StandardCornerFlusher\3.5INCH-CORNER-FLUSHER-SCHEMATIC-2015.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\CornerFlushers\StandardCornerFlusher\3.5INCH-CORNER-FLUSHER-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\CornerRollers\CornerCobra\CORNER-COBRA-SCHEMATIC.2024.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\CornerRollers\CornerCobra\CORNER-COBRA-SCHEMATIC..webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\CornerRollers\InsideCornerRoller\INSIDECORNERROLLER-2014-1-SQUARED.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\CornerRollers\InsideCornerRoller\INSIDECORNERROLLER-2014-1-SQUARED-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\CornerRollers\StandardOutsideCornerRoller\OutsideCornerRollers-2016-1.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\CornerRollers\StandardOutsideCornerRoller\OUTSIDECORNERROLLERS-2016-1-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\FinishingBoxes\AutomaticFlatBox\AUTO-BOX-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\FinishingBoxes\AutomaticFlatBox\AUTO-BOX-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\FinishingBoxes\FatBoyBox\FAT-BOY-BOX.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\FinishingBoxes\FatBoyBox\FAT-BOY-BOX-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\FinishingBoxes\FlatBox\FLAT-BOX-HINGED-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\FinishingBoxes\FlatBox\FLAT-BOX-HINGED-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\ClosetMonster\ClosetMonster-2015.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\ClosetMonster\CLOSETMONSTER-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\ColumbiaOne\COLUMBIA-ONE.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\ColumbiaOne\COLUMBIA-ONE-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\FlatBoxHandle\180GripBoxHandle-2014.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\FlatBoxHandle\180GRIPBOXHANDLE-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\LongExtendableHandle\extendable-handle.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\LongExtendableHandle\EXTENDABLE-HANDLE-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\MatrixBoxHandle\BoxHandle\MATRIX-HANDLE.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\MatrixBoxHandle\BoxHandle\MATRIX-HANDLE-SCHEMATIC.webp,canonicalize
keep,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\MatrixBoxHandle\ExtensionHousing\EXTENSION-HOUSING-SCHEMATIC-1.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\MatrixBoxHandle\ExtensionHousing\EXTENSION-HOUSING-SCHEMATIC-1.webp,already canonical
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\MatrixBoxHandle\Head\MATRIX-HEAD.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\MatrixBoxHandle\Head\MATRIX-HEAD-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\MatrixBoxHandle\Lever\MATRIX-LEVER-1.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\MatrixBoxHandle\Lever\MATRIX-LEVER-1-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\MatrixBoxHandle\Pinchbox\MATRIX-PINCHBOX-1.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Handles\MatrixBoxHandle\Pinchbox\MATRIX-PINCHBOX-1-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Nailspotters\Nailspotter\NAIL-SPOTTER-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Nailspotters\Nailspotter\NAIL-SPOTTER-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Pumps\BoxFiller\BOX-FILLER.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Pumps\BoxFiller\BOX-FILLER-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Pumps\GooseneckAdapter\Gooseneck-1-1.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Pumps\GooseneckAdapter\GOOSENECK-1-1-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Pumps\MudPump\MUD-PUMP-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Pumps\MudPump\MUD-PUMP-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\Pumps\TallBoyMudPump\TALL-BOY-MUD-PUMP-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Pumps\TallBoyMudPump\TALL-BOY-MUD-PUMP-SCHEMATIC.webp,canonicalize
keep,frontend\public\brands\wp_schematics\Columbia\Schematics\Sanders\SanderHead\SANDER-HEAD-SCHEMATIC.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\Sanders\SanderHead\SANDER-HEAD-SCHEMATIC.webp,already canonical
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\SemiAutomaticTapers\SemiAutomaticTaper\SEMI-AUTOMATIC-TAPER-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\SemiAutomaticTapers\SemiAutomaticTaper\SEMI-AUTOMATIC-TAPER-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Columbia\Schematics\SmoothingBlades\TomahawkSmoothingBlades\TOMAHAWK-SCHEMATIC-2022.webp,frontend\public\brands\wp_schematics\Columbia\Schematics\SmoothingBlades\TomahawkSmoothingBlades\TOMAHAWK-SCHEMATIC.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Level5\Schematics\AutomaticTapers\Cover-Plate-Assembly\7377-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Level5\Schematics\AutomaticTapers\Cover-Plate-Assembly\7377-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Level5\Schematics\AutomaticTapers\Cutter-Chain-Assembly\9333-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Level5\Schematics\AutomaticTapers\Cutter-Chain-Assembly\9333-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Level5\Schematics\AutomaticTapers\Drive-Dog-Assembly\7097-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Level5\Schematics\AutomaticTapers\Drive-Dog-Assembly\7097-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Level5\Schematics\AutomaticTapers\Gooser-Assembly\7293-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Level5\Schematics\AutomaticTapers\Gooser-Assembly\7293-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Level5\Schematics\AutomaticTapers\Taper-Wheel-Assembly\7218-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Level5\Schematics\AutomaticTapers\Taper-Wheel-Assembly\7218-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Level5\Schematics\CornerFinishers\3.5-inch-Corner-Finisher\4-734-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Level5\Schematics\CornerFinishers\3.5-inch-Corner-Finisher\4-734-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Level5\Schematics\CornerRollers\Corner-Roller\4-707-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Level5\Schematics\CornerRollers\Corner-Roller\4-707-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Level5\Schematics\FinishingBoxes\10-inch-Flat-Box\4-765-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Level5\Schematics\FinishingBoxes\10-inch-Flat-Box\4-765-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Level5\Schematics\FinishingBoxes\10-inch-Mega-Flat-Box\4-768-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Level5\Schematics\FinishingBoxes\10-inch-Mega-Flat-Box\4-768-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Level5\Schematics\FinishingBoxes\12-inch-Flat-Box\4-766-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Level5\Schematics\FinishingBoxes\12-inch-Flat-Box\4-766-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Level5\Schematics\FinishingBoxes\12-inch-Mega-Box\4-769-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Level5\Schematics\FinishingBoxes\12-inch-Mega-Box\4-769-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Level5\Schematics\FinishingBoxes\7-inch-Flat-Box\4-764-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Level5\Schematics\FinishingBoxes\7-inch-Flat-Box\4-764-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Level5\Schematics\FinishingBoxes\7-inch-Mega-Flat-Box\4-767-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Level5\Schematics\FinishingBoxes\7-inch-Mega-Flat-Box\4-767-SCHEMATIC-PAGE-001.webp,canonicalize
rename,frontend\public\brands\wp_schematics\Level5\Schematics\Pumps\Compound-Pump\4-771-SCH-PAGE-001.webp,frontend\public\brands\wp_schematics\Level5\Schematics\Pumps\Compound-Pump\4-771-SCHEMATIC-PAGE-001.webp,canonicalize
keep,frontend\public\brands\wp_schematics\Platinum\Schematics\CornerRollerHandle\PLATINUM-CORNER-ROLLER-HANDLE-PAGE-001.png,frontend\public\brands\wp_schematics\Platinum\Schematics\CornerRollerHandle\PLATINUM-CORNER-ROLLER-HANDLE-PAGE-001.png,already canonical
