schematic_id,brand,current_model_number,current_model_name,source_json_path,status,candidate_1_sku,candidate_1_name,candidate_1_score,candidate_2_sku,candidate_2_name,candidate_2_score,candidate_3_sku,candidate_3_name,candidate_3_score,candidate_4_sku,candidate_4_name,candidate_4_score,candidate_5_sku,candidate_5_name,candidate_5_score
columbia-directstandardflusher-2015,Columbia Tools,DIRECTSTANDARDFLUSHER,DirectStandardFlusher 2015,Columbia\Schematics\CornerFlushers\DirectCornerFlusher\schematic_data.json,manual_review_required,2.5SF,"Columbia Standard Flusher - 2.5""",0.6909,3.5SF,"Columbia Standard Flusher - 3.5""",0.6545,4SF,"Columbia Standard Flusher - 4""",0.6415,3SF,"Columbia Standard Flusher - 3""",0.6415,COLSTANDARDFLUSHERS,Columbia Standard Flusher,0.6275
columbia-extendable-handle,Columbia Tools,EXTENDABLE-HANDLE,extendable handle,Columbia\Schematics\Handles\LongExtendableHandle\schematic_data.json,manual_review_required,MH14,Matrix Extendable Flat Box Handle (MH),0.6415,,,,,,,,,,,,
columbia-extension-housing-schematic-1,Columbia Tools,EXTENSION-HOUSING-SCHEMATIC-1,EXTENSION HOUSING SCHEMATIC 1,Columbia\Schematics\Handles\MatrixBoxHandle\ExtensionHousing\schematic_data.json,manual_review_required,HH5,Extension Housing,0.7391,CT130,Extension Shaft,0.5909,CT127,Extension Shaft Bracket,0.5769,CF53S,"Tension Spring 3.5"" - Flusher (CF5 - 3.5)",0.5714,AH735,"Frame Tension Spring - 3.5""",0.566
columbia-fat-boy-box,Columbia Tools,FAT-BOY-BOX,FAT BOY BOX,Columbia\Schematics\FinishingBoxes\FatBoyBox\schematic_data.json,manual_review_required,FFB1B,Flat Box Body 1B,0.6667,COL-FAT-BOY-FLAT-BOX,Columbia Fat Boy Flat Box,0.6111,8FBB,"Columbia Fat Boy Flat Box - 8""",0.5789,12FBB,"Columbia Fat Boy Flat Box - 12""",0.5641,10FBB,"Columbia Fat Boy Flat Box - 10""",0.5641
columbia-flat-box-hinged-schematic-2022,Columbia Tools,FLAT-BOX-HINGED,FLAT BOX HINGED SCHEMATIC 2022,Columbia\Schematics\FinishingBoxes\FlatBox\schematic_data.json,manual_review_required,HFFB148,"8"" Flat Box Hinged Door Gasket",0.6441,HFFB1414,"14"" Flat Box Hinged Door Gasket",0.6333,HFFB1412,"12"" Flat Box Hinged Door Gasket",0.6333,HFFB1410,"10"" Flat Box Hinged Door Gasket",0.6333,CFB1A,Angle Box Hinge Seal,0.6
columbia-gooseneck-1-1,Columbia Tools,GOOSENECK-1-1,Gooseneck 1 1,Columbia\Schematics\Pumps\GooseneckAdapter\schematic_data.json,manual_review_required,COL-GOOSENECK,Columbia Gooseneck,0.5806,,,,,,,,,,,,
columbia-ica1-2-2015,Columbia Tools,ICA1-2,ICA1 2 2015,Columbia\Schematics\Applicators\InsideCornerApplicator\2Wheel\schematic_data.json,manual_review_required,,,,,,,,,,,,,,,
columbia-ica1-4-2015,Columbia Tools,ICA1-4,ICA1 4 2015,Columbia\Schematics\Applicators\InsideCornerApplicator\4Wheel\schematic_data.json,manual_review_required,,,,,,,,,,,,,,,
columbia-insidecornerroller-2014-1-squared,Columbia Tools,INSIDECORNERROLLER-2014-1-SQUARED,INSIDECORNERROLLER 2014 1 SQUARED,Columbia\Schematics\CornerRollers\InsideCornerRoller\schematic_data.json,manual_review_required,COBCR,Columbia Outside Corner Roller - Standard,0.6111,CR2B,Corner Roller (CR),0.5714,CR2A,Corner Roller (CR),0.5714,COBCRW,Columbia Outside Corner Roller - Wide,0.5588,COBCRE,Columbia Outside Corner Roller - European,0.5556
columbia-matrix-handle,Columbia Tools,MATRIX-HANDLE,MATRIX HANDLE,Columbia\Schematics\Handles\MatrixBoxHandle\BoxHandle\schematic_data.json,manual_review_required,MH2,Matrix Handle Head,0.8387,MP7,Pump Handle,0.6667,COLMATRIXBOXHANDLE,Columbia Matrix Box Handle,0.6667,AB1,Automatic Box Handle Body,0.6316,AB49,Automatic Box Handle Mount,0.6154
columbia-matrix-head,Columbia Tools,MATRIX-HEAD,MATRIX HEAD,Columbia\Schematics\Handles\MatrixBoxHandle\Head\schematic_data.json,manual_review_required,MH2,Matrix Handle Head,0.7586,,,,,,,,,,,,
columbia-matrix-lever-1,Columbia Tools,MATRIX-LEVER-1,MATRIX LEVER 1,Columbia\Schematics\Handles\MatrixBoxHandle\Lever\schematic_data.json,manual_review_required,MH2,Matrix Handle Head,0.625,CT105,Crimper Lever,0.5926,FFB514,"Axle - 14""",0.5714,FFB512,"Axle - 12""",0.5714,FFB510,"Axle - 10""",0.5714
columbia-matrix-pinchbox-1,Columbia Tools,MATRIX-PINCHBOX-1,MATRIX PINCHBOX 1,Columbia\Schematics\Handles\MatrixBoxHandle\Pinchbox\schematic_data.json,manual_review_required,,,,,,,,,,,,,,,
columbia-mud-pump-schematic-2022,Columbia Tools,MUD-PUMP,MUD PUMP SCHEMATIC 2022,Columbia\Schematics\Pumps\MudPump\schematic_data.json,manual_review_required,MP23,Mud Pump Seal,0.6667,MP24,Mud Pump Screen,0.6316,,,,,,,,,
columbia-nail-spotter-schematic-2022,Columbia Tools,NAIL-SPOTTER,NAIL SPOTTER SCHEMATIC 2022,Columbia\Schematics\Nailspotters\Nailspotter\schematic_data.json,manual_review_required,FFB1A,Nail Spotter Flat Plate 1A,0.6038,HNS3,Nail Spotter Front Plate,0.5882,HNS23,Nail Spotter Front Plate (HNS3),0.5714,2NS,"Columbia Nail Spotter - 2""",0.56,,,
columbia-outsidecornerrollers-2016-1,Columbia Tools,OUTSIDECORNERROLLERS-2016-1,OutsideCornerRollers 2016 1,Columbia\Schematics\CornerRollers\StandardOutsideCornerRoller\schematic_data.json,manual_review_required,COL-OUTSIDE-CORNER-ROLLER,Columbia Outside Corner Roller,0.6667,COBCRW,Columbia Outside Corner Roller - Wide,0.6452,CR,Columbia Corner Roller,0.6122,COBCRE,Columbia Outside Corner Roller - European,0.6061,COBCR,Columbia Outside Corner Roller - Standard,0.6061
columbia-predator-taper-body,Columbia Tools,PREDATOR-TAPER-BODY,PREDATOR TAPER BODY,Columbia\Schematics\AutomaticTapers\PredatorTaper\Body\schematic_data.json,manual_review_required,CT69,Predator Taper Drive Cam,0.7442,CT840,Predator Taper Control Valve Body,0.7308,CT52,Predator Taper Spacer Bar,0.7273,CT154,Predator Taper Cam Roller,0.7273,CT114,Predator Taper Locking Block,0.7234
columbia-predator-taper-head,Columbia Tools,PREDATOR-TAPER-HEAD,PREDATOR TAPER HEAD,Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json,manual_review_required,CT69,Predator Taper Drive Cam,0.7907,CT52,Predator Taper Spacer Bar,0.7727,CT00,Predator Taper Head Cover Plate,0.76,PA266,Predator Taper Head Sub Assembly,0.7451,CT768,Predator Taper Clutch Lever,0.7391
columbia-sander-head-schematic,Columbia Tools,SANDER-HEAD,SANDER HEAD,Columbia\Schematics\Sanders\SanderHead\schematic_data.json,manual_review_required,CS,Columbia Sander Head,0.7097,S2,Sander Head Pivot Pin,0.6875,S1,Sander Head Main Body,0.6875,S4,Sander Head Pivot Washer,0.6286,MH2,Matrix Handle Head,0.6207
columbia-semi-automatic-taper-schematic-2022,Columbia Tools,SEMI-AUTOMATIC-TAPER,SEMI AUTOMATIC TAPER SCHEMATIC 2022,Columbia\Schematics\SemiAutomaticTapers\SemiAutomaticTaper\schematic_data.json,manual_review_required,SAT,Columbia Semi Automatic Taper,0.625,TAPER,"Columbia Automatic Taper - Standard 53""",0.6197,STAPER,"Columbia Automatic Taper - Sawed Off 39""",0.6111,COL-AUTOMATIC-TAPER,Columbia Automatic Taper,0.6102,PTAPER,"Columbia Automatic Taper - Predator Carbon Fiber 53""",0.5714
columbia-tall-boy-mud-pump-schematic-2022,Columbia Tools,TALL-BOY-MUD-PUMP,TALL BOY MUD PUMP SCHEMATIC 2022,Columbia\Schematics\Pumps\TallBoyMudPump\schematic_data.json,manual_review_required,,,,,,,,,,,,,,,
columbia-tomahawk-schematic-2022,Columbia Tools,TOMAHAWK,TOMAHAWK SCHEMATIC 2022,Columbia\Schematics\SmoothingBlades\TomahawkSmoothingBlades\schematic_data.json,manual_review_required,SB7,Tomahawk Handle Fitting,0.5652,,,,,,,,,,,,
platinum-platinum-corner-roller-handle-page-001,Platinum Drywall Tools,PLATINUM-CORNER-ROLLER-HANDLE,PLATINUM CORNER ROLLER HANDLE PAGE 001,Platinum\Schematics\CornerRollerHandle\schematic_data.json,manual_review_required,PTCRH50,"Platinum 50"" Corner Roller Handle",0.8286,PTCAH50,"Platinum 50"" Corner Box Handle",0.7164,PTCR,Platinum Inside Corner Roller,0.6567,PTCRE,Platinum ECO Inside Corner Roller,0.6197,PTCFH50,"Platinum 50"" Angle Head Handle",0.5672
platinum-outside-corner-roller,Platinum Drywall Tools,PLATINUM-OUTSIDE-CORNERROLLER,Outside Corner Roller,Platinum\Schematics\OutsideCornerRoller\schematic_data.json,manual_review_required,PTCR,Platinum Inside Corner Roller,0.76,PTCRE,Platinum ECO Inside Corner Roller,0.7037,PTOCR,Platinum Outside 90 Degree Corner Roller,0.6885,PTCRH50,"Platinum 50"" Corner Roller Handle",0.566,,,
platinum-compound-pump,Platinum Drywall Tools,PT-COMPOUND-PUMP,Compound Pump,Platinum\Schematics\CompoundPump\schematic_data.json,manual_review_required,PTCT,Platinum Compound Tube,0.5714,,,,,,,,,,,,
tapetech-20ttx-sch,TapeTech,20TTX,20TTX SCH,TapeTech\Schematics\20TTX\schematic_data.json,manual_review_required,,,,,,,,,,,,,,,
tapetech-25ttx-sch,TapeTech,25TTX,25TTX SCH,TapeTech\Schematics\25TTX\schematic_data.json,manual_review_required,,,,,,,,,,,,,,,
tapetech-30ttx-sch,TapeTech,30TTX,30TTX SCH,TapeTech\Schematics\30TTX\schematic_data.json,manual_review_required,,,,,,,,,,,,,,,
tapetech-35tt-sch,TapeTech,35TT,35TT SCH,TapeTech\Schematics\35TT\schematic_data.json,manual_review_required,,,,,,,,,,,,,,,
tapetech-40tt-sch,TapeTech,40TT,40TT SCH,TapeTech\Schematics\40TT\schematic_data.json,manual_review_required,,,,,,,,,,,,,,,
tapetech-45tt-sch,TapeTech,45TT,45TT SCH,TapeTech\Schematics\45TT\schematic_data.json,manual_review_required,,,,,,,,,,,,,,,
tapetech-50tt-sch,TapeTech,50TT,50TT SCH,TapeTech\Schematics\50TT\schematic_data.json,manual_review_required,,,,,,,,,,,,,,,
tapetech-63tt-sch,TapeTech,63TT,63TT SCH,TapeTech\Schematics\63TT\schematic_data.json,manual_review_required,,,,,,,,,,,,,,,
tapetech-68tt-sch,TapeTech,68TT,68TT SCH,TapeTech\Schematics\68TT\schematic_data.json,manual_review_required,,,,,,,,,,,,,,,
