schematic_id,source_json_path,tool_sku,tool_name,part_count,image_count
columbia-compound-tube-sch,Columbia\Schematics\CompoundTubes\CompoundTube\schematic_data.json,COL-COMPOUND-TUBE,Columbia Compound Tube,25,2
columbia-throttle-box-sch,Columbia\Schematics\CornerBoxes\ThrottleBox\schematic_data.json,COLTHROTTLEBOX,Columbia Throttle Box,43,2
columbia-corner-cobra-sch,Columbia\Schematics\CornerRollers\CornerCobra\schematic_data.json,CC,Columbia Corner Cobra,16,2
columbia-direct-flusher-sch,Columbia\Schematics\CornerFlushers\DirectCornerFlusher\schematic_data.json,COL-DIRECT-FLUSHER,Columbia Direct Flusher,35,2
columbia-one-handle-4-8-long-extendible-chxl-sch,Columbia\Schematics\Handles\LongExtendableHandle\schematic_data.json,CHXL,Columbia One Handle - Long Extendible 4'-8',15,2
columbia-matrix-box-handle-matrixboxhandle-extensionhousing-sch,Columbia\Schematics\Handles\MatrixBoxHandle\ExtensionHousing\schematic_data.json,COLMATRIXBOXHANDLE,Columbia Matrix Box Handle,10,1
columbia-fat-boy-finishing-box-sch,Columbia\Schematics\FinishingBoxes\FatBoyBox\schematic_data.json,COLFATBOYBOX,Columbia Fat Boy Finishing Box,49,2
columbia-flat-finishing-box-sch,Columbia\Schematics\FinishingBoxes\FlatBox\schematic_data.json,COLFLATFINISHINGBOXES,Columbia Flat Finishing Box,58,2
columbia-gooseneck-sch,Columbia\Schematics\Pumps\GooseneckAdapter\schematic_data.json,COL-GOOSENECK,Columbia Gooseneck,4,2
columbia-billet-mud-applicator-inside-corner-2-wheels-1-ica2-1-sch,Columbia\Schematics\Applicators\InsideCornerApplicator\2Wheel\schematic_data.json,ICA2-1,"Columbia Billet Mud Applicator - Inside Corner - 2 Wheels - 1""",10,1
columbia-billet-mud-applicator-inside-corner-4-wheels-1-ica4-1-sch,Columbia\Schematics\Applicators\InsideCornerApplicator\4Wheel\schematic_data.json,ICA4-1,"Columbia Billet Mud Applicator - Inside Corner - 4 Wheels - 1""",8,1
columbia-corner-roller-sch,Columbia\Schematics\CornerRollers\InsideCornerRoller\schematic_data.json,CR,Columbia Corner Roller,11,2
columbia-matrix-box-handle-matrixboxhandle-boxhandle-sch,Columbia\Schematics\Handles\MatrixBoxHandle\BoxHandle\schematic_data.json,COLMATRIXBOXHANDLE,Columbia Matrix Box Handle,15,2
columbia-matrix-box-handle-matrixboxhandle-head-sch,Columbia\Schematics\Handles\MatrixBoxHandle\Head\schematic_data.json,COLMATRIXBOXHANDLE,Columbia Matrix Box Handle,11,1
columbia-matrix-box-handle-matrixboxhandle-lever-sch,Columbia\Schematics\Handles\MatrixBoxHandle\Lever\schematic_data.json,COLMATRIXBOXHANDLE,Columbia Matrix Box Handle,9,1
columbia-matrix-box-handle-matrixboxhandle-pinchbox-sch,Columbia\Schematics\Handles\MatrixBoxHandle\Pinchbox\schematic_data.json,COLMATRIXBOXHANDLE,Columbia Matrix Box Handle,10,1
columbia-mud-pump-sch,Columbia\Schematics\Pumps\MudPump\schematic_data.json,COLMUDPUMP,Columbia Mud Pump,53,3
columbia-nail-spotter-sch,Columbia\Schematics\Nailspotters\Nailspotter\schematic_data.json,COL-NAIL-SPOTTER,Columbia Nail Spotter,46,2
columbia-outside-corner-roller-sch,Columbia\Schematics\CornerRollers\StandardOutsideCornerRoller\schematic_data.json,COL-OUTSIDE-CORNER-ROLLER,Columbia Outside Corner Roller,17,2
columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-body-sch,Columbia\Schematics\AutomaticTapers\PredatorTaper\Body\schematic_data.json,PTAPER,"Columbia Automatic Taper - Predator Carbon Fiber 53""",48,1
columbia-automatic-taper-predator-carbon-fiber-53-ptaper-predatortaper-head-sch,Columbia\Schematics\AutomaticTapers\PredatorTaper\Head\schematic_data.json,PTAPER,"Columbia Automatic Taper - Predator Carbon Fiber 53""",187,1
columbia-combo-flusher-3-3csf-sch,Columbia\Schematics\Sanders\SanderHead\schematic_data.json,3CSF,"Columbia Combo Flusher - 3""",11,2
columbia-semi-automatic-taper-sat-sch,Columbia\Schematics\SemiAutomaticTapers\SemiAutomaticTaper\schematic_data.json,SAT,Columbia Semi Automatic Taper,43,2
columbia-mud-pump-sch-2,Columbia\Schematics\Pumps\TallBoyMudPump\schematic_data.json,COLMUDPUMP,Columbia Mud Pump,56,3
columbia-tomahawk-smoothing-blade-sch,Columbia\Schematics\SmoothingBlades\TomahawkSmoothingBlades\schematic_data.json,COL-TOMAHAWK-SMOOTHING-BLADE,Columbia Tomahawk Smoothing Blade,9,2
platinum-50-corner-roller-handle-sch,Platinum\Schematics\CornerRollerHandle\schematic_data.json,PTCRH50,"Platinum 50"" Corner Roller Handle",4,1
platinum-flat-finishing-box-sch,Platinum\Schematics\FlatBox\schematic_data.json,PTFB,Platinum Flat Finishing Box,0,2
platinum-outside-90-degree-corner-roller-sch,Platinum\Schematics\OutsideCornerRoller\schematic_data.json,PTOCR,Platinum Outside 90 Degree Corner Roller,13,2
platinum-drywall-pump-w-filler-sch,Platinum\Schematics\CompoundPump\schematic_data.json,PTCP,Platinum Drywall Pump w/Filler,0,2
