image,matched,prod_part_number,prod_name,prod_brand,schem_part_id,schem_part_sku,schem_part_name,schem_source
609018,yes,,,,"609018","609018","Washer (Plastic)","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
609020,yes,,,,"609020","609020","Friction Washer","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
609048,yes,,,,"28","609048","Screw, 4-40x3/8, FH, SST","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\13TT_SCH_hotspots\schematic_data.json"
609049,yes,,,,"609049","609049","Serrated Hex Flange Nut","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
609050,yes,,,,"609050","609050","Screw,6-32 X 3/32 Slotted Rd Hd","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
630002,yes,,,,"630002","630002","Latch, 2"" N.S.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
630009,yes,,,,"630009","630009","2"" N.S. Facing","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
630010,yes,,,,"630010","630010","2"" Hinge Block","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
630030,yes,,,,"630030","630030","2"" N.S. Insert","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
634028,yes,,,,"634028","634028","2""Press Plate Assy W/ New Style Tab","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
638001,yes,,,,"638001","638001","2"" Easyclean Nail Spotter Body, No-Logo","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
639020,yes,,,,"639020","639020","Plastic Washer","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\NS02TT_SCH_hotspots\schematic_data.json"
700002F,yes,,,,"9","700002F","Piston Rod","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
700004F,yes,,,,"1","700004F","Gland","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
700005,yes,,,,"3","700005","'U' Cup","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
700008,yes,,,,"27","700008","Large Retainer","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
700010F,yes,,,,"23","700010F","Valve Disk","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
700015F,yes,,,,"6","700015F","Link","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
700029,yes,,,,"2","700029","Bushing Liner","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
700032F,yes,,,,"34","700032F","Screen (Fine)","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
700033F,yes,,,,"34","700033F","Screen (Coarse)","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
700036,yes,,,,"16","700036","Stud, 5/16-24 x 1 7/16","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
700037,yes,,,,"11","700037","Special Nut","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
700045,yes,,,,"24","700045","Small Retainer","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
700049,yes,,,,"15","700049","Gasket","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
706020F,yes,,,,"40","706020F","Foot Bracket","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
709006,yes,,,,"19","709006","CapScrew, 1/4-20 x 5/8 Soc. Hd. SST.","D:\AMD\projects\drywall-toolbox\schematics\brands\TapeTech\products\73TT_SCH_hotspots\schematic_data.json"
