sku,brand,name,old_price,old_price_numeric,new_price,new_price_numeric
aem14hr,Advance Equipment,"Advance Contoured Bottom Heliarc Mud Pan 14""",,,$18.95,18.95
aemfltklht18,Advance Equipment,"18"" Aluminum Back BS Drywall Knife with 6"" Plastic Threaded Handle",,,$6.99,6.99
aemfp18,Advance Equipment,18 in Advance Equipment Floor Scraper w/ Metal Handle,,,$38.88,38.88
api742g,Allied Precision Industries,120V Bucket Heater,,,$57.95,57.95
alwsx6f,"Allway Tools, Inc.",6 in Allway Tools Soft Grip Flex Tape Knife w/ Hammer End,,,$9.99,9.99
alwsx5f,"Allway Tools, Inc.",5 in Allway Tools Soft Grip Flex Tape Knife w/ Hammer End,,,$6.91,6.91
amklt110,American Marketing Sales Co.,Removable Split Lid for Toter 1 cu. yd. Trash Truck,,,$316.79,316.79
amklt105,American Marketing Sales Co.,Removable Split Lid for Toter 1/2 cu. yd. Trash Truck,,,$251.96,251.96
arw50624,Arrow Fastener,"Arrow 3/8"" T50 Staples",,,$4.97,4.97
arw50824,Arrow Fastener,"Arrow 1/2"" T50 Staples",,,$6.35,6.35
arwt50,Arrow Fastener,Arrow Fastener T50 Heavy Duty Staple Gun,,,$19.98,19.98
arw50424,Arrow Fastener,"Arrow 1/4"" T50 Staples",,,$4.97,4.97
atl451xl10rt,Atlas Gloves,Atlas Therma Fit Glove with Rubber Palm -XL,,,$3.58,3.58
atl330m,Atlas Gloves,Atlas Re-Grip 330 Bulk Gloves with Black Rubber Palm - M,,,$5.54,5.54
atlc300l,Atlas Gloves,Atlas Fit with Blue Rubber Palm - Large,,,$3.99,3.99
atl451l,Showa Best Gloves,SHOWA 451 - Large,,,$4.22,4.22
atl3701l,Atlas Gloves,Atlas Lightweight Nitrile Gloves (Black/Gray) - Large,,,$6.69,6.69
atl330xl,Atlas Gloves,Atlas Re-Grip 330 Bulk Gloves with Black Rubber Palm - XL,,,$2.92,2.92
atlkv350l,Atlas Gloves,Atlas Cut Resistant Kevlar Glove Large Level 3,,,$10.29,10.29
