brand,product_name,part_number,url,image_url,short_description,category,specifications
Global Manufacturing Supply,"5"" Caster",GLODPHC5,https://www.tswfast.com/product/GLODPHC5?categoryCode=brand_Global_Manufacturing_Supply,https://s3.amazonaws.com/gmscom/master/media-common/product/GOLDPHC5_med.jpg,,,"{""PART"": ""GLODPHC5"", ""MANUFACTURER"": ""Global Manufacturing Supply"", ""full_description"": ""Product Details Resources 5\"" Caster for GLOUDPH11 Drywall Hoist"", ""spec_source"": ""html""}"
"Gloves, Inc.",Flex Tuff Blue Latex Coated Gloves - Large,GLV9680L,https://www.tswfast.com/product/GLV9680L?categoryCode=brand_Gloves_Inc,https://s3.amazonaws.com/gmscom/master/media-common/product/GL9680medium.jpg,,,"{""PART"": ""GLV9680L"", ""MANUFACTURER"": ""Gloves, Inc."", ""full_description"": ""Product Details Resources Features: < Improves grip Natural rubber provides abrasion resistance Excellent comfort and fit Textured palm dip for extra grip and durability Industry Applications: Material handling, glass handling operations, fishing and plywood industries, sanitation, general maintenance."", ""spec_source"": ""html""}"
"Gloves, Inc.",Flex Tuff Blue Latex Coated Palm Gloves - X-Large,GLV9680XL,https://www.tswfast.com/product/GLV9680XL?categoryCode=brand_Gloves_Inc,https://s3.amazonaws.com/gmscom/master/media-common/product/GL9680medium.jpg,,,"{""PART"": ""GLV9680XL"", ""MANUFACTURER"": ""Gloves, Inc."", ""full_description"": ""Product Details Resources Features: < Improves grip Natural rubber provides abrasion resistance Excellent comfort and fit Textured palm dip for extra grip and durability Industry Applications: Material handling, glass handling operations, fishing and plywood industries, sanitation, general maintenance."", ""spec_source"": ""html""}"
Goldblatt,11 X 4.5 Curved Blade Drywall Trowel,GOLG05511,https://www.tswfast.com/product/GOLG05511-gb-11-x-4.5-drywalltrowel?categoryCode=brand_Goldblatt,https://s3.amazonaws.com/tswfastcomfiles/product/GOLG05511_L.jpg,,,"{""PART"": ""GOLG05511"", ""MANUFACTURER"": ""Goldblatt Tool Company"", ""full_description"": ""Product Details Resources Our curved blade drywall trowel is equipped with a preshaped concave blade that helps you feather mud and create perfect drywall joints. The spring steel welded blade is heat treated and tempered for extra strength and durability. Anti-turn ergonomic soft-grip handle"", ""spec_source"": ""html""}"
Goldblatt,"12"" Taping Knife",GOLG05000,https://www.tswfast.com/product/GOLG05000-12-in-taping-knife?categoryCode=brand_Goldblatt,https://s3.amazonaws.com/tswfastcomfiles/product/G05000.jpg,,,"{""PART"": ""GOLG05000"", ""MANUFACTURER"": ""Goldblatt Tool Company"", ""full_description"": ""Product Details Resources -Designed for professional tradesmen -Hardened and tempered steel blade -Excellent control for feathering or texturing -Heavy Duty aluminum backing plate -Ergonomic soft grip handle"", ""spec_source"": ""html""}"
Goldblatt,"14"" Blue Steel Taping Knife",GOLG05003,https://www.tswfast.com/product/GOLG05003-14-blue-steel-tapingknife?categoryCode=brand_Goldblatt,https://s3.amazonaws.com/tswfastcomfiles/product/GOLG05003_L.jpg,,,"{""PART"": ""GOLG05003"", ""MANUFACTURER"": ""Goldblatt Tool Company"", ""full_description"": ""Product Details Resources Our premium tempered flexible blue steel blade offers excellent control when feathering or creating knockdown texturing. The heavy-duty aluminum backer plate provides rigidity and is well balanced for ease of use. Tapered blade allows you to run corners faster Comfortable soft-grip handle"", ""spec_source"": ""html""}"
Goldblatt,"14"" Stainless Steel Taping Knife",GOLG05644,https://www.tswfast.com/product/GOLG05644-14-in-ss-taping-knife?categoryCode=brand_Goldblatt,https://s3.amazonaws.com/tswfastcomfiles/product/GOLG05644_M.jpg,,,"{""PART"": ""GOLG05644"", ""MANUFACTURER"": ""Goldblatt Tool Company"", ""full_description"": ""Product Details Resources Our premium tempered non-rust stainless steel blade includes a heavy-duty aluminum backing plate for improved rigidity and is tapered for running corners faster to get the job done sooner. Comfortable soft-grip handle reduces fatigue Heavy-duty zinc alloy hammer end"", ""spec_source"": ""html""}"
Goldblatt,"6"" Stainless Steel Taping Knife",GOLG05636,https://www.tswfast.com/product/GOLG05636-6-in-ss-taping-knife?categoryCode=brand_Goldblatt,https://s3.amazonaws.com/tswfastcomfiles/product/GOLG05636_L.jpg,,,"{""PART"": ""GOLG05636"", ""MANUFACTURER"": ""Goldblatt Tool Company"", ""full_description"": ""Product Details Resources Our premium tempered non-rust stainless steel blade includes a heavy-duty aluminum backing plate for improved rigidity and is tapered for running corners faster to get the job done sooner. Comfortable soft-grip handle reduces fatigue Heavy-duty zinc alloy hammer end"", ""spec_source"": ""html""}"
Goldblatt,"8"" Taping Knife",GOLG05001,https://www.tswfast.com/product/GOLG05001-8-in-taping-knife?categoryCode=brand_Goldblatt,https://s3.amazonaws.com/tswfastcomfiles/product/G05001.jpg,,,"{""PART"": ""GOLG05001"", ""MANUFACTURER"": ""Goldblatt Tool Company"", ""full_description"": ""Product Details Resources -Designed for professional tradesmen -Hardened and tempered steel blade -Excellent control for feathering or texturing -Heavy Duty aluminum backing plate -Ergonomic soft grip handle"", ""spec_source"": ""html""}"
Goldblatt,9in Sanding Discs 100 Grit (10 Disc/Pack ),GOLG25661,https://www.tswfast.com/product/GOLG25661-100-sanding-disc10-pk?categoryCode=brand_Goldblatt,https://s3.amazonaws.com/tswfastcomfiles/product/GOLG25645_M.jpg,,,"{""PART"": ""GOLG25661"", ""MANUFACTURER"": ""Goldblatt Tool Company"", ""full_description"": ""Product Details Resources 100 Grit 9-Inch Sanding Disk 10 Disc / Pack Can be used with Goldblatt Radial Sander or any hook and loop system"", ""spec_source"": ""html""}"
Goldblatt,Dust-Free Hand Sander,GOLG05028,https://www.tswfast.com/product/GOLG05028-gb-dustfree-hand-sander?categoryCode=brand_Goldblatt,https://s3.amazonaws.com/tswfastcomfiles/product/GOLG05028_L.jpg,,,"{""PART"": ""GOLG05028"", ""MANUFACTURER"": ""Goldblatt Tool Company"", ""full_description"": ""Product Details Resources Reduce 90% of dust and mess with our dust-free hand sander. This lightweight drywall sander has several great features, including a 360-degree pivoting elbow for ease of use on vertical surfaces and an adjustable vent for variable vacuum force. Includes 6 ft. hose, coupler, and adapter for compatibility with most shop-type vacuums Designed for use with standard 11 ¼ in. die-cut sanding screen sheets"", ""spec_source"": ""html""}"
