Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Brands,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 used for variations,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 used for variations,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 used for variations,Attribute 3 global,meta: _mpn,meta:_dtb_seo_title,meta:_dtb_seo_description
simple,OPBS,,Columbia One Piece Stainless Steel Bucket Scoop - [OPBS],1,0,visible,"The Columbia One Piece Bucket Scoop is built from premium materials with precision craftsmanship, delivering a durable tool that makes mixing and scooping compound easier than ever.","<p>The Columbia One Piece Bucket Scoop is built from premium materials with precision craftsmanship, delivering a durable tool that makes mixing and scooping compound easier than ever.</p> <ul> <li>Precision stainless steel blade — shaped to match the curvature of most compound buckets for a clean, efficient scoop</li> <li>One-piece handle — lightweight, easy to clean, and built to last</li> <li>Strong welded full tang construction — ensures maximum durability and reliability on every job</li> </ul>",,,taxable,,1,,,0,0,0.5,,,,1,,,21.00,Drywall Finishing Tools > Columbia > Taping & Finishing Tools,"Columbia, OPBS, Taping & Finishing Tools, bucket scoop",,,,,,,,,,,0,Columbia,,,,,,,,,,,,,,,,OPBS,,
simple,COLHTBDL13,,Columbia One Piece Stainless Steel Putty Knife Set - [COLHTBDL13],1,0,visible,"Columbia Tools is proud to launch our all-new One Piece Putty Knives – precision-crafted from stainless steel for strength, flexibility, and all-day comfort.","<p>Columbia Tools is proud to launch our all-new One Piece Putty Knives – precision-crafted from stainless steel for strength, flexibility, and all-day comfort.</p> <p><strong>Built to Last</strong></p> <p>Engineered as a single piece of stainless steel with a welded full tang construction, these knives deliver unmatched durability while maintaining the flexibility finishers rely on. A sleek, comfortable grip ensures control and reduced fatigue, making these knives an essential addition to every finisher’s toolbox.</p> <h3>Features</h3> <ul> <li>One-Piece Stainless Steel Design: Welded full tang construction eliminates weak points for maximum strength and reliability.</li> <li>Flexible Stainless Steel Blade: Smooth, consistent application with just the right amount of flex for professional finishing.</li> <li>Comfortable Grip: Ergonomically shaped for control, balance, and reduced strain during extended use.</li> <li>Durable &amp; Easy to Clean: Corrosion-resistant stainless steel provides long-lasting performance and easy maintenance.</li> <li>Designed for performance and built to withstand the demands of the job site, Columbia One Piece Putty Knives offer the perfect balance of strength, comfort, and precision finishing.</li> </ul>",,,taxable,,1,,,0,0,,,,,1,,,52.00,Drywall Finishing Tools > Columbia > Taping & Finishing Tools,"Columbia, OPPK4, OPPK5, OPPK6, Taping & Finishing Tools, set",,,,,,,,,,,0,Columbia,,,,,,,,,,,,,,,,COLHTBDL13,,
variable,COL-COLUMBIA-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES,,"Columbia One Piece Stainless Steel Putty Knives - [OPPK1.5, OPPK2, OPPK3, OPPK4, OPPK5, OPPK6, OPPK8]",1,0,visible,"Columbia Tools is proud to launch our all-new One Piece Putty Knives – precision-crafted from stainless steel for strength, flexibility, and all-day comfort.","<p>Columbia Tools is proud to launch our all-new One Piece Putty Knives – precision-crafted from stainless steel for strength, flexibility, and all-day comfort.</p> <p><strong>Built to Last</strong></p> <p>Engineered as a single piece of stainless steel with a welded full tang construction, these knives deliver unmatched durability while maintaining the flexibility finishers rely on. A sleek, comfortable grip ensures control and reduced fatigue, making these knives an essential addition to every finisher’s toolbox.</p> <h3>Features</h3> <ul> <li>One-Piece Stainless Steel Design: Welded full tang construction eliminates weak points for maximum strength and reliability.</li> <li>Flexible Stainless Steel Blade: Smooth, consistent application with just the right amount of flex for professional finishing.</li> <li>Comfortable Grip: Ergonomically shaped for control, balance, and reduced strain during extended use.</li> <li>Durable &amp; Easy to Clean: Corrosion-resistant stainless steel provides long-lasting performance and easy maintenance.</li> <li>Designed for performance and built to withstand the demands of the job site, Columbia One Piece Putty Knives offer the perfect balance of strength, comfort, and precision finishing.</li> </ul> <p><strong>Available Sizes</strong></p> <p>1.5"", 2"", 3"", 4"", 5"", 6"", and 8""</p>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Columbia > Taping & Finishing Tools,"Columbia, OPPK1.5, OPPK2, OPPK3, OPPK4, OPPK5, OPPK6, OPPK8, Taping & Finishing Tools, joint knife",,,,,,,,,,,0,Columbia,Size,"1.5"" | 2"" | 3"" | 4"" | 5"" | 6"" | 8""",1,1,1,,,,,,,,,,,"OPPK1.5, OPPK2, OPPK3, OPPK4, OPPK5, OPPK6, OPPK8",,
variation,OPPK1.5,,Columbia One Piece Stainless Steel Putty Knives - [OPPK1.5],1,0,visible,,,,,taxable,,1,,,0,0,0.5,,,,1,,,16.00,Drywall Finishing Tools > Columbia > Taping & Finishing Tools,"Columbia, OPPK1.5, OPPK2, OPPK3, OPPK4, OPPK5, OPPK6, OPPK8, Taping & Finishing Tools, joint knife",,,,,COL-COLUMBIA-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES,,,,,,1,Columbia,Size,"1.5""",,1,1,,,,,,,,,,,OPPK1.5,,
variation,OPPK2,,Columbia One Piece Stainless Steel Putty Knives - [OPPK2],1,0,visible,,,,,taxable,,1,,,0,0,0.5,,,,1,,,16.00,Drywall Finishing Tools > Columbia > Taping & Finishing Tools,"Columbia, OPPK1.5, OPPK2, OPPK3, OPPK4, OPPK5, OPPK6, OPPK8, Taping & Finishing Tools, joint knife",,,,,COL-COLUMBIA-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES,,,,,,2,Columbia,Size,"2""",,1,1,,,,,,,,,,,OPPK2,,
variation,OPPK3,,Columbia One Piece Stainless Steel Putty Knives - [OPPK3],1,0,visible,,,,,taxable,,1,,,0,0,0.5,,,,1,,,17.00,Drywall Finishing Tools > Columbia > Taping & Finishing Tools,"Columbia, OPPK1.5, OPPK2, OPPK3, OPPK4, OPPK5, OPPK6, OPPK8, Taping & Finishing Tools, joint knife",,,,,COL-COLUMBIA-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES,,,,,,3,Columbia,Size,"3""",,1,1,,,,,,,,,,,OPPK3,,
variation,OPPK4,,Columbia One Piece Stainless Steel Putty Knives - [OPPK4],1,0,visible,,,,,taxable,,1,,,0,0,0.5,,,,1,,,18.00,Drywall Finishing Tools > Columbia > Taping & Finishing Tools,"Columbia, OPPK1.5, OPPK2, OPPK3, OPPK4, OPPK5, OPPK6, OPPK8, Taping & Finishing Tools, joint knife",,,,,COL-COLUMBIA-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES,,,,,,4,Columbia,Size,"4""",,1,1,,,,,,,,,,,OPPK4,,
variation,OPPK5,,Columbia One Piece Stainless Steel Putty Knives - [OPPK5],1,0,visible,,,,,taxable,,1,,,0,0,0.5,,,,1,,,19.00,Drywall Finishing Tools > Columbia > Taping & Finishing Tools,"Columbia, OPPK1.5, OPPK2, OPPK3, OPPK4, OPPK5, OPPK6, OPPK8, Taping & Finishing Tools, joint knife",,,,,COL-COLUMBIA-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES,,,,,,5,Columbia,Size,"5""",,1,1,,,,,,,,,,,OPPK5,,
variation,OPPK6,,Columbia One Piece Stainless Steel Putty Knives - [OPPK6],1,0,visible,,,,,taxable,,1,,,0,0,0.5,,,,1,,,20.00,Drywall Finishing Tools > Columbia > Taping & Finishing Tools,"Columbia, OPPK1.5, OPPK2, OPPK3, OPPK4, OPPK5, OPPK6, OPPK8, Taping & Finishing Tools, joint knife",,,,,COL-COLUMBIA-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES,,,,,,6,Columbia,Size,"6""",,1,1,,,,,,,,,,,OPPK6,,
variation,OPPK8,,Columbia One Piece Stainless Steel Putty Knives - [OPPK8],1,0,visible,,,,,taxable,,1,,,0,0,0.5,,,,1,,,24.00,Drywall Finishing Tools > Columbia > Taping & Finishing Tools,"Columbia, OPPK1.5, OPPK2, OPPK3, OPPK4, OPPK5, OPPK6, OPPK8, Taping & Finishing Tools, joint knife",,,,,COL-COLUMBIA-ONE-PIECE-STAINLESS-STEEL-PUTTY-KNIVES,,,,,,7,Columbia,Size,"8""",,1,1,,,,,,,,,,,OPPK8,,
simple,C1PTAPER,,Columbia One Predator Automatic Taper - [C1PTAPER],1,0,visible,The Predator – Now with Removable Taper Head,"<p><strong>The Predator – Now with Removable Taper Head</strong></p> <p>The Predator continues to redefine what a taper can be — the world’s first Carbon Fiber Taper just got even better. Built on 38 years of precision craftsmanship, the Columbia Predator now features a new removable taper head, making maintenance and cleaning easier than ever before.</p> <p>This innovation, combined with its ultra-lightweight carbon fiber body, makes the Predator not only dent-proof but also significantly lighter than any other taper on the market. Designed for performance and endurance, it glides effortlessly through flats and angles, year after year.</p> <p>From reduced drag in corners to our new quick-release removable head, this tool is engineered to keep you taping — not tinkering. Stainless steel side plates, cable drum, and creaser arms provide a lifetime of corrosion resistance. The six-wheel cutting sleeve ensures smooth travel and superb grip, while the pull ring helps tackle high ceilings with ease.</p> <p>The Predator maintains a stable temperature and remains warm to the touch, no matter the conditions. Every taper includes an adjustable brake and quick-release system for fast tape changes. The Titanium pull rod adds strength, precision, and style — the kind of refinement professionals appreciate in every pull.</p> <p>If you’re serious about finishing and demand a taper that feels as good as it performs, the new Predator with Removable Head is built for you.</p> <h3>Features</h3> <ul> <li>New Removable Taper Head – for easy cleaning and maintenance</li> <li>Handmade from Carbon Fiber and Steel Components</li> <li>Titanium Pull Rod</li> <li>Adjustable Brake</li> <li>Quick Release for Tape Changing</li> <li>Zero Drag System for Corners</li> <li>Knurled Sleeve with Pull Ring</li> <li>Stainless Steel Side Plates, Creaser Arms, and Cable Drum</li> <li>Smooth 6-Wheel Cutting System with Roller Chain</li> <li>Machined in Our State-of-the-Art Factory in Canada</li> </ul>",,,taxable,,1,,,0,0,20,,,,1,,,1896.00,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Automatic Taping Tools, C1PTAPER, Columbia, bazooka, carbon fiber, colombia, predator, taper",,,,,,,,,,,0,Columbia,,,,,,,,,,,,,,,,C1PTAPER,,
simple,C1SPBODY,,Columbia One Sawed Off Predator Automatic Taper Body (Head Not Included) - [C1SPBODY],1,0,visible,"Built for finishers who want maximum agility in tight spaces, the Sawed Off Predator Body delivers compact performance in the world’s first carbon fiber taper. Its ultra-lightweight, dent-proof carbon fiber shell provides exceptional control, reduced fatigue, and a warm-to-the-touch feel — all in a shorter, more man...","<p>Built for finishers who want maximum agility in tight spaces, the Sawed Off Predator Body delivers compact performance in the world’s first carbon fiber taper. Its ultra-lightweight, dent-proof carbon fiber shell provides exceptional control, reduced fatigue, and a warm-to-the-touch feel — all in a shorter, more maneuverable package.</p> <p>Designed for precision work where space is limited, the Sawed Off Predator Body glides smoothly through corners, closets, stairwells, and low-height areas. The reduced length offers superior handling while maintaining the strength, balance, and durability that professionals expect. This body is fully compatible with the Predator removable taper head system — but does not include a head, allowing you to build your taper exactly the way you want.</p> <p>Stainless steel side plates and a corrosion-resistant cable drum ensure lasting performance, while the smooth six-wheel cutting sleeve provides consistent tracking and reliable grip. The knurled grip zone adds comfort and control for all-day use.</p> <p>Engineered for pros who demand speed, maneuverability, and precision, the Sawed Off Predator Body Only is the perfect compact upgrade to your taping arsenal.</p> <h3>Features</h3> <ul> <li><strong>Body Only – Taper Head Not Included</strong></li> <li>Ultra-Lightweight Carbon Fiber Construction</li> <li>Compact Sawed Off Design for Superior Maneuverability</li> <li>Ideal for Low Ceilings, Tight Spaces, and Detail Work</li> <li>Stainless Steel Side Plates and Cable Drum</li> <li>Smooth 6-Wheel Cutting Sleeve with Roller Chain</li> <li>Warm-to-Touch Carbon Fiber Body</li> <li>Knurled Grip Area for Enhanced Control</li> <li>Compatible with Predator Removable Taper Head System</li> <li>Machined in Canada in Our State-of-the-Art Facility</li> </ul>",,,taxable,,1,,,0,0,10,,,,1,,,526.00,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Automatic Taping Tools, C1SPBODY, Columbia, bazooka, carbon fiber, colombia, predator, taper",,,,,,,,,,,0,Columbia,,,,,,,,,,,,,,,,C1SPBODY,,
simple,C1TBPBODY,,Columbia One Tall Boy Predator Automatic Taper Body (Head Not Included) - [C1TBPBODY],1,0,visible,"Built for finishers who need maximum reach without added weight, the Tall Boy Predator Body brings full-height performance to the world’s first carbon fiber taper. Crafted from an ultra-lightweight, dent-proof carbon fiber shell, it delivers exceptional control, reduced fatigue, and a warm-to-the-touch feel in any e...","<p>Built for finishers who need maximum reach without added weight, the Tall Boy Predator Body brings full-height performance to the world’s first carbon fiber taper. Crafted from an ultra-lightweight, dent-proof carbon fiber shell, it delivers exceptional control, reduced fatigue, and a warm-to-the-touch feel in any environment.</p> <p>Designed specifically for overhead and long-run taping, the Tall Boy Predator Body offers superior balance and glide, making it ideal for high ceilings, vertical runs, and commercial work. This body is fully compatible with the Predator removable taper head system — but does not include a head, allowing you to pair it with the exact configuration you need.</p> <p>Stainless steel side plates and a corrosion-resistant cable drum ensure long-term durability, while the smooth six-wheel cutting sleeve provides consistent tracking and dependable grip. The extended pull ring gives confident reach at elevation, making every stroke efficient and controlled.</p> <p>Engineered for pros who demand precision and reach, the Tall Boy Predator Body Only is ready to elevate your taping setup.</p> <h3>Features</h3> <ul> <li><strong>Body Only – Taper Head Not Included</strong></li> <li>Ultra-Lightweight Carbon Fiber Construction</li> <li>Designed for Tall / High-Reach Automatic Taping</li> <li>Stainless Steel Side Plates and Cable Drum</li> <li>Smooth 6-Wheel Cutting Sleeve with Roller Chain</li> <li>Warm-to-Touch Carbon Fiber Body</li> <li>Knurled Grip Area with Extended Pull Ring</li> <li>Compatible with Predator Removable Taper Head System</li> <li>Machined in Canada in Our State-of-the-Art Facility</li> </ul>",,,taxable,,1,,,0,0,10,,,,1,,,661.00,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Automatic Taping Tools, C1TBPBODY, Columbia, bazooka, carbon fiber, colombia, predator, taper",,,,,,,,,,,0,Columbia,,,,,,,,,,,,,,,,C1TBPBODY,,
simple,CBNCR,,Columbia Outside Bead Bullnose Corner Roller - [CBNCR],1,0,visible,The new Columbia Taping Tools Outside Bullnose Cornerbead Roller squares up tape-on cornerbead and applies even pressure as you roll the bead in place. *Does not Include Handle,<p>The new Columbia Taping Tools Outside Bullnose Cornerbead Roller squares up tape-on cornerbead and applies even pressure as you roll the bead in place. *Does not Include Handle<br/></p>,,,taxable,,1,,,0,0,3,,,,1,,,64.00,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Automatic Taping Tools, Columbia, bullnose roller, colombia, corner roller, outside bead bullnose, semi automatic",,,,,,,,,,,0,Columbia,,,,,,,,,,,,,,,,CBNCR,,
simple,COBCR,,Columbia Outside Bead Corner Roller - [COBCR],1,0,visible,The new Columbia Taping Tools Outside 90 Degree Cornerbead Roller squares up tape-on cornerbead and applies even pressure as you roll the bead in place. *Does not Include Handle,<p>The new Columbia Taping Tools Outside 90 Degree Cornerbead Roller squares up tape-on cornerbead and applies even pressure as you roll the bead in place. *Does not Include Handle<br/></p>,,,taxable,,1,,,0,0,3,,,,1,,,60.00,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Automatic Taping Tools, Columbia, cobcr, colombia, corner roller, ouside corner roller, outside bead, semi automatic",,,,,,,,,,,0,Columbia,,,,,,,,,,,,,,,,COBCR,,
variable,COL-COLUMBIA-PLASTIC-MUD-HEAD-APPLICATOR,,"Columbia Plastic Mud Head Applicator - [IA90, OA90, FMH]",1,0,visible,"Proportionate grooves give you a consistent mud distribution on the wall and speeds up the pre-filling process. Made out of UHMW, the strong durable design makes these Mud Heads the best on the market.","<p>Proportionate grooves give you a consistent mud distribution on the wall and speeds up the pre-filling process. Made out of UHMW, the strong durable design makes these Mud Heads the best on the market.<br/></p> <h4>Features</h4> <ul> <li>Available in Inside 90°, Outside 90° and L-Trim shapes</li> <li>Quick release clip</li> <li>Channeled grooves for evenly dispersed mud and controlled flow</li> <li>Long lasting, durable and strong</li> <li>Machined using top quality Ultra High Molecular Weight materials</li> <li>Machined in our state of the art facility in Canada</li> </ul>",,,taxable,,1,,,0,0,,,,,1,,,,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,"Columbia, FMH, IA90, OA90, Semi Automatic Taping Tools, applicator, colombia, compound applicator, mud head, plastic applicator",,,,,,,,,,,0,Columbia,Type,Inside 90° | Outside 90° | L-Trim,1,1,1,,,,,,,,,,,"IA90, OA90, FMH",,
variation,IA90,,Columbia Plastic Mud Head Applicator - [IA90],1,0,visible,,,,,taxable,,1,,,0,0,1,,,,1,,,98.00,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,"Columbia, FMH, IA90, OA90, Semi Automatic Taping Tools, applicator, colombia, compound applicator, mud head, plastic applicator",,,,,COL-COLUMBIA-PLASTIC-MUD-HEAD-APPLICATOR,,,,,,1,Columbia,Type,Inside 90°,,1,1,,,,,,,,,,,IA90,,
variation,OA90,,Columbia Plastic Mud Head Applicator - [OA90],1,0,visible,,,,,taxable,,1,,,0,0,1,,,,1,,,98.00,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,"Columbia, FMH, IA90, OA90, Semi Automatic Taping Tools, applicator, colombia, compound applicator, mud head, plastic applicator",,,,,COL-COLUMBIA-PLASTIC-MUD-HEAD-APPLICATOR,,,,,,2,Columbia,Type,Outside 90°,,1,1,,,,,,,,,,,OA90,,
variation,FMH,,Columbia Plastic Mud Head Applicator - [FMH],1,0,visible,,,,,taxable,,1,,,0,0,1,,,,1,,,98.00,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,"Columbia, FMH, IA90, OA90, Semi Automatic Taping Tools, applicator, colombia, compound applicator, mud head, plastic applicator",,,,,COL-COLUMBIA-PLASTIC-MUD-HEAD-APPLICATOR,,,,,,3,Columbia,Type,L-Trim,,1,1,,,,,,,,,,,FMH,,
simple,CPFP,,Columbia PowerFill 3.5 Pro Series Cordless Loading Pump - [CPFP],1,0,visible,Columbia Tools has partnered with Graco to bring you a Columbia Tools branded version of their already successful cordless powered loading pump for Columbia customers. The Columbia X Graco PowerFill is designed to fill all automatic taping and finishing tools with ease. The PowerFill system completely eliminates the...,"<p>Columbia Tools has partnered with Graco to bring you a Columbia Tools branded version of their already successful cordless powered loading pump for Columbia customers. The Columbia X Graco PowerFill is designed to fill all automatic taping and finishing tools with ease. The PowerFill system completely eliminates the need for manual pumping, allowing you to fill with just the push of a button.</p> <p>Say Goodbye to Hand Pumping. The single-button pumping mechanism reduces fatigue and minimizes the risk of injury associated with manual pumps. With a flow rate of up to 3.5 gpm, you can fill tools lightning-fast, and with the capability to pump up to 55 gallons on a single battery charge, you’ll have all-day performance. Plus, it’s programmable to automatically refill tools with Precision Fill.</p> <p><strong> * <em>Bucket not included. </em></strong></p> <h3>Features</h3> <ul> <li>SmartControl Pro with Programmable Precision Fill: Automatically refills your tools to your preset level.</li> <li>One Button Pumping: Eliminates fatigue and potential injuries.</li> <li>Hands-Free Continuous Run Mode: Ideal for transferring large quantities of material or self-cleaning.</li> <li>Hi-Rise Fill Tube: Allows you to fill tools while standing upright, protecting your back and reducing fatigue. The tube rotates to position the outlet where needed, including above buckets to save space and contain drips.</li> <li>Includes Filler Attachments: Designed for angle and flat boxes.</li> </ul> <p><strong>Powerstroke Pump</strong></p> <ul> <li>4X Life vs. Manual Pumps: Built for exceptional durability.</li> <li>Fastest Tool Fills: Pumps up to 3.5 gpm for efficient filling.</li> <li>Maintenance Free: Tool-less access for easy cleaning of the pump cylinder, inlet, and filter.<br/> </li> </ul> <p><strong>ProConnect Pump and Removable Powerhead</strong></p> <ul> <li> <p>No-Tools Pump and Powerhead Removal: Easily detach the powerhead for storage and quick cleaning.</p> </li> </ul> <p><strong>Powered by DEWALT®</strong></p> <ul> <li> <p>Compatible with any 20V MAX Lithium-Ion DEWALT Battery: Pumps up to 55 gallons per charge for reliable all-day use.</p> </li> </ul> <p><strong>Adjustable Bucket Stabilizer</strong></p> <ul> <li>No-Tools Adjustment: Fits most buckets and containers.</li> <li>Oversized Foot Bracket and Stabilizer Arm: Keeps the pump secure and stable.</li> <li>Convertible Outlet: Change from right to left-sided pump outlet in minutes.</li> </ul>",,,taxable,,1,,,0,0,17,,,,1,,,1473.00,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"26B418, Automatic Taping Tools, CPFP, Columbia, Graco, automatic loading pump, loading pump, mud pump, power fill, powerfill",,,,,,,,,,,0,Columbia,,,,,,,,,,,,,,,,CPFP,,
simple,CPFGN,,Columbia Powerfill 5 Gallon Taper Gooseneck Fill Tube - [CPFGN],1,0,visible,Add this to a Standard Series PowerFill 3.5 to easily fill automatic taping tools.,<p>Add this to a Standard Series PowerFill 3.5 to easily fill automatic taping tools.</p>,,,taxable,,1,,,0,0,10,,,,1,,,275.00,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Automatic Taping Tools, CPFGN, Columbia, goose neck, gooseneck",,,,,,,,,,,0,Columbia,,,,,,,,,,,,,,,,CPFGN,,
simple,PCLT42,,Columbia Predator Cam Lock Tube - [PCLT42],1,0,visible,The Columbia Predator Cam Lock Tube is so simple and so positive we would not recommend using any other tube when it comes to fast set compounds.,<p>The Columbia Predator Cam Lock Tube is so simple and so positive we would not recommend using any other tube when it comes to fast set compounds. </p> <h3>Features</h3> <ul> <li>Quick remove bottom for complete cleaning</li> <li>Hand made from U.S. aluminum and carbon fiber</li> <li>Machined in our state of the art facility in Canada</li> </ul> <h3>Carbon Fiber</h3> <ul> <li>Handmade from Carbon Fiber</li> <li>Significantly lighter</li> <li>Dent proof/high stiffness and strength</li> <li>Stable temperature and remains warm to the touch</li> <li>Additional grip compared to aluminum</li> </ul>,,,taxable,,1,,,0,0,5,,,,1,,,290.00,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,"Columbia, PCLT42, Semi Automatic Taping Tools, cam lock tube, carbon fiber, compound tube, predator, semi automatic, syringe",,,,,,,,,,,0,Columbia,,,,,,,,,,,,,,,,PCLT42,,
simple,COLATBDL2,,Columbia Predator Combo Set with Bonus Hand Tool Set - [COLATBDL2],1,0,visible,The Predator (PTAPER),"<p><strong>The Predator (PTAPER)</strong></p> <p>The Predator is the world’s first Carbon Fiber Taper and the benefits that come with this are endless. The Columbia Taper is a precision built tool that has been perfected over 38 years, but now it is also significantly lighter than all other tapers on the market and dent proof. This tool will tape flats and angles effortlessly year after year. From less drag in the corners to our easy to remove cap for cleaning, this tool will not let you down. Stainless steel side plates and cable drum and creaser arms offer a lifetime of corrosion resistance. The 6 wheel cutting sleeve gives the operator a smoother glide, superb grip and the pull ring is great for higher ceilings. The Predator maintains it’s stable temperature and remains warm to the touch. Every taper comes standard with an adjustable brake and quick release for tape changing. The Titanium pull rod is just another detail that adds style and edge to this innovative, unique taper. If you are serious about taping and care how a taper feels and performs this is the one for you.</p> <ul> <li>Handmade from Carbon Fiber and steel components</li> <li>Titanium pull rod</li> <li>Adjustable Brake</li> <li>Quick release for tape changing</li> <li>Zero Drag system for corners</li> <li>Knurled sleeve with pull ring</li> <li>Stainless steel side plates, creaser arms and cable drum</li> </ul> <h4>Hot Mud Pump (HMP)</h4> <p>Cleaning a Pump doesn’t get any easier than this! Columbia Quick-Clean Mud Pumps feature quick-release clamps on head that allow for easy removal of the pump tube from the head. This allows for easy and quick cleaning of the entire unit, and is especially useful when using fast setting joint compound (a.k.a Hot Mud.) All Mud Pumps are available in Canadian versions which offer a longer tube length allowing for use in “Canadian Style” pails. Our Pumps are built to exacting air-tight standards making them the easiest to pump and prime. They’re fabricated with an anodized aluminum cylinder, durable stainless steel shaft, a precision machined cast aluminum head, and a tough, smooth solid aluminum leg. Whether you are using quick-set mud or any other type of joint compound, we have the pump for your bucket. Stainless Steel Box Filler and Gooseneck sold separately.</p> <ul> <li>Billet anodized leg is sturdy, well balanced, and easier to clean</li> <li>20 degree angled handles provides enhanced leverage resulting is less back strain and easier pumping.</li> <li>Increased Gooseneck diameter for faster filling, and solif billet tip for lifetime usage</li> <li>Gooseneck has soft-grip “taper-saver” on tube rack to increase life of Automatic Taper tube</li> <li>Billet Aluminium link on Mud Pump will not wear or crack like competitors cast aluminium parts</li> <li>Pumps feature soft grip handle and billet aluminium ball end for comfort.</li> </ul> <p><strong>Box Filler (BF)</strong></p> <p><strong>Gooseneck (GN)</strong></p>",,,taxable,,1,,,0,0,,,,,1,,,2155.00,Drywall Finishing Tools > Columbia > Automatic Taping Tools,"Automatic Taping Tools, Columbia, Columbia Set, auto taper, bazooka, colombia, predator, set, taper combo",,,,,,,,,,,0,Columbia,,,,,,,,,,,,,,,,COLATBDL2,,
simple,PCMT42,,Columbia Predator Compound Tube - [PCMT42],1,0,visible,"Columbia Compound Tubes have taken the market place by storm. Finally a high quality long lasting tube that is easy to push. We have had many customers, after trying this tube, report back that they changed over their entire fleet. Now we introduce the carbon fiber version.","<p>Columbia Compound Tubes have taken the market place by storm. Finally a high quality long lasting tube that is easy to push. We have had many customers, after trying this tube, report back that they changed over their entire fleet. Now we introduce the carbon fiber version.</p> <h3>Features </h3> <ul> <li>A combination of factors result in the compound being easily pushed through your tools</li> <li>Stainless steel ball</li> <li>Hand made from U.S. aluminum and carbon fiber</li> <li>Machined in our state of the art facility in Canada</li> </ul> <h3>Carbon Fiber</h3> <ul> <li>Handmade from Carbon Fiber</li> <li>Significantly lighter</li> <li>Dent proof/high stiffness and strength</li> <li>Stable temperature and remains warm to the touch</li> <li>Additional grip compared to aluminum</li> </ul>",,,taxable,,1,,,0,0,5,,,,1,,,217.00,Drywall Finishing Tools > Columbia > Semi-Automatic Taping Tools,"Columbia, PCMT42, Semi Automatic Taping Tools, carbon fiber, compound tube, predator, semi automatic, syringe",,,,,,,,,,,0,Columbia,,,,,,,,,,,,,,,,PCMT42,,
