category_name,family_name,family_type,attribute_name,member_count,member_titles,member_urls,variant_count,variants_json
Corner Rollers,Outside Corner Roller,grouped-pages,Profile,4,Standard Outside Corner Roller | Bullnose Outside Corner Roller | Wide Outside Corner Roller | European/Micro Outside Corner Roller,https://www.columbiatools.com/columbia-tools/corner-rollers/outside-corner-rollers/ | https://www.columbiatools.com/columbia-tools/corner-rollers/bullnose-outside-corner-roller/ | https://www.columbiatools.com/columbia-tools/corner-rollers/wide-outside-corner-roller/ | https://www.columbiatools.com/columbia-tools/corner-rollers/european-micro-outside-corner-roller/,4,"[{""label"": ""Standard"", ""sku"": ""COBCR"", ""url"": ""https://www.columbiatools.com/columbia-tools/corner-rollers/outside-corner-rollers/""}, {""label"": ""Bullnose"", ""sku"": ""CBNCR"", ""url"": ""https://www.columbiatools.com/columbia-tools/corner-rollers/bullnose-outside-corner-roller/""}, {""label"": ""Wide"", ""sku"": ""COBCRW"", ""url"": ""https://www.columbiatools.com/columbia-tools/corner-rollers/wide-outside-corner-roller/""}, {""label"": ""European/Micro"", ""sku"": ""COBCRE"", ""url"": ""https://www.columbiatools.com/columbia-tools/corner-rollers/european-micro-outside-corner-roller/""}]"
Corner Tools,Throttle Box,grouped-pages,Size,2,7 Inch Throttle Box | 8 Inch Throttle Box,https://www.columbiatools.com/columbia-tools/corner-boxes/7-inch-throttle-box/ | https://www.columbiatools.com/columbia-tools/corner-boxes/8-throttle-box/,2,"[{""label"": ""7\"""", ""sku"": ""7CFB"", ""url"": ""https://www.columbiatools.com/columbia-tools/corner-boxes/7-inch-throttle-box/""}, {""label"": ""8\"""", ""sku"": ""8CFB"", ""url"": ""https://www.columbiatools.com/columbia-tools/corner-boxes/8-throttle-box/""}]"
Finishing Boxes,Automatic Flat Boxes,single-page,,1,Automatic Flat Boxes,https://www.columbiatools.com/columbia-tools/finishing-boxes/automatic-flat-boxes/,0,[]
Finishing Boxes,Fat Boy Boxes,single-page,Size,1,Fat Boy Boxes,https://www.columbiatools.com/columbia-tools/finishing-boxes/fat-boy-boxes/,3,"[{""label"": ""8\"""", ""sku"": ""8FBB""}, {""label"": ""10\"""", ""sku"": ""10FBB""}, {""label"": ""12\"""", ""sku"": ""12FBB""}]"
Finishing Boxes,Flat Boxes,single-page,Size,1,Flat Boxes,https://www.columbiatools.com/columbia-tools/finishing-boxes/flat-boxes/,6,"[{""label"": ""5.5\"""", ""sku"": ""5.5FFB""}, {""label"": ""7\"""", ""sku"": ""7FFB""}, {""label"": ""8\"""", ""sku"": ""8FFB""}, {""label"": ""10\"""", ""sku"": ""10FFB""}, {""label"": ""12\"""", ""sku"": ""12FFB""}, {""label"": ""14\"""", ""sku"": ""14FFB""}]"
Finishing Boxes,Inside Track Conversion Kits,single-page,,1,Inside Track Conversion Kits,https://www.columbiatools.com/columbia-tools/finishing-boxes/inside-track-boxes/,1,"[{""label"": ""Inside Track Conversion Kits"", ""sku"": ""ITC-K""}]"
Grooved Mud Heads,Flat Grooved Mud Heads,single-page,,1,Flat Grooved Mud Heads,https://www.columbiatools.com/columbia-tools/grooved-mud-heads/flat-grooved-mud-heads/,1,"[{""label"": ""Flat Grooved Mud Heads"", ""sku"": ""FMH""}]"
Grooved Mud Heads,Inside 90 Grooved Mud Heads,single-page,,1,Inside 90 Grooved Mud Heads,https://www.columbiatools.com/columbia-tools/grooved-mud-heads/inside-90-grooved-mud-heads/,1,"[{""label"": ""Inside 90 Grooved Mud Heads"", ""sku"": ""IA90""}]"
Grooved Mud Heads,Outside 90 Grooved Mud Heads,single-page,,1,Outside 90 Grooved Mud Heads,https://www.columbiatools.com/columbia-tools/grooved-mud-heads/outside-90-grooved-mud-heads/,0,[]
Hand Tools,Bucket Scoops,single-page,Size,1,Bucket Scoops,https://www.columbiatools.com/columbia-tools/hand-tools/three-way-knives-copy/,3,"[{""label"": ""6” One Piece Bucket Scoop (stainless steel)"", ""sku"": ""OPBS""}, {""label"": ""6” Comfort Grip Bucket Scoop (stainless steel)"", ""sku"": ""CBS2K""}, {""label"": ""6″ Cork Handle Bucket Scoop (stainless steel)"", ""sku"": ""BCNC""}]"
