manufacturer,part_number,product_name,description_text,features,image_urls
TapeTech,050110F,Driver Shaft,Driver Shaft for Automatic Drywall Taper,,https://s3.amazonaws.com/tswfastcomfiles/product/TTT050110F_L.jpg
TapeTech,052121F,Driver Shaft,Driver Shaft,,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT052121F_M.jpg
TapeTech,804003F,Grip Assembly For Box Handle,Replacement Grip Assembly for TapeTech Box Handles,,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT804003F_M.jpg
TapeTech,808015F,"Hing Assy., Universal With Serial Number","Hing Assy., Universal With Serial Number",,https://s3.amazonaws.com/tswfastcomfiles/product/TTT808015F_M.jpg
TapeTech,880053,Lock Block,Lock Block,,https://s3.amazonaws.com/tswfastcomfiles/product/TTT880053_M.jpg
TapeTech,882013,Locking Pin,Locking Pin,,https://s3.amazonaws.com/tswfastcomfiles/product/TTT882013_M.jpg
TapeTech,16TT90,Mud Head 90 Degree Inside Corner Finisher,Mud heads apply a base coat of compound prior to installation of corner bead and make installing corner bead simpler and cleaner than ever. Features: EasyClean design Works with nearly all shapes of corner bead Handles are sold separately and are required for use,EasyClean design | Works with nearly all shapes of corner bead | Handles are sold separately and are required for use,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT16TT90_M.jpg
TapeTech,609015,Nut Block,Replacement nut block for TapeTech Nail Spotter -- 63TT (2 inch) & 68TT (3 inch),,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT609015_M.jpg
TapeTech,149028,Nylon Bushing #6,Nylon Bushing #6,,https://s3.amazonaws.com/tswfastcomfiles/product/TTT149028_M.jpg
TapeTech,149032,"O-Ring, Buna, 2-230","O RING, BUNA, 2-230",,https://s3.amazonaws.com/gmscom/master/media-common/product/149032_med.jpg
TapeTech,052403,PLUNGER STOP LOCKING STRAP,PLUNGER STOP LOCKING STRAP,,https://s3.amazonaws.com/tswfastcomfiles/product/TTT052403_L.jpg
TapeTech,054096F,Short Creaser Assembly,Short Creaser Assembly,,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT054096F_M.jpg
TapeTech,051105,Side Plate- Stainless Steel,Replacement Stainless Steel Side Plate for Tapetech 04TT Automatic Taper,,https://s3.amazonaws.com/gmscom/master/media-common/product/TTT051105_M.jpg
TapeTech,632026,"Spring, Nail Spotter","Spring, Nail Spotter Part # 632026 to 2"" EZ Clean Nail Spotter",,https://s3.amazonaws.com/kodarisfiles2/images/product/product_image_blank_2.png
