group_id,canonical_file,file_name,duplicate_type,file_size,width,height,rmse_to_canonical,p999_to_canonical,already_hardlinked
group-0027,tapetech-050152-01.webp,tapetech-050152-01.webp,canonical,5976,500,500,0.0,0,no
group-0027,tapetech-050152-01.webp,tapetech-050152-02.webp,duplicate,5934,500,500,0.713724,7,no
group-0028,tapetech-050214-01.webp,tapetech-050214-01.webp,canonical,9368,500,500,0.0,0,no
group-0028,tapetech-050214-01.webp,tapetech-050214-02.webp,duplicate,9442,500,500,0.859361,7,no
group-0029,tapetech-050226-01.webp,tapetech-050226-01.webp,canonical,1070,500,500,0.0,0,no
group-0029,tapetech-050226-01.webp,tapetech-050226-02.webp,duplicate,1066,500,500,0.173571,3,no
group-0030,tapetech-050232-01.webp,tapetech-050232-01.webp,canonical,7970,500,500,0.0,0,no
group-0030,tapetech-050232-01.webp,tapetech-050232-02.webp,duplicate,8016,500,500,0.8318,7,no
group-0031,tapetech-050235-01.webp,tapetech-050235-01.webp,canonical,5056,500,500,0.0,0,no
group-0031,tapetech-050235-01.webp,tapetech-050235-02.webp,duplicate,5082,500,500,0.617145,7,no
group-0032,tapetech-050240-01.webp,tapetech-050240-01.webp,canonical,8984,500,500,0.0,0,no
group-0032,tapetech-050240-01.webp,tapetech-050240-02.webp,duplicate,8966,500,500,0.906446,7,no
group-0033,tapetech-050242F-01.webp,tapetech-050242F-01.webp,canonical,10546,500,500,0.0,0,no
group-0033,tapetech-050242F-01.webp,tapetech-050242F-02.webp,duplicate,10542,500,500,0.945999,7,no
group-0034,tapetech-050243F-01.webp,tapetech-050243F-01.webp,canonical,4688,500,500,0.0,0,no
group-0034,tapetech-050243F-01.webp,tapetech-050243F-02.webp,duplicate,4740,500,500,0.625455,6,no
group-0035,tapetech-050254-01.webp,tapetech-050254-01.webp,canonical,31438,1200,1200,0.0,0,no
group-0035,tapetech-050254-01.webp,tapetech-050254-02.webp,duplicate,31612,1200,1200,0.604537,7,no
group-0036,tapetech-050410B-01.webp,tapetech-050410B-01.webp,canonical,41738,1200,1200,0.0,0,no
group-0036,tapetech-050410B-01.webp,tapetech-050410B-02.webp,duplicate,42068,1200,1200,0.726141,7,no
group-0037,tapetech-050500-01.webp,tapetech-050500-01.webp,canonical,6748,1200,1200,0.0,0,no
group-0037,tapetech-050500-01.webp,tapetech-050500-02.webp,duplicate,6810,1200,1200,0.25467,4,no
group-0038,tapetech-050577-01.webp,tapetech-050577-01.webp,canonical,13140,1200,1200,0.0,0,no
group-0038,tapetech-050577-01.webp,tapetech-050577-02.webp,duplicate,13192,1200,1200,0.387279,5,no
group-0039,tapetech-052121F-01.webp,tapetech-052121F-01.webp,canonical,7198,500,500,0.0,0,no
group-0039,tapetech-052121F-01.webp,tapetech-052121F-02.webp,duplicate,7312,500,500,0.799592,8,no
group-0040,tapetech-052400B-01.webp,tapetech-052400B-01.webp,canonical,26200,1200,1200,0.0,0,no
group-0040,tapetech-052400B-01.webp,tapetech-052400B-02.webp,duplicate,26240,1200,1200,0.556824,6,no
group-0041,tapetech-054032F-01.webp,tapetech-054032F-01.webp,canonical,39890,1200,1200,0.0,0,no
group-0041,tapetech-054032F-01.webp,tapetech-054032F-02.webp,duplicate,39834,1200,1200,0.775254,7,no
group-0042,tapetech-054059F-01.webp,tapetech-054059F-01.webp,canonical,6404,500,500,0.0,0,no
group-0042,tapetech-054059F-01.webp,tapetech-054059F-02.webp,duplicate,6426,500,500,0.727968,6,no
group-0043,tapetech-054095F-01.webp,tapetech-054095F-01.webp,canonical,7566,500,500,0.0,0,no
group-0043,tapetech-054095F-01.webp,tapetech-054095F-02.webp,duplicate,7610,500,500,0.778248,8,no
group-0044,tapetech-054096F-01.webp,tapetech-054096F-01.webp,canonical,6514,500,500,0.0,0,no
group-0044,tapetech-054096F-01.webp,tapetech-054096F-02.webp,duplicate,6550,500,500,0.723476,7,no
group-0045,tapetech-054111-01.webp,tapetech-054111-01.webp,canonical,2428,500,500,0.0,0,no
group-0045,tapetech-054111-01.webp,tapetech-054111-02.webp,duplicate,2416,500,500,0.3896,5,no
group-0046,tapetech-054116F-01.webp,tapetech-054116F-01.webp,canonical,4622,500,500,0.0,0,no
group-0046,tapetech-054116F-01.webp,tapetech-054116F-02.webp,duplicate,4642,500,500,0.597711,7,no
group-0047,tapetech-056133-01.webp,tapetech-056133-01.webp,canonical,19752,1200,1200,0.0,0,no
