brand,image_file,extension,image_body,normalized_key,sequence,assigned_product_count,assigned_skus,assigned_types,assignment_statuses,assignment_methods,coverage_status,suggested_product_count,suggested_skus,suggested_types,suggested_names,suggestion_scores
columbia,columbia-40-01.webp,.webp,40,40,1,0,,,,,orphan,0,,,,
columbia,columbia-41-01.webp,.webp,41,41,1,0,,,,,orphan,0,,,,
columbia,columbia-41-02.webp,.webp,41,41,2,0,,,,,orphan,0,,,,
columbia,columbia-42-01.webp,.webp,42,42,1,0,,,,,orphan,0,,,,
columbia,columbia-42A-02.webp,.webp,42A,42a,2,0,,,,,orphan,0,,,,
columbia,columbia-48-01.webp,.webp,48,48,1,0,,,,,orphan,0,,,,
columbia,columbia-5-01.webp,.webp,5,5,1,0,,,,,orphan,0,,,,
columbia,columbia-5-2-01.webp,.webp,5-2,5-2,1,0,,,,,orphan,0,,,,
columbia,columbia-5-3-01.webp,.webp,5-3,5-3,1,0,,,,,orphan,0,,,,
columbia,columbia-5-5-01.webp,.webp,5-5,5-5,1,0,,,,,orphan,0,,,,
columbia,columbia-5-5FFB-01.webp,.webp,5-5FFB,5-5ffb,1,2,COL-FLAT-FINISHING-BOXES | 5-5FFB,variable | variation,mapped | mapped,child_union | direct_sku,mapped,1,5-5FFB,variation,"Columbia Flat Finishing Box -  5.5""",100
columbia,columbia-5-5FFB-02.webp,.webp,5-5FFB,5-5ffb,2,2,COL-FLAT-FINISHING-BOXES | 5-5FFB,variable | variation,mapped | mapped,child_union | direct_sku,mapped,1,5-5FFB,variation,"Columbia Flat Finishing Box -  5.5""",100
columbia,columbia-6-01.webp,.webp,6,6,1,0,,,,,orphan,0,,,,
columbia,columbia-6-02.webp,.webp,6,6,2,0,,,,,orphan,0,,,,
columbia,columbia-63-01.webp,.webp,63,63,1,0,,,,,orphan,0,,,,
columbia,columbia-7-01.webp,.webp,7,7,1,0,,,,,orphan,0,,,,
columbia,columbia-72-01.webp,.webp,72,72,1,0,,,,,orphan,0,,,,
columbia,columbia-7A-02.webp,.webp,7A,7a,2,0,,,,,orphan,0,,,,
columbia,columbia-7CFB-01.webp,.webp,7CFB,7cfb,1,2,COL-THROTTLE-BOX | 7CFB,variable | variation,mapped | mapped,child_union | direct_sku,mapped,1,7CFB,variation,"Columbia Throttle Box -  7""",100
columbia,columbia-7CFB-02.webp,.webp,7CFB,7cfb,2,2,COL-THROTTLE-BOX | 7CFB,variable | variation,mapped | mapped,child_union | direct_sku,mapped,1,7CFB,variation,"Columbia Throttle Box -  7""",100
columbia,columbia-7CFB-03.webp,.webp,7CFB,7cfb,3,2,COL-THROTTLE-BOX | 7CFB,variable | variation,mapped | mapped,child_union | direct_sku,mapped,1,7CFB,variation,"Columbia Throttle Box -  7""",100
columbia,columbia-8-01.webp,.webp,8,8,1,0,,,,,orphan,0,,,,
columbia,columbia-8-02.webp,.webp,8,8,2,0,,,,,orphan,0,,,,
columbia,columbia-8CFB-01.webp,.webp,8CFB,8cfb,1,2,COL-THROTTLE-BOX | 8CFB,variable | variation,mapped | mapped,child_union | direct_sku,mapped,1,8CFB,variation,"Columbia Throttle Box -  8""",100
columbia,columbia-8CFB-02.webp,.webp,8CFB,8cfb,2,2,COL-THROTTLE-BOX | 8CFB,variable | variation,mapped | mapped,child_union | direct_sku,mapped,1,8CFB,variation,"Columbia Throttle Box -  8""",100
columbia,columbia-8CFB-03.webp,.webp,8CFB,8cfb,3,2,COL-THROTTLE-BOX | 8CFB,variable | variation,mapped | mapped,child_union | direct_sku,mapped,1,8CFB,variation,"Columbia Throttle Box -  8""",100
columbia,columbia-8FBB-01.webp,.webp,8FBB,8fbb,1,0,,,,,orphan,2,8FBBA | 8FBBB,variation | variation,"Columbia Automatic Fat Boy Finishing Box -  8"" | Columbia Fat Boy Finishing Box -  8""",85 | 85
columbia,columbia-8FBB-02.webp,.webp,8FBB,8fbb,2,0,,,,,orphan,2,8FBBA | 8FBBB,variation | variation,"Columbia Automatic Fat Boy Finishing Box -  8"" | Columbia Fat Boy Finishing Box -  8""",85 | 85
columbia,columbia-9-10-01.webp,.webp,9-10,9-10,1,0,,,,,orphan,0,,,,
columbia,columbia-9-12-01.webp,.webp,9-12,9-12,1,0,,,,,orphan,0,,,,
columbia,columbia-9-14-01.webp,.webp,9-14,9-14,1,0,,,,,orphan,0,,,,
columbia,columbia-9-5-5-01.webp,.webp,9-5-5,9-5-5,1,0,,,,,orphan,0,,,,
columbia,columbia-9-7-01.webp,.webp,9-7,9-7,1,0,,,,,orphan,0,,,,
columbia,columbia-9-8-01.webp,.webp,9-8,9-8,1,0,,,,,orphan,0,,,,
columbia,columbia-AH1-2-02.webp,.webp,AH1-2,ah1-2,2,1,AH1-2,simple,mapped,direct_sku,mapped,3,AH1-2 | AH-1-3-5IN | AH1-2-5,simple | simple | simple,"Head Casting - 2"" - | AH1 - 3.5 - Head Casting - 3.5"" - | Head Casting - 2.5"" -",100 | 85 | 85
columbia,columbia-AH1-2-5-02.webp,.webp,AH1-2-5,ah1-2-5,2,1,AH1-2-5,simple,mapped,direct_sku,mapped,3,AH1-2-5 | AH-1-3-5IN | AH1-2,simple | simple | simple,"Head Casting - 2.5"" - | AH1 - 3.5 - Head Casting - 3.5"" - | Head Casting - 2"" -",100 | 85 | 85
columbia,columbia-AH1-3-02.webp,.webp,AH1-3,ah1-3,2,1,AH1-3,simple,mapped,direct_sku,mapped,3,AH1-3 | AH-1-3-5IN | AH1-3-5,simple | simple | simple,"Head Casting - 3"" - | AH1 - 3.5 - Head Casting - 3.5"" - | Head Casting - 3.5"" -",100 | 85 | 85
columbia,columbia-AH1-3-5-02.webp,.webp,AH1-3-5,ah1-3-5,2,1,AH1-3-5,simple,mapped,direct_sku,mapped,3,AH1-3-5 | AH-1-3-5IN | AH1-3,simple | simple | simple,"Head Casting - 3.5"" - | AH1 - 3.5 - Head Casting - 3.5"" - | Head Casting - 3"" -",100 | 85 | 85
columbia,columbia-AH18-02.webp,.webp,AH18,ah18,2,1,AH18,simple,mapped,direct_sku,mapped,2,AH18 | AH-1-3-5IN,simple | simple,"Socket Wear Cap - | AH1 - 3.5 - Head Casting - 3.5"" -",100 | 85
columbia,columbia-AH1A-02.webp,.webp,AH1A,ah1a,2,1,AH1A,simple,mapped,direct_sku,mapped,2,AH1A | AH-1-3-5IN,simple | simple,"Spring Housing - | AH1 - 3.5 - Head Casting - 3.5"" -",100 | 85
columbia,columbia-AH1B-02.webp,.webp,AH1B,ah1b,2,1,AH1B,simple,mapped,direct_sku,mapped,2,AH1B | AH-1-3-5IN,simple | simple,"Return Spring - | AH1 - 3.5 - Head Casting - 3.5"" -",100 | 85
columbia,columbia-AH3-2-02.webp,.webp,AH3-2,ah3-2,2,1,AH3-2,simple,mapped,direct_sku,mapped,3,AH3-2 | AH-3-3IN | AH3-2-5,simple | simple | simple,"2"" Top Blade - | AH3 - 3 - 3"" Top Blade - | 2.5"" Top Blade -",100 | 85 | 85
