"old_parent_sku","old_variation_sku","old_variation_name","new_simple_parent_sku","new_simple_sku","new_simple_name","available"
"COL-COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","FA311__COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","FA311 1/4-28 X 1/2"" Socket Head","COL-FA311-1-4-28-X-1-2-SOCKET-HEAD","FA311__COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","FA311 1/4-28 X 1/2"" Socket Head","true"
"COL-COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","FA312__COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","FA312 - 10-24 X 1/4"" Socket Hand Set","COL-FA312-10-24-X-1-4-SOCKET-HAND-SET","FA312__COLUMBIA-180-GRIP-BOX-HANDLE-REPAIR-PARTS","FA312 - 10-24 X 1/4"" Socket Hand Set","true"
"COL-COLUMBIA-ANGLE-HEAD-BLADE-REPAIR-KIT","AHR-BK-2","Columbia Angle Head Blade Maintenance Kit - 2""","COL-COLUMBIA-ANGLE-HEAD-BLADE-MAINTENANCE-KIT-2","AHR-BK-2","Columbia Angle Head Blade Maintenance Kit - 2""","true"
"COL-COLUMBIA-ANGLE-HEAD-BLADE-REPAIR-KIT","AHR-BK-2.5","Columbia Angle Head Blade Maintenance Kit - 2.5""","COL-COLUMBIA-ANGLE-HEAD-BLADE-MAINTENANCE-KIT-2-5","AHR-BK-2.5","Columbia Angle Head Blade Maintenance Kit - 2.5""","true"
"COL-COLUMBIA-ANGLE-HEAD-BLADE-REPAIR-KIT","AHR-BK-3","Columbia Angle Head Blade Maintenance Kit - 3""","COL-COLUMBIA-ANGLE-HEAD-BLADE-MAINTENANCE-KIT-3","AHR-BK-3","Columbia Angle Head Blade Maintenance Kit - 3""","true"
"COL-COLUMBIA-ANGLE-HEAD-BLADE-REPAIR-KIT","AHR-BK-3.5","Columbia Angle Head Blade Maintenance Kit - 3.5""","COL-COLUMBIA-ANGLE-HEAD-BLADE-MAINTENANCE-KIT-3-5","AHR-BK-3.5","Columbia Angle Head Blade Maintenance Kit - 3.5""","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH1-2","AH1-2 - Head Casting -2""","COL-AH1-2-HEAD-CASTING-2","AH1-2","AH1-2 - Head Casting -2""","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH1-2.5","AH1-2.5 - Head Casting- 2.5""","COL-AH1-2-5-HEAD-CASTING-2-5","AH1-2.5","AH1-2.5 - Head Casting- 2.5""","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH1-3","AH1-3 - Head Casting -3""","COL-AH1-3-HEAD-CASTING-3","AH1-3","AH1-3 - Head Casting -3""","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH1-3.5","AH1-3.5 - Head Casting - 3.5""","COL-AH1-3-5-HEAD-CASTING-3-5","AH1-3.5","AH1-3.5 - Head Casting - 3.5""","false"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH1A","AH1A - Spring Housing","COL-AH1A-SPRING-HOUSING","AH1A","AH1A - Spring Housing","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH1B","AH1B - Return Spring","COL-AH1B-RETURN-SPRING","AH1B","AH1B - Return Spring","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH3-2","AH3-2 - 2"" Top Blade","COL-AH3-2-2-TOP-BLADE","AH3-2","AH3-2 - 2"" Top Blade","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH3-2.5","AH3-2.5 - 2.5"" Top Blade","COL-AH3-2-5-2-5-TOP-BLADE","AH3-2.5","AH3-2.5 - 2.5"" Top Blade","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH3-3","AH3-3 - 3"" Top Blade","COL-AH3-3-3-TOP-BLADE","AH3-3","AH3-3 - 3"" Top Blade","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH3-3.5","AH3-3.5 - 3.5"" Top Blade","COL-AH3-3-5-3-5-TOP-BLADE","AH3-3.5","AH3-3.5 - 3.5"" Top Blade","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH4","AH4 - Side Blade","COL-AH4-SIDE-BLADE","AH4","AH4 - Side Blade","true"
"COL-COLUMBIA-ANGLE-HEAD-REPAIR-PARTS","AH5","AH5 - Frame Retainer Clip","COL-AH5-FRAME-RETAINER-CLIP","AH5","AH5 - Frame Retainer Clip","true"
