group_id,canonical_file,file_name,is_canonical,group_size
52,tapetech-20-radius-trowel-curved-TapeTechRTC20TT-005.webp,tapetech-20-radius-trowel-straight-TapeTechRTS20TT-005.webp,0,4
52,tapetech-20-radius-trowel-curved-TapeTechRTC20TT-005.webp,tapetech-26-radius-trowel-curved-TapeTechRTC26TT-005.webp,0,4
52,tapetech-20-radius-trowel-curved-TapeTechRTC20TT-005.webp,tapetech-26-radius-trowel-straight-TapeTechRTS26TT-005.webp,0,4
53,tapetech-20-radius-trowel-curved-TapeTechRTC20TT-006.webp,tapetech-20-radius-trowel-curved-TapeTechRTC20TT-006.webp,1,4
53,tapetech-20-radius-trowel-curved-TapeTechRTC20TT-006.webp,tapetech-20-radius-trowel-straight-TapeTechRTS20TT-006.webp,0,4
53,tapetech-20-radius-trowel-curved-TapeTechRTC20TT-006.webp,tapetech-26-radius-trowel-curved-TapeTechRTC26TT-006.webp,0,4
53,tapetech-20-radius-trowel-curved-TapeTechRTC20TT-006.webp,tapetech-26-radius-trowel-straight-TapeTechRTS26TT-006.webp,0,4
54,tapetech-34-easy-finish-bent-flat-box-handle-8134TT-01.webp,tapetech-34-easy-finish-bent-flat-box-handle-8134TT-01.webp,1,4
54,tapetech-34-easy-finish-bent-flat-box-handle-8134TT-01.webp,tapetech-42-easy-finish-bent-flat-box-handle-8142TT-01.webp,0,4
54,tapetech-34-easy-finish-bent-flat-box-handle-8134TT-01.webp,tapetech-54-easy-finish-bent-flat-box-handle-8154TT-01.webp,0,4
54,tapetech-34-easy-finish-bent-flat-box-handle-8134TT-01.webp,tapetech-72-easy-finish-bent-flat-box-handle-8172TT-01.webp,0,4
55,tapetech-34-easy-finish-bent-flat-box-handle-8134TT-02.webp,tapetech-34-easy-finish-bent-flat-box-handle-8134TT-02.webp,1,4
55,tapetech-34-easy-finish-bent-flat-box-handle-8134TT-02.webp,tapetech-42-easy-finish-bent-flat-box-handle-8142TT-02.webp,0,4
55,tapetech-34-easy-finish-bent-flat-box-handle-8134TT-02.webp,tapetech-54-easy-finish-bent-flat-box-handle-8154TT-02.webp,0,4
55,tapetech-34-easy-finish-bent-flat-box-handle-8134TT-02.webp,tapetech-72-easy-finish-bent-flat-box-handle-8172TT-02.webp,0,4
56,tapetech-34-easy-finish-bent-flat-box-handle-8134TT-03.webp,tapetech-34-easy-finish-bent-flat-box-handle-8134TT-03.webp,1,4
56,tapetech-34-easy-finish-bent-flat-box-handle-8134TT-03.webp,tapetech-42-easy-finish-bent-flat-box-handle-8142TT-03.webp,0,4
56,tapetech-34-easy-finish-bent-flat-box-handle-8134TT-03.webp,tapetech-54-easy-finish-bent-flat-box-handle-8154TT-03.webp,0,4
56,tapetech-34-easy-finish-bent-flat-box-handle-8134TT-03.webp,tapetech-72-easy-finish-bent-flat-box-handle-8172TT-03.webp,0,4
57,tapetech-34-flat-box-handle-8034TT-02.webp,tapetech-34-flat-box-handle-8034TT-02.webp,1,4
57,tapetech-34-flat-box-handle-8034TT-02.webp,tapetech-42-flat-box-handle-8042TT-02.webp,0,4
57,tapetech-34-flat-box-handle-8034TT-02.webp,tapetech-54-flat-box-handle-8054TT-02.webp,0,4
57,tapetech-34-flat-box-handle-8034TT-02.webp,tapetech-72-flat-box-handle-8072TT-02.webp,0,4
58,tapetech-34-flat-box-handle-8034TT-03.webp,tapetech-34-flat-box-handle-8034TT-03.webp,1,4
58,tapetech-34-flat-box-handle-8034TT-03.webp,tapetech-42-flat-box-handle-8042TT-03.webp,0,4
58,tapetech-34-flat-box-handle-8034TT-03.webp,tapetech-54-flat-box-handle-8054TT-03.webp,0,4
58,tapetech-34-flat-box-handle-8034TT-03.webp,tapetech-72-flat-box-handle-8072TT-03.webp,0,4
59,tapetech-55-mm-cove-applicator-head-ch55tt-media-04.webp,tapetech-55-mm-cove-applicator-head-ch55tt-media-04.webp,1,4
59,tapetech-55-mm-cove-applicator-head-ch55tt-media-04.webp,tapetech-75-mm-cove-applicator-head-ch75tt-media-04.webp,0,4
59,tapetech-55-mm-cove-applicator-head-ch55tt-media-04.webp,tapetech-83-mm-cove-applicator-head-ch83tt-media-04.webp,0,4
59,tapetech-55-mm-cove-applicator-head-ch55tt-media-04.webp,tapetech-90-mm-cove-applicator-head-ch90tt-media-04.webp,0,4
60,tapetech-interchangeable-fiberglass-support-handle-FHTT-01.webp,tapetech-angle-box-w-handle-CA08-FHTT-005.webp,0,4
60,tapetech-interchangeable-fiberglass-support-handle-FHTT-01.webp,tapetech-corner-roller-w-handle-15TTE-w-Handle-05.webp,0,4
60,tapetech-interchangeable-fiberglass-support-handle-FHTT-01.webp,tapetech-fiberglass-nail-spotter-handle-FHTT-NSA-04.webp,0,4
60,tapetech-interchangeable-fiberglass-support-handle-FHTT-01.webp,tapetech-interchangeable-fiberglass-support-handle-FHTT-01.webp,1,4
61,tapetech-premium-compound-roller-with-frame-CROLL04CG-005.webp,tapetech-compound-roller-support-handle-44-79-CROLLHAN2-005.webp,0,4
61,tapetech-premium-compound-roller-with-frame-CROLL04CG-005.webp,tapetech-premium-compound-roller-with-frame-CROLL04CG-005.webp,1,4
61,tapetech-premium-compound-roller-with-frame-CROLL04CG-005.webp,tapetech-premium-compound-roller-with-frame-CROLL09CG-005.webp,0,4
61,tapetech-premium-compound-roller-with-frame-CROLL04CG-005.webp,tapetech-premium-compound-roller-with-frame-CROLL12CG-005.webp,0,4
62,tapetech-easyclean-nail-spotter-head-NS02TT-05.webp,tapetech-easyclean-nail-spotter-head-NS02TT-05.webp,1,4
62,tapetech-easyclean-nail-spotter-head-NS02TT-05.webp,tapetech-easyclean-nail-spotter-head-NS03TT-05.webp,0,4
62,tapetech-easyclean-nail-spotter-head-NS02TT-05.webp,tapetech-tt63extx1-tapetech-2-nail-spotter-w-x1-handle-NS02-w-X1-Hdl-04.webp,0,4
62,tapetech-easyclean-nail-spotter-head-NS02TT-05.webp,tapetech-tt68ext1-tapetech-3-nail-spotter-w-x1-handle-media-04.webp,0,4
63,columbia-hot-mud-pump-repair-parts-FA260-01.webp,columbia-180-grip-box-handle-repair-parts-FA260-01.webp,0,3
63,columbia-hot-mud-pump-repair-parts-FA260-01.webp,columbia-hinged-nailspotter-repair-parts-FA260-01.webp,0,3
63,columbia-hot-mud-pump-repair-parts-FA260-01.webp,columbia-hot-mud-pump-repair-parts-FA260-01.webp,1,3
64,columbia-automatic-taper-TAPER-03.webp,columbia-automatic-taper-TAPER-03.webp,1,3
64,columbia-automatic-taper-TAPER-03.webp,columbia-sawed-off-taper-39-STAPER-02.webp,0,3
64,columbia-automatic-taper-TAPER-03.webp,columbia-sawed-off-taper-39-inch-STAPER-02.webp,0,3
65,columbia-automatic-taper-TAPER-05.webp,columbia-automatic-taper-TAPER-05.webp,1,3
65,columbia-automatic-taper-TAPER-05.webp,columbia-sawed-off-taper-39-STAPER-03.webp,0,3
65,columbia-automatic-taper-TAPER-05.webp,columbia-sawed-off-taper-39-inch-STAPER-03.webp,0,3
66,columbia-automatic-taper-TAPER-06.webp,columbia-automatic-taper-TAPER-06.webp,1,3
66,columbia-automatic-taper-TAPER-06.webp,columbia-sawed-off-taper-39-STAPER-04.webp,0,3
