part_number,product_name,price,full_image_url,product_url
75,Part #75,0.85,https://durastilt.com/wp-content/uploads/2018/10/Leg-Band-Screw-W-WashNut.webp,https://durastilt.com/product/part-75/
76,Part #76,0.62,https://durastilt.com/wp-content/uploads/2018/10/Leg-Strap-Anchoring-Screw.webp,https://durastilt.com/product/part-76/
77,Part #77,0.84,https://durastilt.com/wp-content/uploads/2018/10/Strap-Keeper-1-1-2.webp,https://durastilt.com/product/part-77/
78.1,Part #78.1,11.59,https://durastilt.com/wp-content/uploads/2018/10/L-Leg-Strap-W-Buckle-Keep.webp,https://durastilt.com/product/part-78-1/
78.2,Part #78.2,11.59,https://durastilt.com/wp-content/uploads/2018/10/R-Leg-Strap-W-Buckle-Keep.webp,https://durastilt.com/product/part-78-2/
79,Part #79,0.74,https://durastilt.com/wp-content/uploads/2018/10/leg-band-hinge-screw-lock.webp,https://durastilt.com/product/part-79/
80,Part #80,13.09,https://durastilt.com/wp-content/uploads/2018/10/Clamshell-Leg-Band-Inner.webp,https://durastilt.com/product/part-80/
81,Part #81,16.04,https://durastilt.com/wp-content/uploads/2018/10/Lambs-Wool-Outer-Cover.webp,https://durastilt.com/product/part-81/
82,Part #82,16.04,https://durastilt.com/wp-content/uploads/2018/10/Lambs-Wool-Inner-Cover.webp,https://durastilt.com/product/part-82/
83,Part #83,0.15,https://durastilt.com/wp-content/uploads/2018/10/Lock-Nut-No-6-Nte.webp,https://durastilt.com/product/part-83/
7011.270,Part Pack – #7011.270,20.74,https://durastilt.com/wp-content/uploads/2018/10/Leg-Bearing-Kit-1.webp,https://durastilt.com/product/part-pack-7011-270/
7016.440,Part Pack – #7016.440,11.25,https://durastilt.com/wp-content/uploads/2018/10/Upper-Lower-Spring-Kit.webp,https://durastilt.com/product/part-pack-7016-440/
7016.441,Part Pack – #7016.441,11.96,https://durastilt.com/wp-content/uploads/2018/10/Hd-Upper-Lower-Spring.webp,https://durastilt.com/product/part-pack-7016-441/
7048.490,Extension Tube Slve Kit,39.38,https://durastilt.com/wp-content/uploads/2018/10/Extension-Tube-Slve-Kit.webp,https://durastilt.com/product/part-pack-7048-490/
