path,rel_path,extension,bytes_size,width,height,format,sha1,readable,reasons,keep,action,duplicate_group_size,kept_canonical_rel_path
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-FHTT-07-jpg__a2d74ead6f0519.webp,wp-content-uploads-2022-06-FHTT-07-jpg__a2d74ead6f0519.webp,.webp,20808,1200,1200,WEBP,9ad3d5dc450b92d7ffce45bfebd5339f22a1fbf6,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-GSR-TT-02-jpg__d45f4076183309.webp,wp-content-uploads-2022-06-GSR-TT-02-jpg__d45f4076183309.webp,.webp,4852,750,750,WEBP,fe6d19fb7738b50be5c3f560dc1762b59de74cf6,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-GSR-TT-03-jpg__ff3a95e778800d.webp,wp-content-uploads-2022-06-GSR-TT-03-jpg__ff3a95e778800d.webp,.webp,5782,750,750,WEBP,70e25a8fea3590799455dca79dc6a0ff6ef02218,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-GSR-TT-04-jpg__0c0e82d378df2f.webp,wp-content-uploads-2022-06-GSR-TT-04-jpg__0c0e82d378df2f.webp,.webp,15094,1020,1020,WEBP,56c3ed892b3d05a67a2d321cfff06c807d5d71fe,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-JK01SSTT-01-jpg__a32c533c1f0106.webp,wp-content-uploads-2022-06-JK01SSTT-01-jpg__a32c533c1f0106.webp,.webp,13706,1200,1200,WEBP,dc8a03c305037db0a50a9d0dd9741e1643b1a904,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-JK02SSTT-01-jpg__f9712180aa2ad4.webp,wp-content-uploads-2022-06-JK02SSTT-01-jpg__f9712180aa2ad4.webp,.webp,14096,1200,1200,WEBP,3c79d618a774a1e7f4f6a6d9611b4b5e34063fea,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-JK04CSTT-01-jpg__2d09e4f1deb2bc.webp,wp-content-uploads-2022-06-JK04CSTT-01-jpg__2d09e4f1deb2bc.webp,.webp,15198,1200,1200,WEBP,61cfae9780777ca381446f273f080d53ffcb4247,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-JK04SSTT-01-jpg__db7c9018df44cf.webp,wp-content-uploads-2022-06-JK04SSTT-01-jpg__db7c9018df44cf.webp,.webp,15108,1200,1200,WEBP,d4b2e2003902adacde46288592596553bdf9bb52,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-JK05SSTT-01-jpg__6055c7e057b592.webp,wp-content-uploads-2022-06-JK05SSTT-01-jpg__6055c7e057b592.webp,.webp,15530,1200,1200,WEBP,935df59ee50247e5d0ce4b716e6492634d149248,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-JK06CSTT-01-jpg__0a0e33995bb434.webp,wp-content-uploads-2022-06-JK06CSTT-01-jpg__0a0e33995bb434.webp,.webp,16910,1200,1200,WEBP,269df1fc8be9da880775c50d080f9600d2d195f6,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-JK06SSTT-01-jpg__50d0451a06a7a9.webp,wp-content-uploads-2022-06-JK06SSTT-01-jpg__50d0451a06a7a9.webp,.webp,16844,1200,1200,WEBP,d84f204d1017ae340f84e655441158d0da8ad426,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-NS02TT-03-jpg__8c129d25db1436.webp,wp-content-uploads-2022-06-NS02TT-03-jpg__8c129d25db1436.webp,.webp,73958,1020,1020,WEBP,40665a7611609cf32f9620633040d09b6518b601,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-NS02TT-04-jpg__bdac14a0c6579c.webp,wp-content-uploads-2022-06-NS02TT-04-jpg__bdac14a0c6579c.webp,.webp,28532,1020,1020,WEBP,6b67ea32dcf39f726c2bba39e08ae8f2e2bc9831,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-NS02TT-10-jpg__7a143fcfbf21a5.webp,wp-content-uploads-2022-06-NS02TT-10-jpg__7a143fcfbf21a5.webp,.webp,178528,1200,1200,WEBP,f69759d9138faeb51c6f301004ace9568949ebfe,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-NS02TT-11-jpg__47e290088e7451.webp,wp-content-uploads-2022-06-NS02TT-11-jpg__47e290088e7451.webp,.webp,67252,1200,1200,WEBP,10ce9078549fe0ac7f9de4bbd319f97cd1df90df,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-NS02TT-12-jpg__ee56dcbf9374b8.webp,wp-content-uploads-2022-06-NS02TT-12-jpg__ee56dcbf9374b8.webp,.webp,40136,1200,1200,WEBP,c3e845c9033522c928fc74c1375b7f1afda0545e,True,,True,keep,1,
c:\Users\Elliott\drywall-toolbox\products\Production\launch_images\wp-content-uploads-2022-06-NS02TT-13-jpg__6a6ea03ffa3403.webp,wp-content-uploads-2022-06-NS02TT-13-jpg__6a6ea03ffa3403.webp,.webp,124502,1200,1200,WEBP,a2a7e4a0dae6e77ba530c25b0ae0fc3834b84166,True,,True,keep,1,
