"row_index","sku","name","old_regular_price","new_regular_price","source","source_sku_mpn","source_title","source_url","match_type"
"190","EEX200135","TapeTech 135° Outside Corner Edger - 2""","","10.00","all-wall.com","EEX200135","TapeTech 2"" 135 Outside Corner Edger","https://www.all-wall.com/TapeTech-CornerEdger-EEX200135","exact_mpn"
"194","CA07XHTT","TapeTech 7"" Angle Box with Extendable XHTT Handle","","494.00","all-wall.com","CA07/XHTT","TapeTech 7"" Angle Box w/ Extendable Handle","https://www.all-wall.com/TapeTech-7-Angle-Box-w-Extendable-Handle","normalized_mpn"
"195","CA08TTXHTT","TapeTech 8"" Angle Box with XHTT Extendable Handle","","509.00","all-wall.com","CA08TT/XHTT","TapeTech 8"" Angle Box w/ XHTT Extendable Handle","https://www.all-wall.com/TapeTech-8-Angle-Box-w-Extendable-Handle","normalized_mpn"
"254","15TTEXHTT","TapeTech Corner Roller with Extendable XHTT Handle","","368.00","all-wall.com","15TTE/XHTT","TapeTech Corner Roller w/ TapeTech Extendable Handle","https://www.all-wall.com/TapeTech-Corner-Roller-w-Extendable-Handle","normalized_mpn"
"277","NS02FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 2""","","337.00","all-wall.com","NS02/FHTT","TapeTech 2"" EasyClean Nail Spotter w/ FHTT Handle","https://www.all-wall.com/TapeTech-EasyClean-Nail-Spotter","normalized_mpn"
"278","NS03FHTT","TapeTech EasyClean® Nail Spotter with FHTT Fiberglass Handle - 3""","","348.00","all-wall.com","NS03/FHTT","TapeTech 3"" EasyClean Nail Spotter w/ FHTT Handle","https://www.all-wall.com/TapeTech-EasyClean-Spotter-3inch","normalized_mpn"
"309","14TT","TapeTech MudRunner®","","900.00","walltools.com","TAPE-14TT","TapeTech MudRunner","https://walltools.com/tapetech-mudrunner/","exact_sku_with_vendor_prefix"
"325","CROLL04CG","TapeTech Premium Compound Roller with Frame - 4""","","22.99","all-wall.com","CROLL04CG","TapeTech 4"" Compound Roller with Frame","https://www.all-wall.com/TapeTech-CompoundRoller-CROLL04CG","exact_mpn"
